STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,8485,115,Green,18,47968,86% ^Severely constrained^,Severely constrained,77% ^Elevated^,Elevated,296,Bruised Red,198,265,261,244,225,238,218,223,234,224,220,215,204,201,198,-26% ^Decreasing^,Green,1.73,Yellow
Alaska,Alaska,Red,2771,251,Green,111,2489,52% ^Normal^,Normal,52% ^Normal^,Normal,103,Red,56,45,64,77,70,63,63,66,59,63,60,59,51,59,56,24% ^Increasing^,Red,0.61,Green
Arizona,Arizona,Red,6939,63,Red,41,16773,64% ^Normal^,Normal,80% ^Constrained^,Constrained,70,Yellow,104,162,160,159,147,147,144,133,125,137,133,123,111,112,104,-36% ^Decreasing^,Green,2.49,Yellow
Arkansas,Arkansas 😷,Bruised Red,6712,148,Green,33,20187,66% ^Normal^,Normal,68% ^Normal^,Normal,203,Bruised Red,130,161,163,165,165,169,163,166,154,146,144,143,135,135,130,-20% ^Decreasing^,Green,1.29,Yellow
California,California 😷,Red,98685,166,Green,58,170846,69% ^Normal^,Normal,72% ^Elevated^,Elevated,131,Red,125,160,161,164,157,153,149,143,142,141,140,137,133,128,125,-22% ^Decreasing^,Green,1.84,Yellow
Colorado,Colorado,Yellow,9257,107,Green,91,10173,57% ^Normal^,Normal,63% ^Normal^,Normal,54,Yellow,42,42,43,45,41,41,41,45,39,42,42,44,37,39,42,0% ^Decreasing^,Green,3.23,Yellow
Connecticut,Connecticut 😷,Green,15019,280,Green,280,5371,48% ^Normal^,Normal,75% ^Elevated^,Elevated,39,Green,17,12,13,14,13,15,15,15,16,17,16,16,17,17,17,43% ^Increasing^,Red,8.51,Red
Delaware,Delaware 😷,Yellow,1831,125,Green,87,2112,74% ^Elevated^,Elevated,75% ^Elevated^,Elevated,66,Yellow,56,30,33,33,41,38,45,45,39,41,51,59,59,63,56,90% ^Increasing^,Red,3.48,Yellow
District of Columbia,District of Columbia 😷,Yellow,3149,296,Green,181,1740,73% ^Elevated^,Elevated,83% ^Constrained^,Constrained,75,Yellow,98,116,112,119,111,111,115,113,120,123,109,118,118,108,98,-16% ^Decreasing^,Green,4.34,Yellow
Florida,Florida,Bruised Red,24425,75,Yellow,25,99071,76% ^Elevated^,Elevated,58% ^Normal^,Normal,140,Red,177,262,255,247,236,228,221,213,216,212,205,198,186,177,177,-33% ^Decreasing^,Green,1.81,Yellow
Georgia,Georgia,Bruised Red,22229,139,Green,31,70827,73% ^Elevated^,Elevated,81% ^Constrained^,Constrained,202,Bruised Red,234,247,245,242,236,227,222,222,221,213,210,201,249,243,234,-5% ^Decreasing^,Green,2.08,Yellow
Hawaii,Hawaii,Bruised Red,2536,119,Green,30,8406,66% ^Normal^,Normal,90% ^Constrained^,Constrained,180,Bruised Red,192,101,124,145,132,117,160,136,136,177,191,206,202,197,192,90% ^Increasing^,Red,0.76,Green
Idaho,Idaho,Bruised Red,2435,90,Yellow,26,9499,53% ^Normal^,Normal,49% ^Normal^,Normal,161,Bruised Red,101,115,93,93,115,115,107,107,107,90,90,98,98,101,101,-12% ^Decreasing^,Green,1.13,Yellow
