STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,13460,182,Green,41,32491,85% ^Severely constrained^,Severely constrained,69% ^Normal^,Normal,201,Bruised Red,225,286,297,296,316,307,283,273,270,257,263,265,261,244,225,-21% ^Decreasing^,Green,1.76,Yellow
Alaska,Alaska,Red,2656,241,Green,97,2744,47% ^Normal^,Normal,43% ^Normal^,Normal,114,Red,70,51,51,55,51,53,53,63,52,49,57,45,64,77,70,38% ^Increasing^,Red,0.54,Green
Arizona,Arizona,Red,8609,79,Yellow,33,25863,83% ^Constrained^,Constrained,70% ^Normal^,Normal,108,Red,147,243,228,223,216,216,202,194,187,176,166,162,160,159,147,-40% ^Decreasing^,Green,2.39,Yellow
Arkansas,Arkansas 😷,Red,9347,206,Green,66,14138,68% ^Normal^,Normal,60% ^Normal^,Normal,142,Red,165,170,173,165,168,168,161,157,154,154,158,161,163,165,165,-3% ^Decreasing^,Green,1.17,Yellow
California,California 😷,Bruised Red,111782,188,Green,46,243304,69% ^Normal^,Normal,69% ^Normal^,Normal,187,Bruised Red,157,184,176,173,171,171,168,163,161,160,160,160,161,164,157,-15% ^Decreasing^,Green,1.81,Yellow
Colorado,Colorado,Yellow,10021,116,Green,99,10112,52% ^Normal^,Normal,54% ^Normal^,Normal,53,Yellow,41,55,55,60,55,54,55,50,46,41,41,42,43,45,41,-25% ^Decreasing^,Green,3.34,Yellow
Connecticut,Connecticut 😷,Green,12501,233,Green,233,5371,47% ^Normal^,Normal,69% ^Normal^,Normal,26,Green,13,18,18,18,18,20,16,18,16,16,16,12,13,14,13,-28% ^Decreasing^,Green,8.67,Red
Delaware,Delaware 😷,Red,1618,110,Green,46,3540,69% ^Normal^,Normal,59% ^Normal^,Normal,110,Red,41,38,37,37,35,36,36,38,39,33,31,30,33,33,41,8% ^Increasing^,Red,3.56,Yellow
District of Columbia,District of Columbia 😷,Yellow,3477,327,Green,192,1815,74% ^Elevated^,Elevated,83% ^Constrained^,Constrained,78,Yellow,111,128,113,109,106,118,120,118,119,115,112,116,112,119,111,-13% ^Decreasing^,Green,4.48,Yellow
Florida,Florida,Bruised Red,30519,94,Yellow,21,148335,74% ^Elevated^,Elevated,54% ^Normal^,Normal,209,Bruised Red,236,333,321,319,323,314,305,294,274,266,265,262,255,247,236,-29% ^Decreasing^,Green,1.73,Yellow
Georgia,Georgia,Bruised Red,22032,138,Green,26,85201,72% ^Elevated^,Elevated,55% ^Normal^,Normal,243,Bruised Red,236,281,271,270,270,271,270,264,253,244,245,247,245,242,236,-16% ^Decreasing^,Green,1.99,Yellow
Hawaii,Hawaii,Bruised Red,2584,121,Green,36,7222,64% ^Normal^,Normal,87% ^Constrained^,Constrained,155,Bruised Red,132,83,72,74,74,74,117,93,103,122,101,101,124,145,132,60% ^Increasing^,Red,0.77,Green
Idaho,Idaho,Bruised Red,2362,88,Yellow,20,12083,49% ^Normal^,Normal,45% ^Normal^,Normal,205,Bruised Red,115,135,112,112,112,106,106,121,121,115,115,115,93,93,115,-15% ^Decreasing^,Green,1.01,Yellow
Illinois,Illinois 😷,Bruised Red,43630,229,Green,69,62823,51% ^Normal^,Normal,55% ^Normal^,Normal,150,Bruised Red,120,117,121,117,117,115,120,128,127,121,125,122,119,120,120,2% ^Increasing^,Red,3.74,Yellow
Indiana,Indiana 😷,Red,9643,95,Yellow,36,26928,64% ^Normal^,Normal,58% ^Normal^,Normal,121,Red,137,147,143,143,137,143,139,147,135,137,140,134,126,125,137,-7% ^Decreasing^,Green,3.83,Yellow
Iowa,Iowa,Bruised Red,4768,100,Green,27,17344,63% ^Normal^,Normal,58% ^Normal^,Normal,167,Bruised Red,95,71,73,70,71,77,77,83,82,83,86,90,91,95,95,35% ^Increasing^,Red,1.88,Yellow
Kansas,Kansas 😷,Bruised Red,3611,82,Yellow,23,15760,58% ^Normal^,Normal,51% ^Normal^,Normal,164,Bruised Red,103,114,114,114,74,74,123,123,107,107,107,79,79,103,103,-10% ^Decreasing^,Green,1.15,Yellow
Kentucky,Kentucky 😷,Red,7443,111,Green,40,18574,77% ^Elevated^,Elevated,63% ^Normal^,Normal,126,Red,143,160,146,146,143,149,153,147,147,138,138,126,139,143,143,-11% ^Decreasing^,Green,2.06,Yellow
Louisiana,Louisiana 😷,Bruised Red,14722,210,Green,58,25372,66% ^Normal^,Normal,63% ^Normal^,Normal,165,Bruised Red,234,302,302,297,297,287,284,276,267,267,257,264,259,250,234,-23% ^Decreasing^,Green,3.29,Yellow
Maine,Maine 😷,Green,2557,126,Green,126,2025,64% ^Normal^,Normal,58% ^Normal^,Normal,17,Green,5,7,7,7,6,7,7,8,4,4,7,7,7,7,5,-30% ^Decreasing^,Green,3.01,Yellow
Maryland,Maryland 😷,Red,13226,145,Green,69,19182,66% ^Normal^,Normal,67% ^Normal^,Normal,96,Red,75,87,85,87,88,88,81,78,76,76,79,72,75,79,75,-14% ^Decreasing^,Green,3.59,Yellow
Massachusetts,Massachusetts 😷,Yellow,18363,175,Green,162,11357,51% ^Normal^,Normal,64% ^Normal^,Normal,50,Yellow,55,56,56,54,55,56,61,58,57,54,54,53,54,53,55,-3% ^Decreasing^,Green,7.13,Red
Michigan,Michigan 😷,Yellow,24686,164,Green,124,19965,72% ^Elevated^,Elevated,60% ^Normal^,Normal,61,Yellow,65,69,69,69,64,64,64,71,71,71,71,65,65,65,65,-7% ^Decreasing^,Green,6.36,Red
