STATE,STATE NAME,NEW GATING SCORE,COVID-LIKE SYMPTOMS (95% CI),TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,0.9% ^0.6% - 1.1%^,5651,76,Yellow,18,30577,80% ^Constrained^,Constrained,64% ^Normal^,Normal,189,Bruised Red,162,202,196,178,179,167,172,175,159,175,170,165,162,161,162,-20% ^Decreasing^,Green,1.69,Yellow
Alaska,Alaska,Red,0.4% ^0.0% - 0.8%^,2113,192,Green,77,2734,44% ^Normal^,Normal,43% ^Normal^,Normal,113,Red,51,56,63,59,59,49,56,49,56,55,57,60,44,48,51,-10% ^Decreasing^,Green,0.61,Green
Arizona,Arizona,Red,0.6% ^0.4% - 0.7%^,5324,49,Bruised Red,41,13016,54% ^Normal^,Normal,61% ^Normal^,Normal,54,Yellow,67,100,103,102,102,96,91,90,90,90,86,79,79,72,67,-33% ^Decreasing^,Green,2.55,Yellow
Arkansas,Arkansas 😷,Bruised Red,0.8% ^0.5% - 1.1%^,7922,174,Green,39,20493,63% ^Normal^,Normal,60% ^Normal^,Normal,206,Bruised Red,125,140,144,141,133,128,129,132,136,136,130,130,130,126,125,-11% ^Decreasing^,Green,1.4,Yellow
California,California 😷,Red,0.4% ^0.3% - 0.5%^,92557,155,Green,87,106274,66% ^Normal^,Normal,68% ^Normal^,Normal,82,Red,93,123,123,116,111,107,107,108,109,112,107,102,97,95,93,-25% ^Decreasing^,Green,1.9,Yellow
Colorado,Colorado,Yellow,0.6% ^0.4% - 0.8%^,9232,106,Green,96,9664,53% ^Normal^,Normal,57% ^Normal^,Normal,51,Yellow,40,42,41,43,37,38,38,39,41,38,39,42,40,39,40,-5% ^Decreasing^,Green,3.08,Yellow
Connecticut,Connecticut 😷,Yellow,0.2% ^0.1% - 0.3%^,20333,379,Green,282,7213,49% ^Normal^,Normal,73% ^Elevated^,Elevated,61,Yellow,18,16,18,18,16,16,16,16,14,16,15,14,14,14,18,14% ^Increasing^,Red,8.17,Red
Delaware,Delaware 😷,Red,0.5% ^0.1% - 0.9%^,1415,96,Yellow,44,3243,71% ^Elevated^,Elevated,68% ^Normal^,Normal,101,Red,66,66,64,62,60,60,64,54,54,54,68,68,68,70,66,0% ^Decreasing^,Green,3.26,Yellow
District of Columbia,District of Columbia 😷,Yellow,0.0% ^-0.2% - 0.2%^,2633,248,Green,182,1447,70% ^Normal^,Normal,75% ^Elevated^,Elevated,62,Yellow,129,101,103,108,106,113,113,120,120,132,123,135,139,125,129,28% ^Increasing^,Red,4.21,Yellow
Florida,Florida,Bruised Red,0.6% ^0.5% - 0.7%^,19903,62,Red,24,82316,73% ^Elevated^,Elevated,55% ^Normal^,Normal,116,Red,123,169,163,160,156,150,147,147,147,143,135,131,125,122,123,-27% ^Decreasing^,Green,1.92,Yellow
Georgia,Georgia,Bruised Red,0.8% ^0.6% - 0.9%^,19196,120,Green,35,54356,74% ^Elevated^,Elevated,75% ^Elevated^,Elevated,155,Bruised Red,201,234,233,223,216,258,207,209,209,198,204,203,199,201,201,-14% ^Decreasing^,Green,2.15,Yellow
