STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,10337,140,Green,37,28210,88% ^Severely constrained^,Severely constrained,78% ^Elevated^,Elevated,174,Bruised Red,265,309,321,321,321,321,325,312,307,280,278,281,257,263,265,-14% ^Decreasing^,Green,1.77,Yellow
Alaska,Alaska,Red,3615,328,Green,134,2692,51% ^Normal^,Normal,46% ^Normal^,Normal,112,Red,45,45,52,57,51,51,55,51,53,53,63,52,49,57,45,0% ^Decreasing^,Green,0.55,Green
Arizona,Arizona,Red,10022,91,Yellow,33,30558,85% ^Constrained^,Constrained,87% ^Constrained^,Constrained,127,Red,162,278,267,258,243,228,223,216,216,202,194,187,176,166,162,-42% ^Decreasing^,Green,2.32,Yellow
Arkansas,Arkansas 😷,Red,7649,168,Green,53,14374,68% ^Normal^,Normal,69% ^Normal^,Normal,144,Red,161,174,171,170,170,173,165,168,168,161,157,154,154,158,161,-8% ^Decreasing^,Green,1.14,Yellow
California,California 😷,Bruised Red,133632,224,Green,43,311709,69% ^Normal^,Normal,73% ^Elevated^,Elevated,239,Bruised Red,160,193,191,189,184,176,173,171,171,168,163,161,160,160,160,-17% ^Decreasing^,Green,1.79,Yellow
Colorado,Colorado,Yellow,10187,117,Green,86,11861,55% ^Normal^,Normal,60% ^Normal^,Normal,62,Yellow,42,59,58,56,55,55,60,55,54,55,50,46,41,41,42,-29% ^Decreasing^,Green,3.32,Yellow
Connecticut,Connecticut 😷,Green,11287,210,Green,210,5371,48% ^Normal^,Normal,75% ^Elevated^,Elevated,28,Green,12,17,17,19,18,18,18,18,20,16,18,16,16,16,12,-30% ^Decreasing^,Green,8.69,Red
Delaware,Delaware 😷,Red,1709,116,Green,40,4252,68% ^Normal^,Normal,70% ^Normal^,Normal,132,Red,30,43,48,46,38,37,37,35,36,36,38,39,33,31,30,-31% ^Decreasing^,Green,3.59,Yellow
District of Columbia,District of Columbia 😷,Red,3609,340,Green,164,2197,78% ^Elevated^,Elevated,83% ^Constrained^,Constrained,94,Red,116,142,137,139,128,113,109,106,118,120,118,119,115,112,116,-18% ^Decreasing^,Green,4.5,Yellow
Florida,Florida,Bruised Red,34146,106,Green,19,184484,80% ^Constrained^,Constrained,61% ^Normal^,Normal,260,Bruised Red,262,366,355,347,333,321,319,323,314,305,294,274,266,265,262,-28% ^Decreasing^,Green,1.68,Yellow
Georgia,Georgia,Bruised Red,23636,148,Green,25,93513,74% ^Elevated^,Elevated,73% ^Elevated^,Elevated,267,Bruised Red,247,291,290,283,281,271,270,270,271,270,264,253,244,245,247,-15% ^Decreasing^,Green,1.98,Yellow
Hawaii,Hawaii,Bruised Red,2836,133,Green,39,7279,76% ^Elevated^,Elevated,94% ^Constrained^,Constrained,156,Bruised Red,101,97,59,59,83,72,74,74,74,117,93,103,122,101,101,4% ^Increasing^,Red,0.79,Green
Idaho,Idaho,Bruised Red,2573,96,Yellow,18,14091,52% ^Normal^,Normal,52% ^Normal^,Normal,239,Bruised Red,115,59,109,135,135,112,112,112,106,106,121,121,115,115,115,94% ^Increasing^,Red,0.97,Green
Illinois,Illinois 😷,Red,42684,224,Green,73,58867,53% ^Normal^,Normal,61% ^Normal^,Normal,141,Red,122,118,122,120,117,121,117,117,115,120,128,127,121,125,122,3% ^Increasing^,Red,3.81,Yellow
Indiana,Indiana 😷,Red,8932,88,Yellow,32,28352,64% ^Normal^,Normal,61% ^Normal^,Normal,128,Red,134,146,137,150,147,143,143,137,143,139,147,135,137,140,134,-8% ^Decreasing^,Green,3.87,Yellow
Iowa,Iowa,Bruised Red,4657,98,Yellow,27,17212,64% ^Normal^,Normal,61% ^Normal^,Normal,165,Bruised Red,90,77,79,75,71,73,70,71,77,77,83,82,83,86,90,16% ^Increasing^,Red,1.86,Yellow
Kansas,Kansas 😷,Bruised Red,3942,90,Yellow,24,16203,56% ^Normal^,Normal,58% ^Normal^,Normal,169,Bruised Red,79,80,123,123,114,114,114,74,74,123,123,107,107,107,79,-1% ^Decreasing^,Green,1.15,Yellow
Kentucky,Kentucky 😷,Red,8430,125,Green,40,20917,77% ^Elevated^,Elevated,65% ^Normal^,Normal,142,Red,126,143,139,157,160,146,146,143,149,153,147,147,138,138,126,-12% ^Decreasing^,Green,2.06,Yellow
Louisiana,Louisiana 😷,Bruised Red,18051,258,Green,59,30756,68% ^Normal^,Normal,67% ^Normal^,Normal,200,Bruised Red,264,320,316,313,302,302,297,297,287,284,276,267,267,257,264,-18% ^Decreasing^,Green,3.27,Yellow
Maine,Maine 😷,Green,3093,153,Green,153,2025,67% ^Normal^,Normal,66% ^Normal^,Normal,16,Green,7,9,7,8,7,7,7,6,7,7,8,4,4,7,7,-17% ^Decreasing^,Green,3.03,Yellow
Maryland,Maryland 😷,Red,14400,158,Green,69,21012,71% ^Elevated^,Elevated,72% ^Elevated^,Elevated,105,Red,72,90,92,88,87,85,87,88,88,81,78,76,76,79,72,-20% ^Decreasing^,Green,3.62,Yellow
Massachusetts,Massachusetts 😷,Yellow,19091,182,Green,182,10470,53% ^Normal^,Normal,70% ^Normal^,Normal,43,Yellow,53,51,57,58,56,56,54,55,56,61,58,57,54,54,53,4% ^Increasing^,Red,7.16,Red
Michigan,Michigan 😷,Yellow,31088,207,Green,121,25660,74% ^Elevated^,Elevated,65% ^Normal^,Normal,78,Yellow,65,69,69,69,69,69,69,64,64,64,71,71,71,71,65,-6% ^Decreasing^,Green,6.42,Red
Minnesota,Minnesota,Red,7980,94,Yellow,40,19800,69% ^Normal^,Normal,69% ^Normal^,Normal,106,Red,51,58,54,57,53,55,55,57,60,59,55,56,54,51,51,-13% ^Decreasing^,Green,2.68,Yellow
Mississippi,Mississippi 😷,Bruised Red,4285,96,Yellow,19,22454,75% ^Elevated^,Elevated,60% ^Normal^,Normal,229,Bruised Red,363,391,396,398,382,387,387,361,374,386,382,372,378,378,363,-7% ^Decreasing^,Green,2.89,Yellow
Missouri,Missouri,Bruised Red,12671,137,Green,31,40868,68% ^Normal^,Normal,60% ^Normal^,Normal,202,Bruised Red,139,145,144,157,152,151,146,150,150,140,144,144,142,145,139,-4% ^Decreasing^,Green,2.03,Yellow
Montana,Montana,Red,1617,100,Green,44,3654,55% ^Normal^,Normal,63% ^Normal^,Normal,104,Red,88,65,74,81,79,76,78,75,72,91,95,80,84,84,88,34% ^Increasing^,Red,1.42,Yellow
Nebraska,Nebraska,Red,2908,100,Green,32,9146,62% ^Normal^,Normal,55% ^Normal^,Normal,143,Red,75,79,78,77,78,81,76,75,84,81,79,76,75,74,75,-4% ^Decreasing^,Green,1.19,Yellow
Nevada,Nevada 😷,Bruised Red,4176,90,Yellow,18,23548,72% ^Elevated^,Elevated,72% ^Elevated^,Elevated,232,Bruised Red,282,372,373,363,336,317,317,329,315,324,319,308,306,306,282,-24% ^Decreasing^,Green,1.74,Yellow
New Hampshire,New Hampshire,Green,1670,82,Yellow,82,2049,48% ^Normal^,Normal,65% ^Normal^,Normal,17,Green,11,17,17,15,15,18,17,15,15,13,11,11,11,10,11,-35% ^Decreasing^,Green,6.04,Red
New Jersey,New Jersey 😷,Yellow,26718,200,Green,200,13382,54% ^Normal^,Normal,76% ^Elevated^,Elevated,44,Yellow,53,53,88,85,62,61,54,61,61,67,61,58,59,51,53,0% ^Increasing^,Red,8.48,Red
New Mexico,New Mexico 😷,Yellow,6135,194,Green,119,5153,66% ^Normal^,Normal,64% ^Normal^,Normal,74,Yellow,52,62,63,66,66,63,61,58,61,64,57,61,60,54,52,-17% ^Decreasing^,Green,3.05,Yellow
New York,New York 😷,Green,80206,274,Green,274,29309,59% ^Normal^,Normal,69% ^Normal^,Normal,34,Green,27,29,29,29,30,29,28,28,28,29,29,28,27,27,27,-6% ^Decreasing^,Green,5.93,Red
North Carolina,North Carolina,Red,18253,116,Green,45,40882,72% ^Elevated^,Elevated,76% ^Elevated^,Elevated,118,Red,93,111,111,109,107,108,106,106,107,101,102,100,98,89,93,-16% ^Decreasing^,Green,1.61,Yellow
North Dakota,North Dakota,Bruised Red,1511,132,Green,34,4403,39% ^Normal^,Normal,61% ^Normal^,Normal,175,Bruised Red,72,67,55,60,63,64,62,63,72,76,77,85,72,71,72,8% ^Increasing^,Red,1.21,Yellow
Ohio,Ohio 😷,Red,23053,131,Green,67,34560,61% ^Normal^,Normal,66% ^Normal^,Normal,90,Red,80,89,86,84,82,80,81,83,83,84,81,79,77,78,80,-10% ^Decreasing^,Green,3.51,Yellow
Oklahoma,Oklahoma,Bruised Red,8697,146,Green,39,22383,66% ^Normal^,Normal,62% ^Normal^,Normal,171,Bruised Red,128,127,163,162,142,150,150,150,134,131,152,143,128,128,128,0% ^Increasing^,Red,1.37,Yellow
Oregon,Oregon 😷,Yellow,5784,91,Yellow,63,9254,70% ^Elevated^,Elevated,74% ^Elevated^,Elevated,66,Yellow,49,52,54,55,48,48,48,51,55,51,55,53,53,53,49,-6% ^Decreasing^,Green,1.65,Yellow
Pennsylvania,Pennsylvania 😷,Yellow,15291,79,Yellow,60,25415,73% ^Elevated^,Elevated,75% ^Elevated^,Elevated,60,Yellow,44,51,50,52,51,50,47,46,47,47,47,46,45,44,44,-15% ^Decreasing^,Green,5.98,Red
Rhode Island,Rhode Island 😷,Red,3276,205,Green,109,3008,90% ^Severely constrained^,Severely constrained,98% ^Constrained^,Constrained,86,Red,76,76,75,78,79,88,88,88,83,84,76,75,76,76,76,0% ^Decreasing^,Green,4.97,Yellow
South Carolina,South Carolina,Bruised Red,11702,151,Green,43,27315,76% ^Elevated^,Elevated,82% ^Constrained^,Constrained,161,Bruised Red,214,283,285,290,275,272,268,263,258,265,257,252,242,225,214,-24% ^Decreasing^,Green,2.14,Yellow
South Dakota,South Dakota,Red,1117,84,Yellow,34,3286,50% ^Normal^,Normal,37% ^Normal^,Normal,113,Red,68,47,49,50,53,54,62,71,64,67,63,73,71,75,68,43% ^Increasing^,Red,1.48,Yellow
Tennessee,Tennessee,Bruised Red,20457,199,Green,40,51056,71% ^Elevated^,Elevated,61% ^Normal^,Normal,226,Bruised Red,167,210,212,219,206,204,189,171,202,190,192,185,191,168,167,-21% ^Decreasing^,Green,1.03,Yellow
Texas,Texas 😷,Bruised Red,57501,132,Green,23,245770,77% ^Elevated^,Elevated,72% ^Elevated^,Elevated,257,Bruised Red,214,299,292,286,278,271,256,252,249,242,237,229,224,216,214,-29% ^Decreasing^,Green,1.85,Yellow
Utah,Utah,Red,3891,81,Yellow,33,11805,58% ^Normal^,Normal,58% ^Normal^,Normal,112,Red,49,69,69,69,73,69,70,69,65,74,64,59,58,64,49,-29% ^Decreasing^,Green,0.78,Green
Vermont,Vermont 😷,Green,1410,150,Green,150,940,60% ^Normal^,Normal,56% ^Normal^,Normal,15,Green,29,22,14,10,10,13,10,18,19,14,22,21,22,27,29,29% ^Increasing^,Red,3.8,Yellow
Virginia,Virginia,Red,15985,124,Green,51,31454,64% ^Normal^,Normal,58% ^Normal^,Normal,112,Red,137,147,153,158,161,147,141,147,151,150,147,152,149,139,137,-7% ^Decreasing^,Green,2.22,Yellow
Washington,Washington 😷,Bruised Red,627,5,Bruised Red,3,20691,89% ^Severely constrained^,Severely constrained,85% ^Constrained^,Constrained,82,Red,51,53,56,56,53,54,53,53,51,50,52,53,51,52,51,-2% ^Decreasing^,Green,2.64,Yellow
West Virginia,West Virginia,Yellow,4828,179,Green,117,4139,77% ^Elevated^,Elevated,73% ^Elevated^,Elevated,70,Yellow,75,62,64,69,68,68,69,69,73,75,71,75,74,73,75,21% ^Increasing^,Red,1.85,Yellow
Wisconsin,Wisconsin,Red,10000,114,Green,40,25264,55% ^Normal^,Normal,63% ^Normal^,Normal,131,Red,63,50,44,43,51,53,61,71,63,63,63,58,58,57,63,24% ^Increasing^,Red,1.48,Yellow
Wyoming,Wyoming,Red,459,53,Red,34,1362,37% ^Normal^,Normal,34% ^Normal^,Normal,71,Yellow,22,29,28,28,29,29,29,26,26,26,24,22,22,22,22,-24% ^Decreasing^,Green,0.99,Green
Puerto Rico,Puerto Rico,Bruised Red,563,12,Bruised Red,3,18570,61% ^Normal^,Normal,57% ^Normal^,Normal,176,Bruised Red,125,159,159,143,138,125,133,132,137,140,146,134,127,123,125,-21% ^Decreasing^,Green,1.25,Yellow
United States,United States,Bruised Red,762378,153,Green,45,1678894,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,153,Bruised Red,131,161,161,160,155,151,148,147,146,145,143,138,135,133,131,-18% ^Decreasing^,Green,3.0,Yellow
