STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,8853,120,Green,20,44069,87% ^Severely constrained^,Severely constrained,77% ^Elevated^,Elevated,272,Bruised Red,205,261,244,225,238,218,223,234,224,220,215,204,201,198,205,-22% ^Decreasing^,Green,1.73,Yellow
Alaska,Alaska,Red,2590,235,Green,111,2343,53% ^Normal^,Normal,72% ^Elevated^,Elevated,97,Red,53,64,77,70,63,63,66,59,63,60,59,51,59,56,53,-17% ^Decreasing^,Green,0.6,Green
Arizona,Arizona,Red,6744,61,Red,42,16128,63% ^Normal^,Normal,79% ^Elevated^,Elevated,67,Yellow,106,160,159,147,147,144,133,125,137,133,123,111,112,104,106,-34% ^Decreasing^,Green,2.49,Yellow
Arkansas,Arkansas 😷,Bruised Red,7619,168,Green,37,20413,68% ^Normal^,Normal,67% ^Normal^,Normal,205,Bruised Red,139,163,165,165,169,163,166,154,146,144,143,135,135,130,139,-15% ^Decreasing^,Green,1.3,Yellow
California,California 😷,Red,102974,173,Green,62,167216,69% ^Normal^,Normal,72% ^Elevated^,Elevated,128,Red,122,161,164,157,153,149,143,142,141,140,137,133,128,125,122,-24% ^Decreasing^,Green,1.84,Yellow
Colorado,Colorado,Yellow,9172,106,Green,94,9806,57% ^Normal^,Normal,63% ^Normal^,Normal,52,Yellow,42,43,45,41,41,41,45,39,42,42,44,37,39,42,42,-2% ^Decreasing^,Green,3.22,Yellow
Connecticut,Connecticut 😷,Green,13626,254,Green,254,5371,48% ^Normal^,Normal,74% ^Elevated^,Elevated,35,Green,15,13,14,13,15,15,15,16,17,16,16,17,17,17,15,11% ^Increasing^,Red,8.44,Red
Delaware,Delaware 😷,Yellow,1907,130,Green,83,2296,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,71,Yellow,60,33,33,41,38,45,45,39,41,51,59,59,63,56,60,81% ^Increasing^,Red,3.47,Yellow
District of Columbia,District of Columbia 😷,Yellow,3040,286,Green,183,1664,75% ^Elevated^,Elevated,86% ^Constrained^,Constrained,71,Yellow,99,112,119,111,111,115,113,120,123,109,118,118,108,98,99,-11% ^Decreasing^,Green,4.34,Yellow
Florida,Florida,Bruised Red,24055,74,Red,25,97312,75% ^Elevated^,Elevated,58% ^Normal^,Normal,137,Red,174,255,247,236,228,221,213,216,212,205,198,186,177,177,174,-32% ^Decreasing^,Green,1.82,Yellow
Georgia,Georgia,Bruised Red,19779,124,Green,30,67028,72% ^Elevated^,Elevated,81% ^Constrained^,Constrained,191,Bruised Red,232,245,242,236,227,222,222,221,213,210,201,249,243,234,232,-5% ^Decreasing^,Green,2.08,Yellow
Hawaii,Hawaii,Bruised Red,2556,120,Green,31,8198,63% ^Normal^,Normal,90% ^Constrained^,Constrained,175,Bruised Red,192,124,145,132,117,160,136,136,177,191,206,202,197,192,192,55% ^Increasing^,Red,0.76,Green
Idaho,Idaho,Bruised Red,2490,92,Yellow,26,9495,54% ^Normal^,Normal,50% ^Normal^,Normal,161,Bruised Red,101,93,93,115,115,107,107,107,90,90,98,98,101,101,101,8% ^Increasing^,Red,1.13,Yellow
Illinois,Illinois 😷,Bruised Red,46322,243,Green,73,63728,55% ^Normal^,Normal,66% ^Normal^,Normal,152,Bruised Red,118,119,120,120,120,117,114,121,122,124,129,122,123,116,118,-1% ^Decreasing^,Green,3.48,Yellow
Indiana,Indiana 😷,Red,10701,106,Green,34,31133,62% ^Normal^,Normal,62% ^Normal^,Normal,140,Red,131,126,125,137,128,131,133,135,147,141,131,129,131,131,131,4% ^Increasing^,Red,3.5,Yellow
Iowa,Iowa,Bruised Red,5253,111,Green,17,31562,59% ^Normal^,Normal,62% ^Normal^,Normal,303,Bruised Red,95,91,95,95,93,85,82,87,94,99,97,95,100,98,95,4% ^Increasing^,Red,1.76,Yellow
Kansas,Kansas 😷,Bruised Red,3756,86,Yellow,19,19852,63% ^Normal^,Normal,57% ^Normal^,Normal,206,Bruised Red,72,79,103,103,102,102,102,65,65,90,90,113,113,113,72,-8% ^Decreasing^,Green,1.05,Yellow
Kentucky,Kentucky 😷,Red,7694,114,Green,36,21200,79% ^Elevated^,Elevated,68% ^Normal^,Normal,144,Red,125,139,143,143,132,132,132,126,133,133,128,128,128,128,125,-10% ^Decreasing^,Green,1.93,Yellow
Louisiana,Louisiana 😷,Red,14330,205,Green,66,21813,66% ^Normal^,Normal,66% ^Normal^,Normal,142,Red,190,259,250,234,226,226,202,202,200,197,188,194,194,194,190,-27% ^Decreasing^,Green,3.34,Yellow
Maine,Maine 😷,Green,4011,198,Green,198,2025,71% ^Elevated^,Elevated,70% ^Elevated^,Elevated,18,Green,4,7,7,5,5,3,3,4,6,6,7,7,6,5,4,-40% ^Decreasing^,Green,2.92,Yellow
Maryland,Maryland 😷,Red,11894,131,Green,70,16877,72% ^Elevated^,Elevated,80% ^Constrained^,Constrained,85,Red,62,75,79,75,75,73,67,67,68,71,68,68,64,59,62,-17% ^Decreasing^,Green,3.47,Yellow
Massachusetts,Massachusetts 😷,Yellow,21563,206,Green,182,11838,53% ^Normal^,Normal,71% ^Elevated^,Elevated,52,Yellow,45,54,53,55,46,45,45,44,47,51,48,45,44,42,45,-16% ^Decreasing^,Green,7.05,Red
Michigan,Michigan 😷,Yellow,29934,199,Green,119,25170,75% ^Elevated^,Elevated,74% ^Elevated^,Elevated,76,Yellow,63,65,65,65,65,65,65,64,64,64,67,67,67,67,63,-4% ^Decreasing^,Green,5.97,Red
Minnesota,Minnesota,Red,8602,101,Green,33,26240,74% ^Elevated^,Elevated,70% ^Normal^,Normal,141,Red,54,54,57,55,52,56,53,55,55,54,54,53,56,56,54,1% ^Increasing^,Red,2.46,Yellow
Mississippi,Mississippi 😷,Bruised Red,4458,99,Green,21,21426,72% ^Elevated^,Elevated,66% ^Normal^,Normal,218,Bruised Red,269,366,361,344,335,330,330,303,309,295,278,277,275,275,269,-26% ^Decreasing^,Green,2.98,Yellow
Missouri,Missouri,Bruised Red,9035,98,Yellow,22,41264,66% ^Normal^,Normal,61% ^Normal^,Normal,204,Bruised Red,148,145,143,143,143,149,156,156,151,144,147,164,159,164,148,2% ^Increasing^,Red,1.81,Yellow
Montana,Montana,Red,2366,147,Green,54,4394,63% ^Normal^,Normal,61% ^Normal^,Normal,125,Red,125,91,95,95,91,103,104,107,111,117,111,113,120,123,125,38% ^Increasing^,Red,1.4,Yellow
Nebraska,Nebraska,Bruised Red,3107,107,Green,31,10169,58% ^Normal^,Normal,64% ^Normal^,Normal,159,Bruised Red,89,82,83,81,75,72,72,75,80,87,86,90,87,89,89,9% ^Increasing^,Red,1.15,Yellow
Nevada,Nevada 😷,Bruised Red,3035,65,Red,20,15171,72% ^Elevated^,Elevated,73% ^Elevated^,Elevated,149,Red,216,293,281,284,262,268,268,250,251,247,236,230,219,219,216,-26% ^Decreasing^,Green,1.89,Yellow
New Hampshire,New Hampshire,Green,1812,88,Yellow,88,2049,51% ^Normal^,Normal,64% ^Normal^,Normal,15,Green,4,9,9,8,8,10,9,8,6,6,7,6,5,4,4,-50% ^Decreasing^,Green,5.94,Red
New Jersey,New Jersey 😷,Green,25872,193,Green,193,13382,54% ^Normal^,Normal,74% ^Elevated^,Elevated,36,Green,54,53,53,49,47,42,46,50,49,48,51,49,49,54,54,3% ^Increasing^,Red,8.3,Red
New Mexico,New Mexico 😷,Yellow,5376,170,Green,129,4182,58% ^Normal^,Normal,59% ^Normal^,Normal,60,Yellow,31,57,53,45,35,31,32,31,32,31,34,32,34,32,31,-45% ^Decreasing^,Green,3.05,Yellow
New York,New York 😷,Green,82835,283,Green,283,29309,59% ^Normal^,Normal,83% ^Constrained^,Constrained,34,Green,21,28,28,27,25,25,24,25,25,25,25,25,24,22,21,-22% ^Decreasing^,Green,5.83,Red
North Carolina,North Carolina,Red,24068,152,Green,47,51466,72% ^Elevated^,Elevated,74% ^Elevated^,Elevated,149,Red,88,98,95,98,97,95,86,90,95,96,91,92,92,87,88,-10% ^Decreasing^,Green,1.61,Yellow
North Dakota,North Dakota,Bruised Red,1392,121,Green,16,8561,44% ^Normal^,Normal,68% ^Normal^,Normal,340,Bruised Red,89,62,64,59,71,70,68,67,66,70,80,92,85,89,89,45% ^Increasing^,Red,1.0,Green
Ohio,Ohio 😷,Red,34272,195,Green,97,35385,67% ^Normal^,Normal,71% ^Elevated^,Elevated,92,Red,66,80,76,74,73,68,66,69,67,66,67,68,68,66,66,-17% ^Decreasing^,Green,3.36,Yellow
Oklahoma,Oklahoma,Bruised Red,7489,126,Green,30,24566,65% ^Normal^,Normal,63% ^Normal^,Normal,188,Bruised Red,144,144,143,143,142,146,146,146,140,135,140,141,144,144,144,0% ^Increasing^,Red,1.36,Yellow
