STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,8431,114,Green,26,32439,89% ^Severely constrained^,Severely constrained,73% ^Elevated^,Elevated,200,Bruised Red,224,283,273,270,257,263,265,261,244,225,238,218,223,234,224,-21% ^Decreasing^,Green,1.74,Yellow
Alaska,Alaska,Red,3403,309,Green,148,2305,51% ^Normal^,Normal,46% ^Normal^,Normal,95,Red,63,53,63,52,49,57,45,64,77,70,63,63,66,59,63,18% ^Increasing^,Red,0.64,Green
Arizona,Arizona,Red,8315,76,Yellow,41,20521,83% ^Constrained^,Constrained,74% ^Elevated^,Elevated,85,Red,137,202,194,187,176,166,162,160,159,147,147,144,133,125,137,-32% ^Decreasing^,Green,2.4,Yellow
Arkansas,Arkansas 😷,Bruised Red,5875,129,Green,32,18324,70% ^Normal^,Normal,64% ^Normal^,Normal,184,Bruised Red,146,161,157,154,154,158,161,163,165,165,169,163,166,154,146,-9% ^Decreasing^,Green,1.24,Yellow
California,California 😷,Red,101924,171,Green,53,190589,69% ^Normal^,Normal,73% ^Elevated^,Elevated,146,Red,141,168,163,161,160,160,160,161,164,157,153,149,143,142,141,-16% ^Decreasing^,Green,1.82,Yellow
Colorado,Colorado,Yellow,9485,109,Green,102,9292,56% ^Normal^,Normal,59% ^Normal^,Normal,49,Yellow,42,55,50,46,41,41,42,43,45,41,41,41,45,39,42,-23% ^Decreasing^,Green,3.3,Yellow
Connecticut,Connecticut 😷,Green,12854,239,Green,239,5371,51% ^Normal^,Normal,74% ^Elevated^,Elevated,31,Green,17,16,18,16,16,16,12,13,14,13,15,15,15,16,17,2% ^Increasing^,Red,8.58,Red
Delaware,Delaware 😷,Yellow,1640,112,Green,94,1740,71% ^Elevated^,Elevated,64% ^Normal^,Normal,54,Yellow,41,36,38,39,33,31,30,33,33,41,38,45,45,39,41,14% ^Increasing^,Red,3.56,Yellow
District of Columbia,District of Columbia 😷,Yellow,3163,298,Green,187,1692,78% ^Elevated^,Elevated,83% ^Constrained^,Constrained,73,Yellow,123,120,118,119,115,112,116,112,119,111,111,115,113,120,123,2% ^Increasing^,Red,4.41,Yellow
Florida,Florida,Bruised Red,26783,83,Yellow,22,120544,77% ^Elevated^,Elevated,57% ^Normal^,Normal,170,Bruised Red,212,305,294,274,266,265,262,255,247,236,228,221,213,216,212,-31% ^Decreasing^,Green,1.77,Yellow
