STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Georgia,Georgia,Bruised Red,24362,152,Green,31,78620,75% ^Elevated^,Elevated,59% ^Normal^,Normal,224,Bruised Red,213,270,264,253,244,245,247,245,242,236,227,222,222,221,213,-21% ^Decreasing^,Green,2.04,Yellow
Hawaii,Hawaii,Bruised Red,2379,112,Green,29,8340,57% ^Normal^,Normal,87% ^Constrained^,Constrained,178,Bruised Red,177,117,93,103,122,101,101,124,145,132,117,160,136,136,177,51% ^Increasing^,Red,0.7,Green
Idaho,Idaho,Bruised Red,1889,70,Red,19,10032,52% ^Normal^,Normal,50% ^Normal^,Normal,170,Bruised Red,90,106,121,121,115,115,115,93,93,115,115,107,107,107,90,-15% ^Decreasing^,Green,1.04,Yellow
Illinois,Illinois 😷,Bruised Red,48838,256,Green,74,65816,54% ^Normal^,Normal,60% ^Normal^,Normal,157,Bruised Red,122,120,128,127,121,125,122,119,120,120,120,117,114,121,122,2% ^Increasing^,Red,3.61,Yellow
Indiana,Indiana 😷,Red,11767,116,Green,38,30992,65% ^Normal^,Normal,62% ^Normal^,Normal,139,Red,147,139,147,135,137,140,134,126,125,137,128,131,133,135,147,5% ^Increasing^,Red,3.67,Yellow
Iowa,Iowa,Bruised Red,4378,92,Yellow,21,20474,66% ^Normal^,Normal,62% ^Normal^,Normal,197,Bruised Red,94,77,83,82,83,86,90,91,95,95,93,85,82,87,94,21% ^Increasing^,Red,1.84,Yellow
Kansas,Kansas 😷,Bruised Red,4671,106,Green,31,15246,63% ^Normal^,Normal,55% ^Normal^,Normal,159,Bruised Red,65,123,123,107,107,107,79,79,103,103,102,102,102,65,65,-47% ^Decreasing^,Green,1.11,Yellow
Kentucky,Kentucky 😷,Red,6938,103,Green,34,20125,79% ^Elevated^,Elevated,67% ^Normal^,Normal,137,Red,133,153,147,147,138,138,126,139,143,143,132,132,132,126,133,-13% ^Decreasing^,Green,2.01,Yellow
Louisiana,Louisiana 😷,Bruised Red,14867,212,Green,63,23529,66% ^Normal^,Normal,66% ^Normal^,Normal,153,Bruised Red,200,284,276,267,267,257,264,259,250,234,226,226,202,202,200,-30% ^Decreasing^,Green,3.33,Yellow
Maine,Maine 😷,Green,3293,163,Green,163,2025,68% ^Normal^,Normal,63% ^Normal^,Normal,16,Green,6,7,8,4,4,7,7,7,7,5,5,3,3,4,6,-11% ^Decreasing^,Green,3.0,Yellow
Maryland,Maryland 😷,Red,12609,138,Green,70,17966,69% ^Normal^,Normal,71% ^Elevated^,Elevated,90,Red,68,81,78,76,76,79,72,75,79,75,75,73,67,67,68,-16% ^Decreasing^,Green,3.53,Yellow
Massachusetts,Massachusetts 😷,Yellow,19691,188,Green,147,13351,53% ^Normal^,Normal,73% ^Elevated^,Elevated,58,Yellow,47,61,58,57,54,54,53,54,53,55,46,45,45,44,47,-23% ^Decreasing^,Green,7.09,Red
Michigan,Michigan 😷,Yellow,30950,206,Green,125,24675,75% ^Elevated^,Elevated,65% ^Normal^,Normal,75,Yellow,64,64,71,71,71,71,65,65,65,65,65,65,65,64,64,0% ^Decreasing^,Green,6.15,Red
Minnesota,Minnesota,Red,9889,116,Green,45,21903,72% ^Elevated^,Elevated,64% ^Normal^,Normal,118,Red,55,59,55,56,54,51,51,54,57,55,52,56,53,55,55,-7% ^Decreasing^,Green,2.58,Yellow
Mississippi,Mississippi 😷,Bruised Red,3125,70,Red,11,28281,75% ^Elevated^,Elevated,58% ^Normal^,Normal,288,Bruised Red,309,386,382,372,378,378,363,366,361,344,335,330,330,303,309,-20% ^Decreasing^,Green,2.92,Yellow
Missouri,Missouri,Bruised Red,8085,87,Yellow,24,34032,60% ^Normal^,Normal,47% ^Normal^,Normal,168,Bruised Red,151,140,144,144,142,145,139,145,143,143,143,149,156,156,151,7% ^Increasing^,Red,1.88,Yellow
Montana,Montana,Red,4428,275,Green,121,3668,59% ^Normal^,Normal,62% ^Normal^,Normal,104,Red,111,91,95,80,84,84,88,91,95,95,91,103,104,107,111,23% ^Increasing^,Red,1.46,Yellow
Nebraska,Nebraska,Red,2142,74,Red,31,6996,58% ^Normal^,Normal,48% ^Normal^,Normal,110,Red,80,81,79,76,75,74,75,82,83,81,75,72,72,75,80,-2% ^Decreasing^,Green,1.2,Yellow
Nevada,Nevada 😷,Bruised Red,3622,78,Yellow,20,17792,73% ^Elevated^,Elevated,72% ^Elevated^,Elevated,175,Bruised Red,251,324,319,308,306,306,282,293,281,284,262,268,268,250,251,-23% ^Decreasing^,Green,1.85,Yellow
New Hampshire,New Hampshire,Green,1852,90,Yellow,90,2049,50% ^Normal^,Normal,65% ^Normal^,Normal,14,Green,6,13,11,11,11,10,11,9,9,8,8,10,9,8,6,-56% ^Decreasing^,Green,6.0,Red
New Jersey,New Jersey 😷,Green,23593,176,Green,176,13382,64% ^Normal^,Normal,74% ^Elevated^,Elevated,31,Green,49,67,61,58,59,51,53,53,53,49,47,42,46,50,49,-27% ^Decreasing^,Green,8.4,Red
New Mexico,New Mexico 😷,Yellow,6664,211,Green,146,4568,63% ^Normal^,Normal,67% ^Normal^,Normal,66,Yellow,32,64,57,61,60,54,52,57,53,45,35,31,32,31,32,-49% ^Decreasing^,Green,3.05,Yellow
New York,New York 😷,Green,79781,272,Green,272,29309,60% ^Normal^,Normal,74% ^Elevated^,Elevated,31,Green,25,29,29,28,27,27,27,28,28,27,25,25,24,25,25,-13% ^Decreasing^,Green,5.87,Red
North Carolina,North Carolina,Red,21606,137,Green,42,51678,74% ^Elevated^,Elevated,74% ^Elevated^,Elevated,149,Red,95,101,102,100,98,89,93,98,95,98,97,95,86,90,95,-6% ^Decreasing^,Green,1.63,Yellow
North Dakota,North Dakota,Bruised Red,1810,158,Green,27,6822,35% ^Normal^,Normal,61% ^Normal^,Normal,271,Bruised Red,66,76,77,85,72,71,72,62,64,59,71,70,68,67,66,-14% ^Decreasing^,Green,1.12,Yellow
Ohio,Ohio 😷,Red,22697,129,Green,73,30982,62% ^Normal^,Normal,67% ^Normal^,Normal,80,Red,67,84,81,79,77,78,80,80,76,74,73,68,66,69,67,-20% ^Decreasing^,Green,3.43,Yellow
Oklahoma,Oklahoma,Bruised Red,7976,134,Green,35,22845,63% ^Normal^,Normal,63% ^Normal^,Normal,175,Bruised Red,140,131,152,143,128,128,128,144,143,143,142,146,146,146,140,7% ^Increasing^,Red,1.37,Yellow
Oregon,Oregon 😷,Yellow,4524,71,Red,56,8085,78% ^Elevated^,Elevated,86% ^Constrained^,Constrained,58,Yellow,37,51,55,53,53,53,49,51,48,41,41,41,41,34,37,-28% ^Decreasing^,Green,1.69,Yellow
Pennsylvania,Pennsylvania 😷,Yellow,13663,71,Red,65,21007,72% ^Elevated^,Elevated,73% ^Elevated^,Elevated,50,Yellow,42,47,47,46,45,44,44,43,43,43,40,38,39,40,42,-10% ^Decreasing^,Green,5.85,Red
Rhode Island,Rhode Island 😷,Red,6170,387,Green,192,3206,87% ^Severely constrained^,Severely constrained,101% ^Constrained^,Constrained,92,Red,82,84,76,75,80,76,76,74,77,79,76,82,76,76,82,-2% ^Decreasing^,Green,4.86,Yellow
South Carolina,South Carolina,Bruised Red,6775,87,Yellow,25,27418,76% ^Elevated^,Elevated,82% ^Constrained^,Constrained,161,Bruised Red,199,265,257,252,242,225,214,217,227,215,210,199,199,190,199,-25% ^Decreasing^,Green,2.23,Yellow
South Dakota,South Dakota,Bruised Red,1095,82,Yellow,22,5007,48% ^Normal^,Normal,40% ^Normal^,Normal,171,Bruised Red,60,67,63,73,71,75,68,77,62,60,57,75,70,73,60,-10% ^Decreasing^,Green,1.4,Yellow
Tennessee,Tennessee,Bruised Red,25749,250,Green,57,45441,72% ^Elevated^,Elevated,72% ^Elevated^,Elevated,202,Bruised Red,161,190,192,185,191,168,167,180,180,175,168,161,148,149,161,-15% ^Decreasing^,Green,1.12,Yellow
Texas,Texas 😷,Bruised Red,31988,73,Red,19,172062,80% ^Constrained^,Constrained,75% ^Elevated^,Elevated,180,Bruised Red,169,242,237,229,224,216,214,214,206,194,192,182,179,173,169,-30% ^Decreasing^,Green,1.97,Yellow
Utah,Utah,Bruised Red,3440,71,Red,28,12304,56% ^Normal^,Normal,56% ^Normal^,Normal,116,Red,45,74,64,59,58,64,49,57,49,49,48,46,49,45,45,-39% ^Decreasing^,Green,0.8,Green
Vermont,Vermont 😷,Green,1169,124,Green,124,940,53% ^Normal^,Normal,37% ^Normal^,Normal,10,Green,21,14,22,21,22,27,29,27,19,16,16,24,21,18,21,44% ^Increasing^,Red,3.69,Yellow
Virginia,Virginia,Red,15666,122,Green,52,29950,65% ^Normal^,Normal,58% ^Normal^,Normal,106,Red,138,150,147,152,149,139,137,147,146,148,144,135,135,132,138,-8% ^Decreasing^,Green,2.18,Yellow
Washington,Washington 😷,Bruised Red,521,5,Bruised Red,3,17207,88% ^Severely constrained^,Severely constrained,85% ^Constrained^,Constrained,68,Yellow,46,50,52,53,51,52,51,52,49,51,49,49,49,49,46,-8% ^Decreasing^,Green,2.62,Yellow
West Virginia,West Virginia,Yellow,5406,200,Green,173,3130,75% ^Elevated^,Elevated,73% ^Elevated^,Elevated,53,Yellow,78,75,71,75,74,73,75,74,74,78,81,77,78,79,78,3% ^Increasing^,Red,1.99,Yellow
Wisconsin,Wisconsin,Red,8351,95,Yellow,36,23015,57% ^Normal^,Normal,64% ^Normal^,Normal,120,Red,58,63,63,58,58,57,63,63,67,63,60,60,57,55,58,-7% ^Decreasing^,Green,1.44,Yellow
Wyoming,Wyoming,Yellow,1155,132,Green,90,1278,41% ^Normal^,Normal,39% ^Normal^,Normal,67,Yellow,31,26,24,22,22,22,22,21,21,31,33,33,33,35,31,20% ^Increasing^,Red,1.02,Yellow
Puerto Rico,Puerto Rico,Bruised Red,430,9,Bruised Red,3,14176,58% ^Normal^,Normal,57% ^Normal^,Normal,135,Red,122,140,146,134,127,123,125,123,113,122,123,126,116,114,122,-13% ^Decreasing^,Green,1.29,Yellow
United States,United States,Red,691876,139,Green,50,1373601,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,126,Red,117,145,142,138,135,133,131,132,131,127,123,120,118,117,117,-19% ^Decreasing^,Green,2.96,Yellow
