STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Indiana,Indiana 😷,Red,9566,94,Yellow,34,28215,64% ^Normal^,Normal,58% ^Normal^,Normal,127,Red,126,137,150,147,143,143,137,143,139,147,135,137,140,134,126,-8% ^Decreasing^,Green,3.87,Yellow
Iowa,Iowa,Bruised Red,4740,100,Green,28,17075,63% ^Normal^,Normal,58% ^Normal^,Normal,164,Bruised Red,91,79,75,71,73,70,71,77,77,83,82,83,86,90,91,16% ^Increasing^,Red,1.87,Yellow
Kansas,Kansas 😷,Bruised Red,3942,90,Yellow,24,16203,58% ^Normal^,Normal,51% ^Normal^,Normal,169,Bruised Red,79,123,123,114,114,114,74,74,123,123,107,107,107,79,79,-36% ^Decreasing^,Green,1.15,Yellow
Kentucky,Kentucky 😷,Red,8364,124,Green,39,21243,77% ^Elevated^,Elevated,63% ^Normal^,Normal,144,Red,139,139,157,160,146,146,143,149,153,147,147,138,138,126,139,0% ^Increasing^,Red,2.06,Yellow
Louisiana,Louisiana 😷,Bruised Red,17347,248,Green,61,28286,66% ^Normal^,Normal,63% ^Normal^,Normal,184,Bruised Red,259,316,313,302,302,297,297,287,284,276,267,267,257,264,259,-18% ^Decreasing^,Green,3.27,Yellow
Maine,Maine 😷,Green,3125,154,Green,154,2025,64% ^Normal^,Normal,58% ^Normal^,Normal,17,Green,7,7,8,7,7,7,6,7,7,8,4,4,7,7,7,0% ^Decreasing^,Green,3.01,Yellow
Maryland,Maryland 😷,Red,14264,157,Green,69,20705,66% ^Normal^,Normal,67% ^Normal^,Normal,104,Red,75,92,88,87,85,87,88,88,81,78,76,76,79,72,75,-18% ^Decreasing^,Green,3.61,Yellow
Massachusetts,Massachusetts 😷,Green,18603,178,Green,178,10470,51% ^Normal^,Normal,64% ^Normal^,Normal,39,Green,54,57,58,56,56,54,55,56,61,58,57,54,54,53,54,-6% ^Decreasing^,Green,7.15,Red
Michigan,Michigan 😷,Yellow,30853,205,Green,126,24467,72% ^Elevated^,Elevated,60% ^Normal^,Normal,74,Yellow,65,69,69,69,69,69,64,64,64,71,71,71,71,65,65,-6% ^Decreasing^,Green,6.39,Red
Minnesota,Minnesota,Red,8182,96,Yellow,41,19904,68% ^Normal^,Normal,59% ^Normal^,Normal,107,Red,54,54,57,53,55,55,57,60,59,55,56,54,51,51,54,0% ^Decreasing^,Green,2.67,Yellow
Mississippi,Mississippi 😷,Bruised Red,2997,67,Red,13,23166,73% ^Elevated^,Elevated,54% ^Normal^,Normal,236,Bruised Red,366,396,398,382,387,387,361,374,386,382,372,378,378,363,366,-8% ^Decreasing^,Green,2.91,Yellow
Missouri,Missouri,Bruised Red,11466,124,Green,29,39987,58% ^Normal^,Normal,44% ^Normal^,Normal,197,Bruised Red,145,144,157,152,151,146,150,150,140,144,144,142,145,139,145,1% ^Increasing^,Red,2.02,Yellow
Montana,Montana,Red,1586,99,Yellow,45,3498,55% ^Normal^,Normal,61% ^Normal^,Normal,99,Red,91,74,81,79,76,78,75,72,91,95,80,84,84,88,91,23% ^Increasing^,Red,1.44,Yellow
Nebraska,Nebraska,Red,2822,97,Yellow,32,8802,54% ^Normal^,Normal,45% ^Normal^,Normal,138,Red,82,78,77,78,81,76,75,84,81,79,76,75,74,75,82,5% ^Increasing^,Red,1.18,Yellow
Nevada,Nevada 😷,Bruised Red,4168,90,Yellow,17,24132,68% ^Normal^,Normal,71% ^Elevated^,Elevated,237,Bruised Red,293,373,363,336,317,317,329,315,324,319,308,306,306,282,293,-21% ^Decreasing^,Green,1.76,Yellow
New Hampshire,New Hampshire,Green,1644,80,Yellow,80,2049,46% ^Normal^,Normal,59% ^Normal^,Normal,16,Green,9,17,15,15,18,17,15,15,13,11,11,11,10,11,9,-48% ^Decreasing^,Green,6.04,Red
New Jersey,New Jersey 😷,Yellow,26062,195,Green,195,13382,54% ^Normal^,Normal,73% ^Elevated^,Elevated,42,Yellow,53,88,85,62,61,54,61,61,67,61,58,59,51,53,53,-40% ^Decreasing^,Green,8.47,Red
New Mexico,New Mexico 😷,Yellow,6308,200,Green,127,4978,62% ^Normal^,Normal,65% ^Normal^,Normal,72,Yellow,57,63,66,66,63,61,58,61,64,57,61,60,54,52,57,-11% ^Decreasing^,Green,3.06,Yellow
New York,New York 😷,Green,78753,269,Green,269,29309,57% ^Normal^,Normal,70% ^Normal^,Normal,34,Green,28,29,29,30,29,28,28,28,29,29,28,27,27,27,28,-5% ^Decreasing^,Green,5.92,Red
North Carolina,North Carolina,Red,18262,116,Green,44,41882,73% ^Elevated^,Elevated,71% ^Elevated^,Elevated,121,Red,98,111,109,107,108,106,106,107,101,102,100,98,89,93,98,-12% ^Decreasing^,Green,1.63,Yellow
North Dakota,North Dakota,Bruised Red,1296,113,Green,31,4229,38% ^Normal^,Normal,60% ^Normal^,Normal,168,Bruised Red,62,55,60,63,64,62,63,72,76,77,85,72,71,72,62,12% ^Increasing^,Red,1.24,Yellow
Ohio,Ohio 😷,Red,23033,131,Green,69,33457,61% ^Normal^,Normal,64% ^Normal^,Normal,87,Red,80,86,84,82,80,81,83,83,84,81,79,77,78,80,80,-7% ^Decreasing^,Green,3.52,Yellow
Oklahoma,Oklahoma,Bruised Red,8681,146,Green,40,21676,61% ^Normal^,Normal,58% ^Normal^,Normal,166,Bruised Red,144,163,162,142,150,150,150,134,131,152,143,128,128,128,144,-12% ^Decreasing^,Green,1.38,Yellow
Oregon,Oregon 😷,Yellow,5607,88,Yellow,63,8967,70% ^Normal^,Normal,75% ^Elevated^,Elevated,64,Yellow,51,54,55,48,48,48,51,55,51,55,53,53,53,49,51,-6% ^Decreasing^,Green,1.68,Yellow
Pennsylvania,Pennsylvania 😷,Yellow,14853,77,Yellow,59,24976,66% ^Normal^,Normal,69% ^Normal^,Normal,59,Yellow,43,50,52,51,50,47,46,47,47,47,46,45,44,44,43,-14% ^Decreasing^,Green,5.97,Red
Rhode Island,Rhode Island 😷,Red,4017,252,Green,133,3012,86% ^Severely constrained^,Severely constrained,95% ^Constrained^,Constrained,86,Red,74,75,78,79,88,88,88,83,84,76,75,80,76,76,74,-1% ^Decreasing^,Green,4.95,Yellow
South Carolina,South Carolina,Bruised Red,11733,151,Green,45,26127,74% ^Elevated^,Elevated,72% ^Elevated^,Elevated,154,Bruised Red,217,285,290,275,272,268,263,258,265,257,252,242,225,214,217,-24% ^Decreasing^,Green,2.18,Yellow
South Dakota,South Dakota,Red,1086,81,Yellow,32,3441,44% ^Normal^,Normal,35% ^Normal^,Normal,118,Red,77,49,50,53,54,62,71,64,67,63,73,71,75,68,77,58% ^Increasing^,Red,1.47,Yellow
Tennessee,Tennessee,Bruised Red,21941,213,Green,43,51211,71% ^Elevated^,Elevated,66% ^Normal^,Normal,227,Bruised Red,180,212,219,206,204,189,171,202,190,192,185,191,168,167,180,-15% ^Decreasing^,Green,1.05,Yellow
Texas,Texas 😷,Bruised Red,58826,135,Green,25,233885,75% ^Elevated^,Elevated,71% ^Elevated^,Elevated,244,Bruised Red,214,292,286,278,271,256,252,249,242,237,229,224,216,214,214,-27% ^Decreasing^,Green,1.86,Yellow
Utah,Utah,Red,3995,83,Yellow,35,11338,56% ^Normal^,Normal,51% ^Normal^,Normal,107,Red,57,69,69,73,69,70,69,65,74,64,59,58,64,49,57,-17% ^Decreasing^,Green,0.78,Green
Vermont,Vermont 😷,Green,1449,154,Green,154,940,53% ^Normal^,Normal,32% ^Normal^,Normal,13,Green,27,14,10,10,13,10,18,19,14,22,21,22,27,29,27,89% ^Increasing^,Red,3.79,Yellow
Virginia,Virginia,Red,16966,132,Green,55,30817,63% ^Normal^,Normal,55% ^Normal^,Normal,109,Red,147,153,158,161,147,141,147,151,150,147,152,149,139,137,147,-4% ^Decreasing^,Green,2.21,Yellow
Washington,Washington 😷,Bruised Red,582,5,Bruised Red,3,19206,84% ^Constrained^,Constrained,81% ^Constrained^,Constrained,76,Yellow,52,56,56,53,54,53,53,51,50,52,53,51,52,51,52,-7% ^Decreasing^,Green,2.64,Yellow
West Virginia,West Virginia,Yellow,5017,186,Green,124,4035,72% ^Elevated^,Elevated,69% ^Normal^,Normal,68,Yellow,74,64,69,68,68,69,69,73,75,71,75,74,73,75,74,15% ^Increasing^,Red,1.88,Yellow
Wisconsin,Wisconsin,Red,9489,108,Green,38,24990,52% ^Normal^,Normal,58% ^Normal^,Normal,130,Red,63,44,43,51,53,61,71,63,63,63,58,58,57,63,63,43% ^Increasing^,Red,1.48,Yellow
Wyoming,Wyoming,Red,513,59,Red,38,1367,43% ^Normal^,Normal,39% ^Normal^,Normal,72,Yellow,21,28,28,29,29,29,26,26,26,24,22,22,22,22,21,-25% ^Decreasing^,Green,1.01,Yellow
Puerto Rico,Puerto Rico,Bruised Red,616,13,Bruised Red,3,20319,58% ^Normal^,Normal,54% ^Normal^,Normal,193,Bruised Red,123,159,143,138,125,133,132,137,140,146,134,127,123,125,123,-23% ^Decreasing^,Green,1.25,Yellow
United States,United States,Red,749282,150,Green,47,1607487,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,147,Red,132,161,160,154,151,148,147,146,145,142,138,135,133,131,132,-18% ^Decreasing^,Green,3.0,Yellow
