STATE,STATE NAME,NEW GATING SCORE,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (US: 500K/DAY),TEST TARGET - 500K - COLOR,% OF TEST TARGET (INCIDENCE ADJUSTED),TEST TARGET (INCIDENT ADJUSTED),ICU OCCUPIED,ICU COLOR,BEDS OCCUPIED,BED COLOR,NEW CASES PER MILLION PER DAY,DAILY INCIDENTS PER MILLION COLOR,CURRENTLY HOSPITALIZED PER MILLION,HOSPITALIZED-13,HOSPITALIZED-12,HOSPITALIZED-11,HOSPITALIZED-10,HOSPITALIZED-09,HOSPITALIZED-08,HOSPITALIZED-07,HOSPITALIZED-06,HOSPITALIZED-05,HOSPITALIZED-04,HOSPITALIZED-03,HOSPITALIZED-02,HOSPITALIZED-01,HOSPITALIZED-00,CURRENTLY HOSPITALIZED TREND,HOSPITALIZED TREND COLOR,CASE FATALITY RATE,CASE FATALITY RATE COLOR
Alabama,Alabama,Bruised Red,12081,164,Green,39,30690,85% ^Severely constrained^,Severely constrained,69% ^Normal^,Normal,190,Bruised Red,261,321,329,286,297,296,316,307,283,273,270,257,263,265,261,-19% ^Decreasing^,Green,1.75,Yellow
Alaska,Alaska,Red,2752,250,Green,99,2772,47% ^Normal^,Normal,43% ^Normal^,Normal,115,Red,64,52,57,51,51,55,51,53,53,63,52,49,57,45,64,24% ^Increasing^,Red,0.56,Green
Arizona,Arizona,Red,9532,87,Yellow,33,29148,83% ^Constrained^,Constrained,70% ^Normal^,Normal,121,Red,160,267,258,243,228,223,216,216,202,194,187,176,166,162,160,-40% ^Decreasing^,Green,2.32,Yellow
Arkansas,Arkansas 😷,Red,8656,190,Green,60,14501,68% ^Normal^,Normal,60% ^Normal^,Normal,146,Red,163,171,170,170,173,165,168,168,161,157,154,154,158,161,163,-5% ^Decreasing^,Green,1.16,Yellow
California,California 😷,Bruised Red,123251,207,Green,45,274635,69% ^Normal^,Normal,69% ^Normal^,Normal,211,Bruised Red,161,191,189,184,176,173,171,171,168,163,161,160,160,160,161,-16% ^Decreasing^,Green,1.79,Yellow
Colorado,Colorado,Yellow,10139,117,Green,92,10989,52% ^Normal^,Normal,54% ^Normal^,Normal,58,Yellow,43,58,56,55,55,60,55,54,55,50,46,41,41,42,43,-27% ^Decreasing^,Green,3.33,Yellow
Connecticut,Connecticut 😷,Green,11633,217,Green,217,5371,47% ^Normal^,Normal,69% ^Normal^,Normal,23,Green,13,17,19,18,18,18,18,20,16,18,16,16,16,12,13,-20% ^Decreasing^,Green,8.69,Red
Delaware,Delaware 😷,Red,1664,113,Green,39,4215,69% ^Normal^,Normal,59% ^Normal^,Normal,131,Red,33,48,46,38,37,37,35,36,36,38,39,33,31,30,33,-32% ^Decreasing^,Green,3.57,Yellow
District of Columbia,District of Columbia 😷,Red,3533,332,Green,175,2022,74% ^Elevated^,Elevated,83% ^Constrained^,Constrained,87,Red,112,137,139,128,113,109,106,118,120,118,119,115,112,116,112,-19% ^Decreasing^,Green,4.5,Yellow
Florida,Florida,Bruised Red,32824,101,Green,19,175089,74% ^Elevated^,Elevated,54% ^Normal^,Normal,247,Bruised Red,255,355,347,333,321,319,323,314,305,294,274,266,265,262,255,-28% ^Decreasing^,Green,1.71,Yellow
Georgia,Georgia,Bruised Red,23548,147,Green,26,89991,72% ^Elevated^,Elevated,55% ^Normal^,Normal,257,Bruised Red,245,290,283,281,271,270,270,271,270,264,253,244,245,247,245,-16% ^Decreasing^,Green,1.98,Yellow
Hawaii,Hawaii,Bruised Red,2623,123,Green,35,7434,64% ^Normal^,Normal,87% ^Constrained^,Constrained,159,Bruised Red,124,59,59,83,72,74,74,74,117,93,103,122,101,101,124,111% ^Increasing^,Red,0.77,Green
Idaho,Idaho,Bruised Red,2638,98,Yellow,20,13398,49% ^Normal^,Normal,45% ^Normal^,Normal,227,Bruised Red,93,109,135,135,112,112,112,106,106,121,121,115,115,115,93,-14% ^Decreasing^,Green,0.98,Green
Illinois,Illinois 😷,Red,41657,218,Green,70,59768,51% ^Normal^,Normal,55% ^Normal^,Normal,143,Red,119,122,120,117,121,117,117,115,120,128,127,121,125,122,119,-3% ^Decreasing^,Green,3.79,Yellow
