lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Culpeper,51047
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Fauquier,51061
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Madison,51113
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Orange,51137
2020-08-02,Rappahannock Rapidan,205,9,216,12,0.0439,0.05556,0.0439,Rappahannock,51157
2020-08-02,Alleghany,188,6,204,6,0.03191,0.02941,0.03191,Alleghany,51005
2020-08-02,Alleghany,188,6,204,6,0.03191,0.02941,0.03191,Botetourt,51023
2020-08-02,Alleghany,188,6,204,6,0.03191,0.02941,0.03191,Covington,51580
2020-08-02,Alleghany,188,6,204,6,0.03191,0.02941,0.03191,Craig,51045
2020-08-02,Alleghany,188,6,204,6,0.03191,0.02941,0.03191,Roanoke County,51161
2020-08-02,Alleghany,188,6,204,6,0.03191,0.02941,0.03191,Salem,51775
2020-08-02,Arlington,516,22,541,23,0.04264,0.04251,0.04264,Arlington,51013
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Augusta,51015
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Bath,51017
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Buena Vista City,51530
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Harrisonburg,51660
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Highland,51091
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Lexington,51678
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Rockbridge,51163
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Rockingham,51165
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Staunton,51790
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03604,Waynesboro,51820
