lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-07-09,Alexandria,232,17,291,18,0.07328,0.06186,0.07328,Alexandria,51510
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.0401,Clarke,51043
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.0401,Frederick,51069
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.0401,Page,51139
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.0401,Shenandoah,51171
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.0401,Warren,51187
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.0401,Winchester,51840
2020-08-01,Lenowisco,111,14,114,14,0.12613,0.12281,0.12613,Lee,51105
2020-08-01,Lenowisco,111,14,114,14,0.12613,0.12281,0.12613,Norton,51720
2020-08-01,Lenowisco,111,14,114,14,0.12613,0.12281,0.12613,Scott,51169
2020-08-01,Lenowisco,111,14,114,14,0.12613,0.12281,0.12613,Wise,51195
2020-08-01,Henrico,791,46,823,51,0.05815,0.06197,0.05815,Henrico,51087
2020-08-01,Hampton,219,19,224,21,0.08676,0.09375,0.08676,Hampton,51650
2020-08-01,Fairfax,1773,89,1950,107,0.0502,0.05487,0.0502,Fairfax,51059
2020-08-01,Fairfax,1773,89,1950,107,0.0502,0.05487,0.0502,Fairfax City,51600
2020-08-01,Fairfax,1773,89,1950,107,0.0502,0.05487,0.0502,Falls Church,51610
2020-08-01,Eastern Shore,206,4,208,4,0.01942,0.01923,0.01942,Accomack,51001
2020-08-01,Eastern Shore,206,4,208,4,0.01942,0.01923,0.01942,Northampton,51131
2020-08-01,Cumberland Plateau,87,6,89,6,0.06897,0.06742,0.06897,Buchanan,51027
2020-08-01,Cumberland Plateau,87,6,89,6,0.06897,0.06742,0.06897,Dickenson,51051
2020-08-01,Cumberland Plateau,87,6,89,6,0.06897,0.06742,0.06897,Russell,51167
