lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-18,Alexandria,185,10,198,10,0.05405,0.05051,0.05405,Alexandria,51510
2020-08-19,Lenowisco,86,4,93,4,0.04651,0.04301,0.04651,Lee,51105
2020-08-19,Lenowisco,86,4,93,4,0.04651,0.04301,0.04651,Norton,51720
2020-08-19,Lenowisco,86,4,93,4,0.04651,0.04301,0.04651,Scott,51169
2020-08-19,Lenowisco,86,4,93,4,0.04651,0.04301,0.04651,Wise,51195
2020-08-19,Henrico,602,37,629,40,0.06146,0.06359,0.06146,Henrico,51087
2020-08-19,Hampton,188,20,194,20,0.10638,0.10309,0.10638,Hampton,51650
2020-08-19,Fairfax,1997,117,2245,139,0.05859,0.06192,0.05859,Fairfax,51059
2020-08-19,Fairfax,1997,117,2245,139,0.05859,0.06192,0.05859,Fairfax City,51600
2020-08-19,Fairfax,1997,117,2245,139,0.05859,0.06192,0.05859,Falls Church,51610
2020-08-19,Eastern Shore,64,1,64,1,0.01562,0.01562,0.01562,Accomack,51001
2020-08-19,Eastern Shore,64,1,64,1,0.01562,0.01562,0.01562,Northampton,51131
2020-08-19,Cumberland Plateau,45,6,50,7,0.13333,0.14,0.13333,Buchanan,51027
2020-08-19,Cumberland Plateau,45,6,50,7,0.13333,0.14,0.13333,Dickenson,51051
2020-08-19,Cumberland Plateau,45,6,50,7,0.13333,0.14,0.13333,Russell,51167
2020-08-19,Cumberland Plateau,45,6,50,7,0.13333,0.14,0.13333,Tazewell,51185
2020-08-19,Crater,327,82,338,82,0.25076,0.2426,0.25076,Dinwiddie,51053
2020-08-19,Crater,327,82,338,82,0.25076,0.2426,0.25076,Emporia,51595
2020-08-19,Crater,327,82,338,82,0.25076,0.2426,0.25076,Greensville,51081
2020-08-19,Crater,327,82,338,82,0.25076,0.2426,0.25076,Hopewell,51670
2020-08-19,Crater,327,82,338,82,0.25076,0.2426,0.25076,Petersburg,51730
2020-08-19,Crater,327,82,338,82,0.25076,0.2426,0.25076,Prince George,51149
2020-08-19,Crater,327,82,338,82,0.25076,0.2426,0.25076,Surry,51181
2020-08-19,Crater,327,82,338,82,0.25076,0.2426,0.25076,Sussex,51183
2020-08-19,Chickahominy,205,13,225,14,0.06341,0.06222,0.06341,Charles City,51036
2020-08-19,Chickahominy,205,13,225,14,0.06341,0.06222,0.06341,Goochland,51075
