lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-03,Mount Rogers,171,18,183,25,0.10526,0.13661,0.10526,Bland,51021
2020-08-03,Mount Rogers,171,18,183,25,0.10526,0.13661,0.10526,Bristol,51520
2020-08-03,Mount Rogers,171,18,183,25,0.10526,0.13661,0.10526,Carroll,51035
2020-08-03,Mount Rogers,171,18,183,25,0.10526,0.13661,0.10526,Galax,51640
2020-08-03,Mount Rogers,171,18,183,25,0.10526,0.13661,0.10526,Grayson,51077
2020-08-03,Mount Rogers,171,18,183,25,0.10526,0.13661,0.10526,Smyth,51173
2020-08-03,Mount Rogers,171,18,183,25,0.10526,0.13661,0.10526,Washington,51191
2020-08-03,Mount Rogers,171,18,183,25,0.10526,0.13661,0.10526,Wythe,51197
2020-08-03,Alleghany,117,6,126,6,0.05128,0.04762,0.05128,Alleghany,51005
2020-08-03,Alleghany,117,6,126,6,0.05128,0.04762,0.05128,Botetourt,51023
2020-08-03,Alleghany,117,6,126,6,0.05128,0.04762,0.05128,Covington,51580
2020-08-03,Alleghany,117,6,126,6,0.05128,0.04762,0.05128,Craig,51045
2020-08-03,Alleghany,117,6,126,6,0.05128,0.04762,0.05128,Roanoke County,51161
2020-08-03,Alleghany,117,6,126,6,0.05128,0.04762,0.05128,Salem,51775
2020-08-03,Arlington,395,18,407,19,0.04557,0.04668,0.04557,Arlington,51013
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Augusta,51015
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Bath,51017
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Buena Vista City,51530
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Harrisonburg,51660
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Highland,51091
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Lexington,51678
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Rockbridge,51163
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Rockingham,51165
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Staunton,51790
2020-08-03,Central Shenandoah,231,14,234,14,0.06061,0.05983,0.06061,Waynesboro,51820
2020-08-03,Central Virginia,214,16,216,16,0.07477,0.07407,0.07477,Amherst,51009
2020-08-03,Central Virginia,214,16,216,16,0.07477,0.07407,0.07477,Appomattox,51011
