lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-08,Alexandria,351,19,373,21,0.05413,0.0563,0.05413,Alexandria,51510
2020-08-09,Lenowisco,170,24,171,24,0.14118,0.14035,0.14118,Lee,51105
2020-08-09,Lenowisco,170,24,171,24,0.14118,0.14035,0.14118,Norton,51720
2020-08-09,Lenowisco,170,24,171,24,0.14118,0.14035,0.14118,Scott,51169
2020-08-09,Lenowisco,170,24,171,24,0.14118,0.14035,0.14118,Wise,51195
2020-08-09,Henrico,501,47,533,52,0.09381,0.09756,0.09381,Henrico,51087
2020-08-09,Hampton,316,30,321,30,0.09494,0.09346,0.09494,Hampton,51650
2020-08-09,Fairfax,1593,106,1688,118,0.06654,0.06991,0.06654,Fairfax,51059
2020-08-09,Fairfax,1593,106,1688,118,0.06654,0.06991,0.06654,Fairfax City,51600
2020-08-09,Fairfax,1593,106,1688,118,0.06654,0.06991,0.06654,Falls Church,51610
2020-08-09,Eastern Shore,48,3,48,3,0.0625,0.0625,0.0625,Accomack,51001
2020-08-09,Eastern Shore,48,3,48,3,0.0625,0.0625,0.0625,Northampton,51131
2020-08-09,Cumberland Plateau,74,8,78,8,0.10811,0.10256,0.10811,Buchanan,51027
2020-08-09,Cumberland Plateau,74,8,78,8,0.10811,0.10256,0.10811,Dickenson,51051
2020-08-09,Cumberland Plateau,74,8,78,8,0.10811,0.10256,0.10811,Russell,51167
2020-08-09,Cumberland Plateau,74,8,78,8,0.10811,0.10256,0.10811,Tazewell,51185
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.20767,Dinwiddie,51053
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.20767,Emporia,51595
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.20767,Greensville,51081
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.20767,Hopewell,51670
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.20767,Petersburg,51730
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.20767,Prince George,51149
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.20767,Surry,51181
2020-08-09,Crater,313,65,319,66,0.20767,0.2069,0.20767,Sussex,51183
2020-08-09,Chickahominy,182,11,198,12,0.06044,0.06061,0.06044,Charles City,51036
2020-08-09,Chickahominy,182,11,198,12,0.06044,0.06061,0.06044,Goochland,51075
2020-08-09,Chickahominy,182,11,198,12,0.06044,0.06061,0.06044,Hanover,51085
2020-08-09,Chickahominy,182,11,198,12,0.06044,0.06061,0.06044,New Kent,51127
2020-08-09,Chesterfield,588,44,627,49,0.07483,0.07815,0.07483,Chesterfield,51041
2020-08-09,Chesterfield,588,44,627,49,0.07483,0.07815,0.07483,Colonial Heights,51570
2020-08-09,Chesterfield,588,44,627,49,0.07483,0.07815,0.07483,Powhatan,51145
2020-08-09,Chesapeake,428,62,442,68,0.14486,0.15385,0.14486,Chesapeake,51550
2020-08-09,Central Virginia,392,38,399,38,0.09694,0.09524,0.09694,Amherst,51009
2020-08-09,Central Virginia,392,38,399,38,0.09694,0.09524,0.09694,Appomattox,51011
2020-08-09,Central Virginia,392,38,399,38,0.09694,0.09524,0.09694,Bedford,51019
2020-08-09,Central Virginia,392,38,399,38,0.09694,0.09524,0.09694,Campbell,51031
2020-08-09,Central Virginia,392,38,399,38,0.09694,0.09524,0.09694,Lynchburg,51680
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Augusta,51015
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Bath,51017
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Buena Vista City,51530
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Harrisonburg,51660
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Highland,51091
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Lexington,51678
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Rockbridge,51163
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Rockingham,51165
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Staunton,51790
2020-08-09,Central Shenandoah,372,15,384,16,0.04032,0.04167,0.04032,Waynesboro,51820
2020-08-09,Arlington,398,20,421,21,0.05025,0.04988,0.05025,Arlington,51013
2020-08-09,Alleghany,89,2,97,2,0.02247,0.02062,0.02247,Alleghany,51005
2020-08-09,Alleghany,89,2,97,2,0.02247,0.02062,0.02247,Botetourt,51023
2020-08-09,Alleghany,89,2,97,2,0.02247,0.02062,0.02247,Covington,51580
2020-08-09,Alleghany,89,2,97,2,0.02247,0.02062,0.02247,Craig,51045
2020-08-09,Alleghany,89,2,97,2,0.02247,0.02062,0.02247,Roanoke County,51161
2020-08-09,Alleghany,89,2,97,2,0.02247,0.02062,0.02247,Salem,51775
2020-08-09,Alexandria,279,16,291,16,0.05735,0.05498,0.05574,Alexandria,51510
2020-08-09,Lord Fairfax,350,16,357,16,0.04571,0.04482,0.04571,Clarke,51043
2020-08-09,Lord Fairfax,350,16,357,16,0.04571,0.04482,0.04571,Frederick,51069
2020-08-09,Lord Fairfax,350,16,357,16,0.04571,0.04482,0.04571,Page,51139
2020-08-09,Lord Fairfax,350,16,357,16,0.04571,0.04482,0.04571,Shenandoah,51171
2020-08-09,Lord Fairfax,350,16,357,16,0.04571,0.04482,0.04571,Warren,51187
2020-08-09,Lord Fairfax,350,16,357,16,0.04571,0.04482,0.04571,Winchester,51840
2020-08-09,Loudoun,545,41,596,47,0.07523,0.07886,0.07523,Loudoun,51107
2020-08-09,West Piedmont,122,15,127,16,0.12295,0.12598,0.12295,Franklin County,51067
