lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-20,Alexandria,297,21,322,25,0.07071,0.07764,0.07071,Alexandria,51510
2020-08-21,Lenowisco,237,12,244,13,0.05063,0.05328,0.05063,Lee,51105
2020-08-21,Lenowisco,237,12,244,13,0.05063,0.05328,0.05063,Norton,51720
2020-08-21,Lenowisco,237,12,244,13,0.05063,0.05328,0.05063,Scott,51169
2020-08-21,Lenowisco,237,12,244,13,0.05063,0.05328,0.05063,Wise,51195
2020-08-21,Henrico,828,48,864,52,0.05797,0.06019,0.05797,Henrico,51087
2020-08-21,Hampton,250,20,252,20,0.08,0.07937,0.08,Hampton,51650
2020-08-21,Fairfax,1678,102,1920,116,0.06079,0.06042,0.06079,Fairfax,51059
2020-08-21,Fairfax,1678,102,1920,116,0.06079,0.06042,0.06079,Fairfax City,51600
2020-08-21,Fairfax,1678,102,1920,116,0.06079,0.06042,0.06079,Falls Church,51610
2020-08-21,Eastern Shore,79,2,79,2,0.02532,0.02532,0.02532,Accomack,51001
2020-08-21,Eastern Shore,79,2,79,2,0.02532,0.02532,0.02532,Northampton,51131
2020-08-21,Cumberland Plateau,49,1,51,1,0.02041,0.01961,0.02041,Buchanan,51027
2020-08-21,Cumberland Plateau,49,1,51,1,0.02041,0.01961,0.02041,Dickenson,51051
2020-08-21,Cumberland Plateau,49,1,51,1,0.02041,0.01961,0.02041,Russell,51167
2020-08-21,Cumberland Plateau,49,1,51,1,0.02041,0.01961,0.02041,Tazewell,51185
2020-08-21,Crater,224,39,242,44,0.17411,0.18182,0.17411,Dinwiddie,51053
2020-08-21,Crater,224,39,242,44,0.17411,0.18182,0.17411,Emporia,51595
2020-08-21,Crater,224,39,242,44,0.17411,0.18182,0.17411,Greensville,51081
2020-08-21,Crater,224,39,242,44,0.17411,0.18182,0.17411,Hopewell,51670
2020-08-21,Crater,224,39,242,44,0.17411,0.18182,0.17411,Petersburg,51730
2020-08-21,Crater,224,39,242,44,0.17411,0.18182,0.17411,Prince George,51149
2020-08-21,Crater,224,39,242,44,0.17411,0.18182,0.17411,Surry,51181
2020-08-21,Crater,224,39,242,44,0.17411,0.18182,0.17411,Sussex,51183
2020-08-21,Chickahominy,217,7,238,9,0.03226,0.03782,0.03226,Charles City,51036
2020-08-21,Chickahominy,217,7,238,9,0.03226,0.03782,0.03226,Goochland,51075
2020-08-21,Chickahominy,217,7,238,9,0.03226,0.03782,0.03226,Hanover,51085
2020-08-21,Chickahominy,217,7,238,9,0.03226,0.03782,0.03226,New Kent,51127
2020-08-21,Chesterfield,621,62,691,71,0.09984,0.10275,0.09984,Chesterfield,51041
2020-08-21,Chesterfield,621,62,691,71,0.09984,0.10275,0.09984,Colonial Heights,51570
2020-08-21,Chesterfield,621,62,691,71,0.09984,0.10275,0.09984,Powhatan,51145
2020-08-21,Chesapeake,314,43,327,43,0.13694,0.1315,0.13694,Chesapeake,51550
2020-08-21,Central Virginia,340,49,345,49,0.14412,0.14203,0.14412,Amherst,51009
2020-08-21,Central Virginia,340,49,345,49,0.14412,0.14203,0.14412,Appomattox,51011
2020-08-21,Central Virginia,340,49,345,49,0.14412,0.14203,0.14412,Bedford,51019
2020-08-21,Central Virginia,340,49,345,49,0.14412,0.14203,0.14412,Campbell,51031
2020-08-21,Central Virginia,340,49,345,49,0.14412,0.14203,0.14412,Lynchburg,51680
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Augusta,51015
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Bath,51017
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Buena Vista City,51530
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Harrisonburg,51660
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Highland,51091
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Lexington,51678
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Rockbridge,51163
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Rockingham,51165
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Staunton,51790
2020-08-21,Central Shenandoah,219,10,232,12,0.04566,0.05172,0.04566,Waynesboro,51820
2020-08-21,Arlington,473,20,536,22,0.04228,0.04104,0.04228,Arlington,51013
2020-08-21,Alleghany,163,15,187,16,0.09202,0.08556,0.09202,Alleghany,51005
2020-08-21,Alleghany,163,15,187,16,0.09202,0.08556,0.09202,Botetourt,51023
2020-08-21,Alleghany,163,15,187,16,0.09202,0.08556,0.09202,Covington,51580
2020-08-21,Alleghany,163,15,187,16,0.09202,0.08556,0.09202,Craig,51045
2020-08-21,Alleghany,163,15,187,16,0.09202,0.08556,0.09202,Roanoke County,51161
2020-08-21,Alleghany,163,15,187,16,0.09202,0.08556,0.09202,Salem,51775
2020-08-21,Alexandria,300,20,323,25,0.06667,0.0774,0.06869,Alexandria,51510
2020-08-21,Lord Fairfax,354,14,364,15,0.03955,0.04121,0.03955,Clarke,51043
2020-08-21,Lord Fairfax,354,14,364,15,0.03955,0.04121,0.03955,Frederick,51069
2020-08-21,Lord Fairfax,354,14,364,15,0.03955,0.04121,0.03955,Page,51139
2020-08-21,Lord Fairfax,354,14,364,15,0.03955,0.04121,0.03955,Shenandoah,51171
2020-08-21,Lord Fairfax,354,14,364,15,0.03955,0.04121,0.03955,Warren,51187
2020-08-21,Lord Fairfax,354,14,364,15,0.03955,0.04121,0.03955,Winchester,51840
2020-08-21,Loudoun,560,31,629,42,0.05536,0.06677,0.05536,Loudoun,51107
2020-08-21,West Piedmont,133,20,142,23,0.15038,0.16197,0.15038,Franklin County,51067
2020-08-21,West Piedmont,133,20,142,23,0.15038,0.16197,0.15038,Henry,51089
2020-08-21,West Piedmont,133,20,142,23,0.15038,0.16197,0.15038,Martinsville,51690
2020-08-21,West Piedmont,133,20,142,23,0.15038,0.16197,0.15038,Patrick,51141
2020-08-21,New River,1210,28,1235,29,0.02314,0.02348,0.02314,Floyd,51063
2020-08-21,New River,1210,28,1235,29,0.02314,0.02348,0.02314,Giles,51071
2020-08-21,New River,1210,28,1235,29,0.02314,0.02348,0.02314,Montgomery,51121
2020-08-21,New River,1210,28,1235,29,0.02314,0.02348,0.02314,Pulaski,51155
2020-08-21,New River,1210,28,1235,29,0.02314,0.02348,0.02314,Radford,51750
2020-08-21,Western Tidewater,260,39,268,41,0.15,0.15299,0.15,Franklin City,51620
2020-08-21,Western Tidewater,260,39,268,41,0.15,0.15299,0.15,Isle of Wight,51093
2020-08-21,Western Tidewater,260,39,268,41,0.15,0.15299,0.15,Southampton,51175
2020-08-21,Western Tidewater,260,39,268,41,0.15,0.15299,0.15,Suffolk,51800
2020-08-21,Virginia Beach,789,39,817,40,0.04943,0.04896,0.04943,Virginia Beach,51810
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,Essex,51057
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,Gloucester,51073
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,King and Queen,51097
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,King William,51101
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,Lancaster,51103
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,Mathews,51115
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,Middlesex,51119
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,Northumberland,51133
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,Richmond County,51159
2020-08-21,Three Rivers,170,11,188,11,0.06471,0.05851,0.06471,Westmoreland,51193
2020-08-21,Thomas Jefferson,481,26,517,27,0.05405,0.05222,0.05405,Albemarle,51003
2020-08-21,Thomas Jefferson,481,26,517,27,0.05405,0.05222,0.05405,Charlottesville,51540
2020-08-21,Thomas Jefferson,481,26,517,27,0.05405,0.05222,0.05405,Fluvanna,51065
2020-08-21,Thomas Jefferson,481,26,517,27,0.05405,0.05222,0.05405,Greene,51079
2020-08-21,Thomas Jefferson,481,26,517,27,0.05405,0.05222,0.05405,Louisa,51109
2020-08-21,Thomas Jefferson,481,26,517,27,0.05405,0.05222,0.05405,Nelson,51125
2020-08-21,Southside,107,6,108,6,0.05607,0.05556,0.05607,Brunswick,51025
2020-08-21,Southside,107,6,108,6,0.05607,0.05556,0.05607,Halifax,51083
2020-08-21,Southside,107,6,108,6,0.05607,0.05556,0.05607,Mecklenburg,51117
2020-08-21,Roanoke,511,33,523,33,0.06458,0.0631,0.06458,Roanoke City,51770
2020-08-21,Richmond,1127,34,1142,34,0.03017,0.02977,0.03017,Richmond City,51760
2020-08-21,Mount Rogers,240,18,247,19,0.075,0.07692,0.075,Bland,51021
2020-08-21,Mount Rogers,240,18,247,19,0.075,0.07692,0.075,Bristol,51520
2020-08-21,Mount Rogers,240,18,247,19,0.075,0.07692,0.075,Carroll,51035
2020-08-21,Mount Rogers,240,18,247,19,0.075,0.07692,0.075,Galax,51640
2020-08-21,Mount Rogers,240,18,247,19,0.075,0.07692,0.075,Grayson,51077
2020-08-21,Mount Rogers,240,18,247,19,0.075,0.07692,0.075,Smyth,51173
2020-08-21,Mount Rogers,240,18,247,19,0.075,0.07692,0.075,Washington,51191
2020-08-21,Mount Rogers,240,18,247,19,0.075,0.07692,0.075,Wythe,51197
2020-08-21,Rappahannock,539,33,565,34,0.06122,0.06018,0.06122,Caroline,51033
2020-08-21,Rappahannock,539,33,565,34,0.06122,0.06018,0.06122,Fredericksburg,51630
2020-08-21,Rappahannock,539,33,565,34,0.06122,0.06018,0.06122,King George,51099
2020-08-21,Rappahannock,539,33,565,34,0.06122,0.06018,0.06122,Spotsylvania,51177
2020-08-21,Rappahannock,539,33,565,34,0.06122,0.06018,0.06122,Stafford,51179
2020-08-21,Prince William,802,61,878,84,0.07606,0.09567,0.07606,Manassas City,51683
2020-08-21,Prince William,802,61,878,84,0.07606,0.09567,0.07606,Manassas Park,51685
2020-08-21,Prince William,802,61,878,84,0.07606,0.09567,0.07606,Prince William,51153
2020-08-21,Portsmouth,193,27,194,27,0.1399,0.13918,0.1399,Portsmouth,51740
2020-08-21,Pittsylvania-Danville,198,24,199,24,0.12121,0.1206,0.12121,Danville,51590
2020-08-21,Pittsylvania-Danville,198,24,199,24,0.12121,0.1206,0.12121,Pittsylvania,51143
2020-08-21,Piedmont,127,6,129,6,0.04724,0.04651,0.04724,Amelia,51007
2020-08-21,Piedmont,127,6,129,6,0.04724,0.04651,0.04724,Buckingham,51029
2020-08-21,Piedmont,127,6,129,6,0.04724,0.04651,0.04724,Charlotte,51037
2020-08-21,Piedmont,127,6,129,6,0.04724,0.04651,0.04724,Cumberland,51049
2020-08-21,Piedmont,127,6,129,6,0.04724,0.04651,0.04724,Lunenburg,51111
2020-08-21,Piedmont,127,6,129,6,0.04724,0.04651,0.04724,Nottoway,51135
2020-08-21,Piedmont,127,6,129,6,0.04724,0.04651,0.04724,Prince Edward,51147
2020-08-21,Peninsula,819,75,844,76,0.09158,0.09005,0.09158,James City,51095
2020-08-21,Peninsula,819,75,844,76,0.09158,0.09005,0.09158,Newport News,51700
2020-08-21,Peninsula,819,75,844,76,0.09158,0.09005,0.09158,Poquoson,51735
2020-08-21,Peninsula,819,75,844,76,0.09158,0.09005,0.09158,Williamsburg,51830
2020-08-21,Peninsula,819,75,844,76,0.09158,0.09005,0.09158,York,51199
2020-08-21,Norfolk,376,39,385,40,0.10372,0.1039,0.10372,Norfolk,51710
2020-08-21,Rappahannock Rapidan,346,7,371,16,0.02023,0.04313,0.02023,Culpeper,51047
2020-08-21,Rappahannock Rapidan,346,7,371,16,0.02023,0.04313,0.02023,Fauquier,51061
2020-08-21,Rappahannock Rapidan,346,7,371,16,0.02023,0.04313,0.02023,Madison,51113
2020-08-21,Rappahannock Rapidan,346,7,371,16,0.02023,0.04313,0.02023,Orange,51137
2020-08-21,Rappahannock Rapidan,346,7,371,16,0.02023,0.04313,0.02023,Rappahannock,51157
2020-08-22,Henrico,691,40,707,42,0.05789,0.05941,0.05793,Henrico,51087
2020-08-22,Hampton,197,21,203,23,0.1066,0.1133,0.0933,Hampton,51650
2020-08-22,Fairfax,1993,84,2171,93,0.04215,0.04284,0.05147,Fairfax,51059
2020-08-22,Fairfax,1993,84,2171,93,0.04215,0.04284,0.05147,Fairfax City,51600
2020-08-22,Fairfax,1993,84,2171,93,0.04215,0.04284,0.05147,Falls Church,51610
2020-08-22,Eastern Shore,54,0,55,0,0.0,0.0,0.01266,Accomack,51001
