lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-05,Alexandria,271,14,323,25,0.05166,0.0774,0.05166,Alexandria,51510
2020-08-06,Lenowisco,79,18,80,18,0.22785,0.225,0.22785,Lee,51105
2020-08-06,Lenowisco,79,18,80,18,0.22785,0.225,0.22785,Norton,51720
2020-08-06,Lenowisco,79,18,80,18,0.22785,0.225,0.22785,Scott,51169
2020-08-06,Lenowisco,79,18,80,18,0.22785,0.225,0.22785,Wise,51195
2020-08-06,Henrico,536,42,551,48,0.07836,0.08711,0.07836,Henrico,51087
2020-08-06,Hampton,254,31,256,31,0.12205,0.12109,0.12205,Hampton,51650
2020-08-06,Fairfax,2064,95,2267,122,0.04603,0.05382,0.04603,Fairfax,51059
2020-08-06,Fairfax,2064,95,2267,122,0.04603,0.05382,0.04603,Fairfax City,51600
2020-08-06,Fairfax,2064,95,2267,122,0.04603,0.05382,0.04603,Falls Church,51610
2020-08-06,Eastern Shore,110,4,110,4,0.03636,0.03636,0.03636,Accomack,51001
2020-08-06,Eastern Shore,110,4,110,4,0.03636,0.03636,0.03636,Northampton,51131
2020-08-06,Cumberland Plateau,130,9,133,10,0.06923,0.07519,0.06923,Buchanan,51027
2020-08-06,Cumberland Plateau,130,9,133,10,0.06923,0.07519,0.06923,Dickenson,51051
2020-08-06,Cumberland Plateau,130,9,133,10,0.06923,0.07519,0.06923,Russell,51167
2020-08-06,Cumberland Plateau,130,9,133,10,0.06923,0.07519,0.06923,Tazewell,51185
2020-08-06,Crater,484,44,487,44,0.09091,0.09035,0.09091,Dinwiddie,51053
2020-08-06,Crater,484,44,487,44,0.09091,0.09035,0.09091,Emporia,51595
2020-08-06,Crater,484,44,487,44,0.09091,0.09035,0.09091,Greensville,51081
2020-08-06,Crater,484,44,487,44,0.09091,0.09035,0.09091,Hopewell,51670
2020-08-06,Crater,484,44,487,44,0.09091,0.09035,0.09091,Petersburg,51730
2020-08-06,Crater,484,44,487,44,0.09091,0.09035,0.09091,Prince George,51149
