lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day,CityCounty,CountyFIPS
2020-08-03,Alexandria,248,9,255,9,0.03629,0.03529,0.03629,Alexandria,51510
2020-08-04,Lenowisco,109,9,112,9,0.08257,0.08036,0.08257,Lee,51105
2020-08-04,Lenowisco,109,9,112,9,0.08257,0.08036,0.08257,Norton,51720
2020-08-04,Lenowisco,109,9,112,9,0.08257,0.08036,0.08257,Scott,51169
2020-08-04,Lenowisco,109,9,112,9,0.08257,0.08036,0.08257,Wise,51195
2020-08-04,Henrico,486,39,500,43,0.08025,0.086,0.08025,Henrico,51087
2020-08-04,Hampton,129,10,133,10,0.07752,0.07519,0.07752,Hampton,51650
2020-08-04,Fairfax,1198,63,1305,78,0.05259,0.05977,0.05259,Fairfax,51059
2020-08-04,Fairfax,1198,63,1305,78,0.05259,0.05977,0.05259,Fairfax City,51600
2020-08-04,Fairfax,1198,63,1305,78,0.05259,0.05977,0.05259,Falls Church,51610
2020-08-04,Eastern Shore,37,3,37,3,0.08108,0.08108,0.08108,Accomack,51001
2020-08-04,Eastern Shore,37,3,37,3,0.08108,0.08108,0.08108,Northampton,51131
2020-08-04,Cumberland Plateau,83,7,85,7,0.08434,0.08235,0.08434,Buchanan,51027
2020-08-04,Cumberland Plateau,83,7,85,7,0.08434,0.08235,0.08434,Dickenson,51051
2020-08-04,Cumberland Plateau,83,7,85,7,0.08434,0.08235,0.08434,Russell,51167
2020-08-04,Cumberland Plateau,83,7,85,7,0.08434,0.08235,0.08434,Tazewell,51185
2020-08-04,Chickahominy,142,9,149,11,0.06338,0.07383,0.06338,Charles City,51036
2020-08-04,Chickahominy,142,9,149,11,0.06338,0.07383,0.06338,Goochland,51075
2020-08-04,Chickahominy,142,9,149,11,0.06338,0.07383,0.06338,Hanover,51085
2020-08-04,Chickahominy,142,9,149,11,0.06338,0.07383,0.06338,New Kent,51127
2020-08-04,Chesterfield,540,47,558,55,0.08704,0.09857,0.08704,Chesterfield,51041
2020-08-04,Chesterfield,540,47,558,55,0.08704,0.09857,0.08704,Colonial Heights,51570
2020-08-04,Chesterfield,540,47,558,55,0.08704,0.09857,0.08704,Powhatan,51145
2020-08-04,Chesapeake,249,27,254,27,0.10843,0.1063,0.10843,Chesapeake,51550
2020-08-04,Central Virginia,460,21,463,22,0.04565,0.04752,0.04565,Amherst,51009
2020-08-04,Central Virginia,460,21,463,22,0.04565,0.04752,0.04565,Appomattox,51011
2020-08-04,Central Virginia,460,21,463,22,0.04565,0.04752,0.04565,Bedford,51019
2020-08-04,Central Virginia,460,21,463,22,0.04565,0.04752,0.04565,Campbell,51031
2020-08-04,Central Virginia,460,21,463,22,0.04565,0.04752,0.04565,Lynchburg,51680
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Augusta,51015
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Bath,51017
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Buena Vista City,51530
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Harrisonburg,51660
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Highland,51091
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Lexington,51678
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Rockbridge,51163
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Rockingham,51165
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Staunton,51790
2020-08-04,Central Shenandoah,201,9,201,9,0.04478,0.04478,0.04478,Waynesboro,51820
2020-08-04,Arlington,222,6,236,7,0.02703,0.02966,0.02703,Arlington,51013
2020-08-04,Alleghany,153,7,170,7,0.04575,0.04118,0.04575,Alleghany,51005
2020-08-04,Alleghany,153,7,170,7,0.04575,0.04118,0.04575,Botetourt,51023
2020-08-04,Alleghany,153,7,170,7,0.04575,0.04118,0.04575,Covington,51580
2020-08-04,Alleghany,153,7,170,7,0.04575,0.04118,0.04575,Craig,51045
2020-08-04,Alleghany,153,7,170,7,0.04575,0.04118,0.04575,Roanoke County,51161
2020-08-04,Alleghany,153,7,170,7,0.04575,0.04118,0.04575,Salem,51775
2020-08-04,Alexandria,165,14,178,14,0.08485,0.07865,0.06057,Alexandria,51510
2020-08-04,West Piedmont,120,19,123,21,0.15833,0.17073,0.15833,Franklin County,51067
2020-08-04,West Piedmont,120,19,123,21,0.15833,0.17073,0.15833,Henry,51089
