STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-23% ^Decreasing^,-23,133606,1480,1450,1447,1281,1144,1313,1014,855,930,956,985,923,993,947,1101,983,1111,1225,1345,1337,1454,1335,1482,1284,1180,1173,1131,1011,988,856,Minimal ^Level 1^,1.2% ^0.9% - 1.5%^,Green,4782,17,84% ^Constrained^,72% ^Elevated^,0.9 ^0.8 - 1.0^,106.0,14.43,14.57,16.71,20.14,21.29,22.57,23.29,24.57,22.43,22.71,17.57,16.29,13.43,11.0
Alaska,Alaska,Red,Increasing,19% ^Increasing^,19,6724,68,66,67,75,83,83,84,82,84,85,83,76,77,71,74,70,67,67,74,77,75,71,71,73,77,78,76,81,81,81,Insufficient Data ^Level 0^,0.3% ^0.0% - 0.7%^,Green,2486,93,47% ^Normal^,45% ^Normal^,1.1 ^0.9 - 1.3^,55.0,1.14,1.14,1.0,0.86,0.71,0.71,0.43,0.29,0.43,0.43,0.71,0.71,0.71,0.43
Arizona,Arizona,Red,Decreasing,-5% ^Decreasing^,-5,206045,1147,1176,1034,1021,953,935,945,926,883,873,784,740,749,652,630,622,557,551,537,485,508,489,438,486,545,575,604,586,590,529,Minimal ^Level 1^,0.5% ^0.3% - 0.6%^,Green,8230,47,56% ^Normal^,64% ^Normal^,1.0 ^0.9 - 1.1^,268.0,37.43,35.0,41.43,35.86,37.0,36.86,36.0,24.14,28.71,27.57,28.57,27.29,27.14,25.29
Arkansas,Arkansas 😷,Bruised Red,Increasing,38% ^Increasing^,38,66757,776,719,689,677,622,565,469,436,439,443,428,466,601,558,545,555,544,569,562,597,612,619,589,584,680,728,693,624,722,751,Minimal ^Level 1^,0.9% ^0.6% - 1.2%^,Green,7529,30,65% ^Normal^,66% ^Normal^,1.0 ^0.9 - 1.1^,59.0,14.43,14.0,13.29,14.0,13.86,14.43,14.71,15.57,17.43,16.71,15.71,15.71,15.86,14.71
California,California 😷,Red,Decreasing,-25% ^Decreasing^,-25,737911,6716,7855,8762,9023,8951,9700,9629,9446,8322,7539,7373,7037,6172,6015,5798,5775,5753,5540,5503,5278,5177,5067,4957,4708,4807,4775,4771,4605,4450,4302,Minimal ^Level 1^,0.5% ^0.4% - 0.5%^,Green,113893,80,67% ^Normal^,71% ^Elevated^,0.9 ^0.8 - 1.0^,116.0,126.29,123.43,124.14,120.86,110.14,111.57,108.71,108.0,111.0,114.29,115.57,114.86,113.29,105.71
Colorado,Colorado,Yellow,Flat,-5% ^Flat^,-5,59487,421,439,435,395,398,378,359,359,333,313,306,287,293,292,281,282,310,299,302,312,308,297,298,282,289,278,269,278,293,295,Minimal ^Level 1^,0.4% ^0.3% - 0.6%^,Green,8519,88,57% ^Normal^,62% ^Normal^,0.9 ^0.8 - 1.0^,137.0,5.43,5.0,2.86,4.0,4.0,4.0,3.57,3.86,2.57,3.71,3.29,3.29,3.29,2.43
Connecticut,Connecticut 😷,Green,Decreasing,-14% ^Decreasing^,-14,53782,72,82,69,77,82,82,82,100,82,87,93,89,89,89,106,112,129,131,139,139,139,124,138,127,123,124,124,124,69,111,Minimal ^Level 1^,0.2% ^0.1% - 0.4%^,Green,13507,251,49% ^Normal^,73% ^Elevated^,0.7 ^0.5 - 0.9^,334.0,0.86,1.0,0.71,0.71,0.71,0.71,0.43,0.57,0.43,0.43,0.43,0.43,0.43,1.14
Delaware,Delaware 😷,Red,Increasing,125% ^Increasing^,125,18308,83,80,58,86,128,128,125,129,128,135,107,61,62,63,58,53,49,37,45,74,64,70,82,80,97,96,78,100,117,110,Minimal ^Level 1^,0.3% ^0.0% - 0.5%^,Green,2221,61,73% ^Elevated^,71% ^Elevated^,1.3 ^1.2 - 1.5^,112.0,1.29,1.29,0.57,0.57,0.57,0.14,0.29,0.29,0.29,0.29,0.57,0.71,0.57,0.57
District of Columbia,District of Columbia 😷,Yellow,Decreasing,-15% ^Decreasing^,-15,14362,71,71,74,72,76,72,67,67,61,56,55,50,54,53,52,51,53,55,55,56,53,50,52,51,49,48,45,46,46,45,Minimal ^Level 1^,0.8% ^0.1% - 1.5%^,Green,3393,230,71% ^Elevated^,80% ^Elevated^,0.9 ^0.7 - 1.2^,220.0,0.71,0.57,0.43,0.14,0.29,0.43,0.43,0.43,0.57,0.86,0.86,0.71,0.57,0.57
Florida,Florida,Bruised Red,Decreasing,-23% ^Decreasing^,-23,650092,6440,6495,6880,6678,6459,6151,5801,5590,5306,4735,4495,4286,3994,3879,3819,3653,3525,3341,3217,3058,3002,2949,3648,3531,3575,3486,3552,3549,3543,2722,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,20144,22,76% ^Elevated^,58% ^Normal^,0.9 ^0.8 - 1.0^,163.0,115.0,117.86,113.57,119.71,114.43,113.86,114.86,111.29,112.71,114.86,102.0,105.43,98.86,78.0
Georgia,Georgia,Bruised Red,Decreasing,-24% ^Decreasing^,-24,285350,3370,3520,3491,3396,3270,3106,2919,2834,2727,2547,2582,2534,2436,2417,2485,2382,2373,2333,2249,2219,2146,2031,2049,2003,2031,1997,1970,2032,1905,1808,Minimal ^Level 1^,0.8% ^0.6% - 1.0%^,Green,20475,34,81% ^Constrained^,80% ^Constrained^,0.8 ^0.7 - 0.9^,107.0,66.0,69.86,67.57,69.14,67.43,68.0,67.29,69.14,67.86,65.71,57.29,61.86,58.86,48.14
Hawaii,Hawaii,Bruised Red,Increasing,8% ^Increasing^,8,9959,179,170,195,221,200,204,211,221,225,236,219,219,218,219,223,253,196,202,246,251,255,248,213,238,247,234,235,222,217,212,Minimal ^Level 1^,0.3% ^0.0% - 0.6%^,Green,5547,79,63% ^Normal^,70% ^Normal^,0.9 ^0.8 - 1.0^,30.0,1.0,0.86,1.43,1.86,2.14,2.29,3.0,3.57,3.43,3.43,3.14,3.14,3.14,2.29
Idaho,Idaho,Bruised Red,Decreasing,-23% ^Decreasing^,-23,33741,475,489,480,489,462,464,426,427,406,390,366,356,314,312,313,304,307,298,286,288,288,288,288,270,269,258,259,257,257,236,Minimal ^Level 1^,1.0% ^0.6% - 1.5%^,Green,1650,21,51% ^Normal^,49% ^Normal^,0.9 ^0.8 - 1.0^,97.0,6.29,6.57,6.43,7.0,7.43,7.43,6.71,6.0,5.0,4.14,4.14,3.71,3.71,3.43
