STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-47% ^Decreasing^,-47,109004,1918,1907,1872,1821,1875,1845,1842,1755,1746,1715,1710,1650,1674,1603,1736,1649,1619,1553,1547,1511,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,Minimal ^Level 1^,Green,10337,37,88% ^Severely constrained^,78% ^Elevated^,0.8 ^0.7 - 0.9^,86.0,25.0,22.43,21.29,22.14,18.86,20.14,23.43,25.86,26.71,25.14,22.57,23.0,18.57,18.29
Alaska,Alaska,Red,Decreasing,-26% ^Decreasing^,-26,5110,114,125,135,141,93,95,101,118,113,118,118,125,133,137,126,123,111,106,95,87,78,70,68,66,67,75,83,83,84,82,Insufficient Data ^Level 0^,Green,3615,134,51% ^Normal^,46% ^Normal^,1.0 ^0.7 - 1.2^,41.0,0.43,0.43,0.29,0.29,0.29,0.29,0.14,0.14,0.29,0.29,0.29,0.29,0.29,0.29
Arizona,Arizona,Red,Decreasing,-56% ^Decreasing^,-56,194005,3022,3051,2941,2751,2619,2540,2682,2627,2663,2464,2523,2551,2530,2423,2350,2239,2082,1990,1836,1578,1301,1208,1147,1176,1034,1021,953,935,945,926,Minimal ^Level 1^,Green,10022,33,85% ^Constrained^,87% ^Constrained^,0.7 ^0.6 - 0.8^,143.0,62.43,68.29,53.71,55.29,55.71,55.0,53.57,50.57,59.29,54.43,48.86,50.71,50.86,50.29
Arkansas,Arkansas 😷,Red,Decreasing,-41% ^Decreasing^,-41,53077,595,713,703,707,735,784,784,870,789,789,817,786,752,846,650,736,743,761,753,790,695,887,776,719,689,677,622,565,469,436,Minimal ^Level 1^,Green,7649,53,68% ^Normal^,69% ^Normal^,0.8 ^0.7 - 0.9^,82.0,8.86,10.57,10.43,9.71,8.71,12.29,11.43,10.86,8.29,9.57,9.43,11.29,7.86,6.86
California,California 😷,Bruised Red,Increasing,25% ^Increasing^,25,628031,9127,8911,9180,9420,9920,9881,10005,9852,9859,9397,8818,8555,8322,7819,7929,7764,7554,7060,6354,6404,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,Minimal ^Level 1^,Green,133632,43,69% ^Normal^,73% ^Elevated^,1.1 ^1.0 - 1.2^,44.0,140.43,141.14,137.14,143.71,137.86,133.86,138.71,138.14,135.0,134.14,140.71,136.86,133.0,126.14
Colorado,Colorado,Yellow,Decreasing,-26% ^Decreasing^,-26,53176,457,461,475,482,506,513,519,572,599,571,608,585,556,547,497,483,486,440,456,462,441,437,421,439,435,395,398,378,359,359,Minimal ^Level 1^,Green,10187,86,55% ^Normal^,60% ^Normal^,0.8 ^0.7 - 1.0^,100.0,6.0,4.43,4.14,5.43,6.43,6.43,6.43,5.14,5.86,5.57,4.86,4.57,4.57,4.57
Connecticut,Connecticut 😷,Green,Decreasing,-32% ^Decreasing^,-32,51267,87,78,81,84,69,126,126,126,133,140,188,205,148,148,148,154,148,98,82,73,73,73,72,82,69,77,82,82,82,100,Minimal ^Level 1^,Green,11287,210,48% ^Normal^,75% ^Elevated^,0.8 ^0.6 - 1.1^,353.0,2.0,1.71,0.86,1.29,1.29,1.29,1.0,1.0,1.86,1.86,1.71,1.71,1.71,1.71
Delaware,Delaware 😷,Red,Increasing,36% ^Increasing^,36,16536,102,91,111,106,116,124,107,110,127,104,116,109,84,100,94,93,94,99,97,94,89,89,83,80,58,86,128,128,125,129,Minimal ^Level 1^,Green,1709,40,68% ^Normal^,70% ^Normal^,1.2 ^1.0 - 1.3^,87.0,1.0,0.86,0.86,0.43,0.71,0.86,0.86,0.57,0.57,0.86,0.71,0.43,0.29,0.29
District of Columbia,District of Columbia 😷,Red,Flat,3% ^Flat^,3,13273,59,62,69,72,71,76,75,74,74,74,67,69,68,70,71,65,65,63,66,66,64,68,71,71,74,72,76,72,67,67,Insufficient Data ^Level 0^,Green,3609,164,78% ^Elevated^,83% ^Constrained^,1.0 ^0.8 - 1.2^,136.0,0.57,0.43,0.43,0.57,0.71,0.71,0.71,0.86,0.86,1.0,0.71,1.0,0.86,0.86
Florida,Florida,Bruised Red,Decreasing,-29% ^Decreasing^,-29,576094,11462,11137,11172,11116,10585,10724,10992,10544,10336,10306,10258,10216,9725,9360,9040,8448,7908,7331,7001,6813,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,Minimal ^Level 1^,Green,34146,19,80% ^Constrained^,61% ^Normal^,0.9 ^0.8 - 1.0^,69.0,183.71,184.86,166.0,155.0,156.29,158.43,161.29,165.57,163.86,168.0,175.0,177.43,181.71,180.86
Georgia,Georgia,Bruised Red,Decreasing,-13% ^Decreasing^,-13,238861,3742,3572,3575,3495,3616,3745,3617,3547,3610,3723,3717,3671,3564,3546,3603,3513,3271,3341,3230,3236,3345,3346,3370,3520,3491,3396,3270,3106,2919,2834,Minimal ^Level 2^,Green,23636,25,74% ^Elevated^,73% ^Elevated^,0.9 ^0.8 - 1.0^,56.0,51.14,48.86,50.71,52.14,51.57,51.29,55.29,61.43,67.43,73.14,65.14,69.0,71.86,71.14
Hawaii,Hawaii,Bruised Red,Increasing,109% ^Increasing^,109,5042,22,23,21,22,20,26,31,38,43,45,48,61,71,80,82,80,105,119,128,132,143,164,179,170,195,221,200,204,211,221,Minimal ^Level 1^,Green,2836,39,76% ^Elevated^,94% ^Constrained^,1.3 ^1.2 - 1.4^,13.0,0.0,0.14,0.14,0.43,0.71,0.71,0.71,1.14,1.57,1.86,1.57,1.29,1.29,1.29
Idaho,Idaho,Bruised Red,Flat,0% ^Flat^,0,27660,542,567,552,586,554,515,502,504,472,490,486,480,501,494,470,452,426,430,433,450,457,483,475,489,480,489,462,464,426,427,Minimal ^Level 2^,Green,2573,18,52% ^Normal^,52% ^Normal^,0.9 ^0.8 - 1.0^,42.0,6.86,7.14,6.29,6.57,5.71,5.43,5.71,5.57,5.14,4.14,4.0,5.14,4.86,4.57
Illinois,Illinois 😷,Red,Increasing,13% ^Increasing^,13,209186,1100,1142,1177,1236,1288,1313,1334,1417,1425,1442,1413,1434,1488,1519,1508,1518,1574,1627,1652,1670,1749,1737,1740,1751,1734,1717,1745,1693,1719,1784,Minimal ^Level 1^,Green,42684,73,53% ^Normal^,61% ^Normal^,1.0 ^0.9 - 1.1^,79.0,14.86,16.57,17.29,18.57,20.0,18.71,17.57,17.71,15.86,16.29,15.71,13.86,15.71,17.29
Indiana,Indiana 😷,Red,Increasing,8% ^Increasing^,8,81006,708,738,747,758,789,826,838,829,814,823,804,807,794,800,784,789,797,811,823,871,881,924,937,944,935,936,911,913,870,859,Minimal ^Level 2^,Green,8932,32,64% ^Normal^,61% ^Normal^,1.0 ^0.9 - 1.1^,63.0,10.29,10.71,9.57,8.29,9.29,9.43,9.14,10.43,11.29,13.14,12.86,13.14,13.14,13.0
Iowa,Iowa,Bruised Red,Increasing,12% ^Increasing^,12,52722,522,520,518,500,500,507,538,497,484,472,498,486,473,472,470,470,466,483,475,469,472,471,461,470,450,425,438,501,520,522,Minimal ^Level 1^,Green,4657,27,64% ^Normal^,61% ^Normal^,1.1 ^1.0 - 1.2^,68.0,7.0,7.57,7.29,6.57,7.57,7.71,7.29,7.43,7.43,7.29,7.57,6.86,6.43,6.86
Kansas,Kansas 😷,Bruised Red,Increasing,27% ^Increasing^,27,35167,479,468,468,453,453,449,449,449,405,405,395,395,386,386,386,386,386,407,407,404,404,404,408,408,404,404,464,464,464,491,Minimal ^Level 1^,Green,3942,24,56% ^Normal^,58% ^Normal^,1.0 ^0.9 - 1.1^,47.0,4.29,2.71,2.71,3.14,3.14,3.14,3.14,3.14,3.86,3.86,3.14,3.14,3.14,2.57
Kentucky,Kentucky 😷,Red,Increasing,9% ^Increasing^,9,39691,539,537,548,552,581,618,654,560,598,581,598,606,603,566,587,558,582,573,553,521,551,542,535,514,601,633,643,622,619,634,Minimal ^Level 1^,Green,8430,40,77% ^Elevated^,65% ^Normal^,1.0 ^0.9 - 1.1^,41.0,4.57,4.0,4.14,4.14,4.57,4.43,4.43,4.57,5.43,5.14,5.71,5.43,5.71,6.14
Louisiana,Louisiana 😷,Bruised Red,Decreasing,-51% ^Decreasing^,-51,138485,1941,2152,2077,2175,2177,2163,2163,2267,2146,2065,1917,1833,1792,1792,1739,1561,1918,1881,1824,1781,1781,1665,1588,1238,1194,1170,1142,1142,931,932,Minimal ^Level 3^,Green,18051,59,68% ^Normal^,67% ^Normal^,0.7 ^0.6 - 0.8^,101.0,34.14,30.43,31.57,36.86,36.86,36.57,37.57,37.43,37.86,36.57,31.86,31.86,34.86,34.14
Maine,Maine 😷,Green,Increasing,8% ^Increasing^,8,4197,21,22,22,21,20,17,21,18,17,16,20,22,22,21,21,20,20,18,16,15,13,12,11,11,11,13,14,17,18,21,Minimal ^Level 1^,Green,3093,153,67% ^Normal^,66% ^Normal^,1.1 ^0.6 - 1.6^,135.0,0.29,0.43,0.29,0.14,0.29,0.29,0.14,0.43,0.29,0.29,0.29,0.29,0.29,0.29
Maryland,Maryland 😷,Red,Decreasing,-30% ^Decreasing^,-30,100715,717,737,755,737,739,771,835,802,884,854,873,906,940,902,932,895,904,877,833,780,745,747,731,713,708,736,724,730,673,637,Minimal ^Level 1^,Green,14400,69,71% ^Elevated^,72% ^Elevated^,0.9 ^0.8 - 1.0^,107.0,10.29,8.29,9.0,10.29,10.14,10.0,9.71,10.57,10.86,9.86,9.43,8.43,7.71,7.14
