STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Oregon,Oregon 😷,Yellow,Decreasing,-13% ^Decreasing^,-13,27336,323,299,306,313,311,303,296,292,296,282,287,284,280,272,264,266,258,242,239,243,245,243,228,233,226,231,223,222,215,225,Minimal ^Level 1^,0.4% ^0.2% - 0.6%^,Green,4630,62,79% ^Elevated^,96% ^Constrained^,0.9 ^0.8 - 1.0^,82.0,4.14,4.43,4.14,4.57,4.43,3.57,3.71,4.71,5.29,5.86,5.57,5.29,5.0,4.57
Pennsylvania,Pennsylvania 😷,Yellow,Increasing,20% ^Increasing^,20,136771,785,778,747,737,752,757,753,774,800,810,815,801,770,757,717,688,669,661,655,661,637,627,602,623,629,637,650,680,725,802,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,14185,54,77% ^Elevated^,83% ^Constrained^,1.1 ^1.0 - 1.2^,116.0,16.14,15.86,15.71,15.86,15.14,14.43,13.86,13.86,13.57,13.57,13.43,12.29,12.57,13.86
Rhode Island,Rhode Island 😷,Yellow,Decreasing,-19% ^Decreasing^,-19,22143,97,94,102,116,126,98,95,93,90,85,87,87,91,91,95,90,98,105,107,104,97,94,103,94,97,91,92,90,89,79,Minimal ^Level 1^,0.4% ^0.1% - 0.7%^,Green,7431,285,88% ^Severely constrained^,100% ^Constrained^,1.0 ^0.8 - 1.2^,191.0,1.29,1.86,1.86,1.71,2.14,2.0,2.29,2.29,1.71,1.71,1.86,1.57,1.43,1.57
South Carolina,South Carolina,Bruised Red,Increasing,28% ^Increasing^,28,121696,1375,1318,1315,1266,1235,1173,1134,1072,1016,946,917,866,828,792,777,773,791,773,784,800,831,812,754,796,851,905,920,908,916,1014,Minimal ^Level 1^,0.7% ^0.5% - 0.9%^,Green,7344,22,76% ^Elevated^,83% ^Constrained^,1.0 ^0.9 - 1.1^,81.0,36.43,33.29,33.57,31.86,26.57,30.43,32.43,28.0,29.29,29.29,29.86,32.57,31.57,25.57
South Dakota,South Dakota,Bruised Red,Increasing,149% ^Increasing^,149,14337,75,84,87,87,93,92,91,92,89,93,92,96,100,104,107,113,123,145,143,152,159,184,215,233,258,292,298,313,307,306,Minimal ^Level 1^,0.5% ^0.2% - 0.9%^,Green,1322,13,51% ^Normal^,61% ^Normal^,1.3 ^1.2 - 1.4^,30.0,1.29,1.14,1.14,1.14,1.0,1.0,0.71,0.86,1.0,0.86,0.86,0.86,1.0,1.0
Tennessee,Tennessee,Bruised Red,Flat,0% ^Flat^,0,159546,1897,1926,1832,1772,1869,1897,1782,1756,1737,1668,1595,1571,1547,1552,1630,1523,1484,1477,1461,1409,1377,1365,1429,1424,1457,1311,1476,1559,1497,1481,Minimal ^Level 1^,0.9% ^0.7% - 1.1%^,Green,19539,40,70% ^Elevated^,67% ^Normal^,1.0 ^0.9 - 1.1^,72.0,31.86,31.14,28.71,28.71,28.86,28.0,26.43,21.71,23.14,25.71,23.71,21.86,21.29,20.29
Texas,Texas 😷,Red,Decreasing,-41% ^Decreasing^,-41,625347,8083,7911,7654,7285,7982,6972,7063,6705,6584,6581,6765,7031,7448,7087,7205,6998,6712,6329,5994,5348,5214,4983,5025,4884,4770,4688,4655,4372,4219,3944,Minimal ^Level 1^,0.7% ^0.6% - 0.8%^,Green,44798,34,76% ^Elevated^,69% ^Normal^,0.9 ^0.8 - 1.0^,107.0,207.0,203.71,198.14,194.43,189.43,178.0,182.43,173.57,164.86,162.86,163.0,157.86,152.14,145.86
Utah,Utah,Red,Increasing,12% ^Increasing^,12,53326,448,460,454,436,422,409,406,395,358,372,367,361,358,344,347,365,353,356,352,353,373,379,368,358,370,391,392,377,378,396,Minimal ^Level 1^,0.7% ^0.4% - 0.9%^,Green,4414,34,56% ^Normal^,58% ^Normal^,1.0 ^0.9 - 1.1^,91.0,3.29,3.14,3.14,3.71,4.0,3.43,3.14,3.43,3.14,3.14,2.43,1.71,1.29,1.57
Vermont,Vermont 😷,Green,Increasing,28% ^Increasing^,28,1637,4,5,5,5,5,5,6,6,6,8,8,8,9,8,8,8,6,6,6,6,6,6,7,7,7,8,8,9,9,7,Minimal ^Level 1^,0.3% ^-0.1% - 0.6%^,Green,2293,244,65% ^Normal^,63% ^Normal^,0.9 ^0.2 - 1.6^,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,Virginia,Red,Increasing,36% ^Increasing^,36,123668,1008,995,1142,1198,1186,1092,1071,1067,1108,994,937,943,953,934,928,894,860,903,897,887,908,920,797,962,962,969,995,997,1012,1173,Minimal ^Level 1^,0.5% ^0.3% - 0.6%^,Green,16713,43,69% ^Normal^,64% ^Normal^,1.0 ^0.9 - 1.1^,71.0,9.43,8.86,12.29,12.29,14.0,15.0,12.57,16.29,17.86,14.57,15.57,16.86,18.0,19.57
Washington,Washington 😷,Yellow,Flat,1% ^Flat^,1,75377,637,634,630,623,619,613,591,573,559,554,551,544,521,509,504,480,454,431,419,330,245,168,170,184,243,380,377,422,462,459,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,15006,99,96% ^Severely constrained^,91% ^Constrained^,0.9 ^0.8 - 1.0^,111.0,14.43,13.57,13.0,11.71,11.71,9.57,8.29,7.57,7.86,6.86,6.0,6.86,7.86,7.86
West Virginia,West Virginia,Red,Increasing,53% ^Increasing^,53,10845,119,122,113,118,120,112,118,121,125,120,128,124,125,122,113,119,113,104,101,97,95,106,93,108,112,120,134,159,157,173,Minimal ^Level 2^,0.5% ^0.3% - 0.7%^,Green,4469,78,72% ^Elevated^,70% ^Normal^,1.2 ^1.1 - 1.3^,41.0,1.86,2.29,2.57,2.71,3.29,3.43,4.71,4.57,5.14,5.0,5.0,5.0,5.71,5.43
Wisconsin,Wisconsin,Red,Flat,-3% ^Flat^,-3,82922,875,844,871,879,835,851,850,792,805,808,762,773,766,757,783,754,724,740,708,701,697,708,729,731,715,728,707,757,727,703,Minimal ^Level 1^,0.5% ^0.4% - 0.7%^,Green,8060,35,53% ^Normal^,62% ^Normal^,1.0 ^0.9 - 1.1^,79.0,6.14,6.29,6.14,6.14,6.14,5.86,6.43,6.57,5.43,5.86,5.86,5.29,6.0,5.0
Wyoming,Wyoming,Red,Decreasing,-36% ^Decreasing^,-36,3939,42,39,39,35,35,28,27,23,23,26,31,34,41,41,49,50,49,45,42,39,39,36,36,34,34,34,34,33,32,31,Minimal ^Level 1^,0.6% ^0.1% - 1.0%^,Green,424,41,49% ^Normal^,44% ^Normal^,0.9 ^0.6 - 1.2^,86.0,1.0,1.0,1.0,0.57,0.43,0.43,0.43,0.0,0.0,0.0,0.0,0.57,0.57,0.57
Puerto Rico,Puerto Rico,Bruised Red,Decreasing,-24% ^Decreasing^,-24,34198,513,480,558,507,530,576,583,632,645,635,610,555,563,616,551,528,531,555,556,551,430,401,463,449,425,422,369,386,466,402,Moderate ^Level 6^,,Yellow,402,3,61% ^Normal^,59% ^Normal^,0.9 ^0.8 - 1.0^,56.0,8.14,7.43,7.86,7.86,7.0,6.86,6.43,7.14,6.71,6.29,6.29,5.71,5.57,5.14
United States,United States,Red,Decreasing,-8% ^Decreasing^,-8,6113824,56960,54780,53882,52829,53379,52284,52830,53367,53015,52197,52542,51379,50770,48639,47045,45891,44584,43169,42462,41992,41355,41111,41145,41150,40890,41172,40718,41587,40862,40916,N/A ^Not Available^,,Green,728645,54,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,,1016.43,989.29,982.57,973.29,966.14,948.14,947.57,933.43,931.43,917.57,921.0,903.0,866.0,858.0
