STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Increasing,7% ^Increasing^,7,121023,1710,1650,1674,1603,1736,1649,1619,1553,1547,1511,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,930,956,985,923,993,947,1101,983,1111,1225,Minimal ^Level 1^,Green,8576,21,86% ^Severely constrained^,77% ^Elevated^,0.9 ^0.8 - 1.0^,66.0,22.57,23.0,18.57,18.29,12.71,8.86,12.0,13.86,16.43,16.43,14.14,14.43,14.43,14.57
Alaska,Alaska,Red,Decreasing,-19% ^Decreasing^,-19,5801,118,125,133,137,126,123,111,106,95,87,78,70,68,66,67,75,83,83,84,82,84,85,83,76,77,71,74,70,67,67,Insufficient Data ^Level 0^,Green,3368,152,52% ^Normal^,52% ^Normal^,0.9 ^0.6 - 1.1^,58.0,0.29,0.29,0.29,0.29,0.43,0.29,0.29,0.43,0.43,0.57,0.57,1.0,1.14,1.14
Arizona,Arizona,Red,Decreasing,-42% ^Decreasing^,-42,200139,2523,2551,2530,2423,2350,2239,2082,1990,1836,1578,1301,1208,1147,1176,1034,1021,953,935,945,926,883,873,784,740,749,652,630,622,557,551,Minimal ^Level 1^,Green,8069,44,64% ^Normal^,80% ^Constrained^,0.7 ^0.6 - 0.9^,249.0,48.86,50.71,50.86,50.29,47.14,41.0,43.0,37.86,37.71,37.86,37.86,37.57,37.43,35.0
Arkansas,Arkansas 😷,Bruised Red,Decreasing,-9% ^Decreasing^,-9,58745,817,786,752,846,650,736,743,761,753,790,695,887,776,719,689,677,622,565,469,436,439,443,428,466,601,558,545,555,544,569,Minimal ^Level 1^,Green,5931,32,66% ^Normal^,68% ^Normal^,0.9 ^0.8 - 1.0^,69.0,9.43,11.29,7.86,6.86,7.57,9.29,8.43,10.86,10.57,12.57,13.29,13.14,14.43,14.0
California,California 😷,Red,Decreasing,-38% ^Decreasing^,-38,683529,8818,8555,8322,7819,7929,7764,7554,7060,6354,6404,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,8322,7539,7373,7037,6172,6015,5798,5775,5753,5540,Minimal ^Level 1^,Green,98636,54,69% ^Normal^,72% ^Elevated^,0.8 ^0.7 - 0.9^,83.0,140.71,136.86,133.0,126.14,124.86,125.0,125.43,117.86,120.14,130.0,130.0,130.71,126.29,123.43
Colorado,Colorado,Yellow,Decreasing,-25% ^Decreasing^,-25,55993,608,585,556,547,497,483,486,440,456,462,441,437,421,439,435,395,398,378,359,359,333,313,306,287,293,292,281,282,310,299,Minimal ^Level 1^,Green,9650,98,57% ^Normal^,63% ^Normal^,1.0 ^0.9 - 1.1^,127.0,4.86,4.57,4.57,4.57,4.57,5.29,6.29,7.43,6.71,6.71,6.71,6.57,5.43,5.0
Connecticut,Connecticut 😷,Green,Increasing,59% ^Increasing^,59,52350,188,205,148,148,148,154,148,98,82,73,73,73,72,82,69,77,82,82,82,100,82,87,93,89,89,89,106,112,129,131,Minimal ^Level 1^,Green,14094,262,48% ^Normal^,75% ^Elevated^,1.2 ^1.0 - 1.4^,274.0,1.71,1.71,1.71,1.71,1.71,1.0,1.14,1.0,1.0,1.0,0.57,1.0,0.86,1.0
Delaware,Delaware 😷,Yellow,Decreasing,-71% ^Decreasing^,-71,16976,116,109,84,100,94,93,94,99,97,94,89,89,83,80,58,86,128,128,125,129,128,135,107,61,62,63,58,53,49,37,Minimal ^Level 1^,Green,1586,108,74% ^Elevated^,75% ^Elevated^,0.6 ^0.4 - 0.9^,317.0,0.71,0.43,0.29,0.29,0.29,0.57,0.29,1.0,1.0,1.0,1.57,1.43,1.29,1.29
District of Columbia,District of Columbia 😷,Yellow,Decreasing,-27% ^Decreasing^,-27,13794,67,69,68,70,71,65,65,63,66,66,64,68,71,71,74,72,76,72,67,67,61,56,55,50,54,53,52,51,53,55,Insufficient Data ^Level 0^,Green,3246,179,73% ^Elevated^,83% ^Constrained^,0.9 ^0.6 - 1.2^,171.0,0.71,1.0,0.86,0.86,0.86,1.0,1.0,1.14,1.0,1.0,1.0,0.71,0.71,0.57
Florida,Florida,Bruised Red,Decreasing,-48% ^Decreasing^,-48,611991,10258,10216,9725,9360,9040,8448,7908,7331,7001,6813,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,5306,4735,4495,4286,3994,3879,3819,3653,3525,3341,Minimal ^Level 1^,Green,25945,24,76% ^Elevated^,58% ^Normal^,0.7 ^0.6 - 0.8^,125.0,175.0,177.43,181.71,180.86,172.57,167.0,162.71,146.86,133.0,125.0,122.86,117.71,115.0,117.86
Georgia,Georgia,Bruised Red,Decreasing,-29% ^Decreasing^,-29,263074,3717,3671,3564,3546,3603,3513,3271,3341,3230,3236,3345,3346,3370,3520,3491,3396,3270,3106,2919,2834,2727,2547,2582,2534,2436,2417,2485,2382,2373,2333,Minimal ^Level 2^,Green,24572,32,73% ^Elevated^,81% ^Constrained^,0.9 ^0.8 - 1.0^,76.0,65.14,69.0,71.86,71.14,63.29,56.14,52.29,60.71,60.43,61.43,61.29,66.86,66.0,69.86
Hawaii,Hawaii,Red,Flat,1% ^Flat^,1,7260,48,61,71,80,82,80,105,119,128,132,143,164,179,170,195,221,200,204,211,221,225,236,219,219,218,219,223,253,196,202,Minimal ^Level 1^,Green,2429,36,66% ^Normal^,90% ^Constrained^,1.0 ^0.9 - 1.1^,22.0,1.57,1.29,1.29,1.29,0.86,0.57,0.71,0.71,0.86,1.0,1.0,1.29,1.0,0.86
Idaho,Idaho,Bruised Red,Decreasing,-36% ^Decreasing^,-36,30780,486,480,501,494,470,452,426,430,433,450,457,483,475,489,480,489,462,464,426,427,406,390,366,356,314,312,313,304,307,298,Minimal ^Level 1^,Green,2218,23,53% ^Normal^,49% ^Normal^,0.8 ^0.7 - 1.0^,69.0,4.0,5.14,4.86,4.57,4.86,5.14,6.43,6.71,5.57,5.29,5.43,5.86,6.29,6.57
Illinois,Illinois 😷,Bruised Red,Increasing,12% ^Increasing^,12,228751,1413,1434,1488,1519,1508,1518,1574,1627,1652,1670,1749,1737,1740,1751,1734,1717,1745,1693,1719,1784,1811,1904,1904,1903,1979,2026,2003,1994,1975,1957,Minimal ^Level 1^,Green,47832,74,55% ^Normal^,67% ^Normal^,1.0 ^0.9 - 1.1^,79.0,15.71,13.86,15.71,17.29,18.14,19.43,19.86,19.14,20.86,19.14,18.57,19.0,20.86,20.29
Indiana,Indiana 😷,Bruised Red,Increasing,13% ^Increasing^,13,90504,804,807,794,800,784,789,797,811,823,871,881,924,937,944,935,936,911,913,870,859,855,831,816,812,806,788,941,939,1003,1032,Minimal ^Level 1^,Green,12754,37,64% ^Normal^,63% ^Normal^,1.0 ^0.9 - 1.1^,58.0,12.86,13.14,13.14,13.0,13.71,13.43,12.29,13.57,12.86,12.43,12.86,10.86,11.29,10.71
Iowa,Iowa,Bruised Red,Increasing,88% ^Increasing^,88,59786,498,486,473,472,470,470,466,483,475,469,472,471,461,470,450,425,438,501,520,522,517,497,526,582,563,550,559,620,707,824,Minimal ^Level 2^,Green,4779,18,65% ^Normal^,63% ^Normal^,1.1 ^1.0 - 1.2^,48.0,7.57,6.86,6.43,6.86,7.0,7.86,7.86,7.86,8.29,8.71,9.0,9.0,8.71,9.86
Kansas,Kansas 😷,Bruised Red,Increasing,25% ^Increasing^,25,39937,395,395,386,386,386,386,386,407,407,404,404,404,408,408,404,404,464,464,464,491,491,478,478,424,424,424,462,462,578,578,Minimal ^Level 1^,Green,5037,26,63% ^Normal^,61% ^Normal^,1.0 ^0.9 - 1.1^,45.0,3.14,3.14,3.14,2.57,2.57,2.29,2.29,2.43,2.43,2.43,3.0,3.0,3.71,3.71
Kentucky,Kentucky 😷,Red,Flat,-3% ^Flat^,-3,45978,598,606,603,566,587,558,582,573,553,521,551,542,535,514,601,633,643,622,619,634,644,569,563,567,476,602,601,610,615,622,Minimal ^Level 1^,Green,7595,37,78% ^Elevated^,65% ^Normal^,1.0 ^0.9 - 1.1^,49.0,5.71,5.43,5.71,6.14,6.71,7.43,8.57,8.57,7.71,9.71,9.57,9.29,8.57,7.71
Louisiana,Louisiana 😷,Red,Decreasing,-40% ^Decreasing^,-40,145637,1917,1833,1792,1792,1739,1561,1918,1881,1824,1781,1781,1665,1588,1238,1194,1170,1142,1142,931,932,857,800,769,712,712,718,726,713,722,688,Minimal ^Level 2^,Green,14167,62,66% ^Normal^,67% ^Normal^,0.8 ^0.6 - 0.9^,144.0,31.86,31.86,34.86,34.14,34.43,35.43,33.57,36.71,36.71,34.14,34.0,34.71,34.57,33.86
Maine,Maine 😷,Green,Increasing,59% ^Increasing^,59,4414,20,22,22,21,21,20,20,18,16,15,13,12,11,11,11,13,14,17,18,21,23,23,23,24,25,24,23,22,22,23,Minimal ^Level 1^,Green,3677,182,68% ^Normal^,69% ^Normal^,1.1 ^0.7 - 1.4^,131.0,0.29,0.29,0.29,0.29,0.14,0.14,0.29,0.43,0.43,0.57,0.57,0.57,0.71,0.57
Maryland,Maryland 😷,Red,Decreasing,-24% ^Decreasing^,-24,106063,873,906,940,902,932,895,904,877,833,780,745,747,731,713,708,736,724,730,673,637,627,609,581,575,547,556,565,544,548,548,Minimal ^Level 1^,Green,12487,69,69% ^Normal^,80% ^Elevated^,0.9 ^0.8 - 1.0^,132.0,9.43,8.43,7.71,7.14,6.57,7.0,7.0,6.14,7.0,7.43,7.57,8.14,8.0,7.57
Massachusetts,Massachusetts 😷,Yellow,Increasing,7% ^Increasing^,7,127124,338,350,375,396,403,390,432,423,397,383,382,369,380,358,337,349,320,312,309,300,269,345,344,384,352,309,373,405,334,342,Minimal ^Level 1^,Green,20141,178,53% ^Normal^,71% ^Elevated^,1.0 ^0.9 - 1.1^,255.0,13.57,13.86,13.43,13.14,12.57,15.29,14.0,13.86,14.71,13.14,16.43,17.29,15.86,17.0
