STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
Alabama,Alabama,Bruised Red,Decreasing,-32% ^Decreasing^,-32,117242,1746,1715,1710,1650,1674,1603,1736,1649,1619,1553,1547,1511,1291,1413,1480,1450,1447,1281,1144,1313,1014,855,930,956,985,923,993,947,1101,983,Minimal ^Level 1^,Green,8431,26,89% ^Severely constrained^,73% ^Elevated^,0.9 ^0.8 - 1.0^,80.0,26.71,25.14,22.57,23.0,18.57,18.29,12.71,8.86,12.0,13.86,16.43,16.43,14.14,14.43
Alaska,Alaska,Red,Flat,4% ^Flat^,4,5666,113,118,118,125,133,137,126,123,111,106,95,87,78,70,68,66,67,75,83,83,84,82,84,85,83,76,77,71,74,70,Insufficient Data ^Level 0^,Green,3403,148,51% ^Normal^,46% ^Normal^,1.0 ^0.8 - 1.2^,54.0,0.29,0.29,0.29,0.29,0.29,0.29,0.43,0.29,0.29,0.43,0.43,0.57,0.57,1.0
Arizona,Arizona,Red,Decreasing,-40% ^Decreasing^,-40,199273,2663,2464,2523,2551,2530,2423,2350,2239,2082,1990,1836,1578,1301,1208,1147,1176,1034,1021,953,935,945,926,883,873,784,740,749,652,630,622,Minimal ^Level 1^,Green,8315,41,83% ^Constrained^,74% ^Elevated^,0.7 ^0.6 - 0.8^,220.0,59.29,54.43,48.86,50.71,50.86,50.29,47.14,41.0,43.0,37.86,37.71,37.86,37.86,37.57
Arkansas,Arkansas 😷,Bruised Red,Decreasing,-19% ^Decreasing^,-19,57374,789,789,817,786,752,846,650,736,743,761,753,790,695,887,776,719,689,677,622,565,469,436,439,443,428,466,601,558,545,555,Minimal ^Level 1^,Green,5875,32,70% ^Normal^,64% ^Normal^,0.9 ^0.8 - 1.0^,69.0,8.29,9.57,9.43,11.29,7.86,6.86,7.57,9.29,8.43,10.86,10.57,12.57,13.29,13.14
California,California 😷,Red,Decreasing,-34% ^Decreasing^,-34,673095,9859,9397,8818,8555,8322,7819,7929,7764,7554,7060,6354,6404,6522,6428,6716,7855,8762,9023,8951,9700,9629,9446,8322,7539,7373,7037,6172,6015,5798,5775,Minimal ^Level 1^,Green,101924,53,69% ^Normal^,73% ^Elevated^,0.8 ^0.7 - 0.9^,78.0,135.0,134.14,140.71,136.86,133.0,126.14,124.86,125.0,125.43,117.86,120.14,130.0,130.0,130.71
Colorado,Colorado,Yellow,Decreasing,-35% ^Decreasing^,-35,55341,599,571,608,585,556,547,497,483,486,440,456,462,441,437,421,439,435,395,398,378,359,359,333,313,306,287,293,292,281,282,Minimal ^Level 1^,Green,9485,102,56% ^Normal^,59% ^Normal^,1.0 ^0.8 - 1.1^,134.0,5.86,5.57,4.86,4.57,4.57,4.57,4.57,5.29,6.29,7.43,6.71,6.71,6.71,6.57
Connecticut,Connecticut 😷,Green,Increasing,63% ^Increasing^,63,52040,133,140,188,205,148,148,148,154,148,98,82,73,73,73,72,82,69,77,82,82,82,100,82,87,93,89,89,89,106,112,Minimal ^Level 1^,Green,12854,239,51% ^Normal^,74% ^Elevated^,0.9 ^0.7 - 1.1^,319.0,1.86,1.86,1.71,1.71,1.71,1.71,1.71,1.0,1.14,1.0,1.0,1.0,0.57,1.0
Delaware,Delaware 😷,Yellow,Decreasing,-8% ^Decreasing^,-8,16962,127,104,116,109,84,100,94,93,94,99,97,94,89,89,83,80,58,86,128,128,125,129,128,135,107,61,62,63,58,53,Minimal ^Level 1^,Green,1640,94,71% ^Elevated^,64% ^Normal^,0.8 ^0.6 - 1.0^,221.0,0.57,0.86,0.71,0.43,0.29,0.29,0.29,0.57,0.29,1.0,1.0,1.0,1.57,1.43
District of Columbia,District of Columbia 😷,Yellow,Decreasing,-30% ^Decreasing^,-30,13684,74,74,67,69,68,70,71,65,65,63,66,66,64,68,71,71,74,72,76,72,67,67,61,56,55,50,54,53,52,51,Insufficient Data ^Level 0^,Green,3163,187,78% ^Elevated^,83% ^Constrained^,0.9 ^0.6 - 1.2^,183.0,0.86,1.0,0.71,1.0,0.86,0.86,0.86,1.0,1.0,1.14,1.0,1.0,1.0,0.71
Florida,Florida,Bruised Red,Decreasing,-47% ^Decreasing^,-47,605502,10336,10306,10258,10216,9725,9360,9040,8448,7908,7331,7001,6813,6650,6525,6440,6495,6880,6678,6459,6151,5801,5590,5306,4735,4495,4286,3994,3879,3819,3653,Minimal ^Level 1^,Green,26783,22,77% ^Elevated^,57% ^Normal^,0.8 ^0.7 - 0.9^,112.0,163.86,168.0,175.0,177.43,181.71,180.86,172.57,167.0,162.71,146.86,133.0,125.0,122.86,117.71
