STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,COVID-LIKE SYMPTOMS (95% CI),GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00
South Dakota,South Dakota,Bruised Red,Decreasing,-26% ^Decreasing^,-26,16994,100,104,107,113,123,145,143,152,159,184,215,233,258,292,298,313,307,306,297,278,255,256,236,224,214,217,221,218,214,227,Minimal ^Level 1^,1.0% ^0.4% - 1.6%^,Green,1344,18,51% ^Normal^,60% ^Normal^,0.9 ^0.8 - 1.1^,49.0,1.0,1.0,0.71,0.86,0.86,0.86,0.86,0.57,1.14,1.0,1.43,1.57,1.57,1.57
Tennessee,Tennessee,Bruised Red,Decreasing,-10% ^Decreasing^,-10,175231,1547,1552,1630,1523,1484,1477,1461,1409,1377,1365,1429,1424,1457,1311,1476,1559,1497,1481,1397,1440,1573,1454,1346,1251,1242,1323,1218,1100,1309,1354,Minimal ^Level 1^,0.7% ^0.5% - 0.9%^,Green,23491,53,73% ^Elevated^,69% ^Normal^,1.0 ^0.9 - 1.1^,87.0,21.29,20.29,19.43,19.57,16.86,16.43,16.43,19.14,24.71,26.86,28.86,30.43,32.57,33.0
Texas,Texas 😷,Bruised Red,Decreasing,-9% ^Decreasing^,-9,668746,7448,7087,7205,6998,6712,6329,5994,5348,5214,4983,5025,4884,4770,4688,4655,4372,4219,3944,4152,4112,3994,3914,3494,3446,3495,3218,3182,3018,3296,3851,Minimal ^Level 1^,0.6% ^0.5% - 0.7%^,Green,35044,28,77% ^Elevated^,70% ^Elevated^,0.9 ^0.8 - 1.0^,118.0,152.14,145.86,137.86,141.14,137.43,136.57,124.57,117.43,108.86,109.43,105.0,102.57,102.71,112.86
Utah,Utah,Bruised Red,Increasing,38% ^Increasing^,38,59000,358,344,347,365,353,356,352,353,373,379,368,358,370,391,392,377,378,396,413,409,401,418,422,407,385,405,425,459,486,520,Minimal ^Level 1^,0.5% ^0.3% - 0.7%^,Green,4324,25,60% ^Normal^,58% ^Normal^,1.1 ^1.0 - 1.2^,76.0,1.29,1.57,1.71,1.86,2.14,2.29,2.14,2.43,2.29,1.71,1.86,1.57,1.86,1.71
Vermont,Vermont 😷,Yellow,Decreasing,-20% ^Decreasing^,-20,1702,9,8,8,8,6,6,6,6,6,6,7,7,7,8,8,9,9,7,8,6,5,4,3,3,3,4,4,5,6,7,Minimal ^Level 1^,0.2% ^-0.1% - 0.5%^,Green,687,73,54% ^Normal^,57% ^Normal^,0.8 ^-0.1 - 1.7^,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,Virginia,Red,Flat,0% ^Flat^,0,135514,953,934,928,894,860,903,897,887,908,920,797,962,962,969,995,997,1012,1173,1027,988,1026,997,970,964,980,980,1030,984,1000,1015,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,14581,44,66% ^Normal^,65% ^Normal^,1.0 ^0.9 - 1.1^,90.0,18.0,19.57,16.0,15.57,15.57,14.86,10.57,8.0,8.0,7.0,6.43,6.57,8.43,21.86
Washington,Washington 😷,Yellow,Flat,0% ^Flat^,0,80465,521,509,504,480,454,431,419,330,245,168,170,184,243,380,377,422,462,459,450,433,359,416,371,439,441,451,449,427,415,461,Minimal ^Level 1^,0.4% ^0.3% - 0.5%^,Green,14666,96,66% ^Normal^,61% ^Normal^,1.0 ^0.9 - 1.1^,118.0,7.86,7.86,7.86,6.86,6.86,6.86,5.43,6.71,7.14,6.57,5.43,5.43,7.57,8.86
West Virginia,West Virginia,Red,Increasing,19% ^Increasing^,19,12976,125,122,113,119,113,104,101,97,95,106,93,108,112,120,134,159,157,173,173,189,186,189,165,167,167,162,176,184,178,188,Minimal ^Level 1^,0.6% ^0.3% - 0.9%^,Green,3984,64,72% ^Elevated^,65% ^Normal^,1.1 ^0.9 - 1.2^,45.0,5.71,5.43,5.86,4.43,4.71,4.71,4.0,3.43,2.86,2.86,3.14,2.86,4.0,4.29
Wisconsin,Wisconsin,Bruised Red,Increasing,82% ^Increasing^,82,96938,766,757,783,754,724,740,708,701,697,708,729,731,715,728,707,757,727,703,799,819,865,909,868,915,1037,1023,1085,1189,1224,1323,Minimal ^Level 1^,0.5% ^0.3% - 0.7%^,Green,9090,21,54% ^Normal^,61% ^Normal^,1.2 ^1.1 - 1.3^,48.0,6.0,5.0,5.71,7.0,6.57,6.57,5.29,5.86,6.71,6.29,5.86,6.0,6.0,7.57
Wyoming,Wyoming,Red,Increasing,48% ^Increasing^,48,4438,41,41,49,50,49,45,42,39,39,36,36,34,34,34,34,33,32,31,32,32,30,27,34,34,37,39,42,45,51,48,Minimal ^Level 1^,1.0% ^0.3% - 1.7%^,Green,1182,75,38% ^Normal^,38% ^Normal^,1.2 ^0.9 - 1.4^,62.0,0.57,0.57,0.71,0.71,0.71,0.71,0.14,0.14,0.14,0.0,0.0,0.0,0.57,0.57
Puerto Rico,Puerto Rico,Bruised Red,Decreasing,-18% ^Decreasing^,-18,38172,563,616,551,528,531,555,556,551,430,401,463,449,425,422,369,386,466,402,322,277,241,311,298,215,297,334,371,407,339,381,Low ^Level 5^,,Green,381,3,60% ^Normal^,53% ^Normal^,1.1 ^0.9 - 1.2^,67.0,5.57,5.14,4.43,5.14,6.14,6.14,6.71,8.14,9.14,9.71,10.14,8.86,9.29,9.86
United States,United States,Red,Decreasing,-9% ^Decreasing^,-9,6554510,50770,48639,47045,45892,44584,43168,42461,41991,41356,41210,41244,41249,40991,41273,40819,41688,40892,41006,41728,41791,40878,40495,37610,36557,35534,34589,34191,34382,35118,37007,N/A ^Not Available^,,Green,745373,61,N/A ^Not Available^,N/A ^Not Available^,N/A ^Not Available^,,866.0,857.71,853.86,839.86,835.86,815.43,720.14,728.0,742.29,745.14,729.43,721.0,747.0,843.0
