STATE,STATE NAME,NEW GATING SCORE,14-DAY TREND FOR COVID+,14-DAY TREND OF COVID+,14-DAY CHANGE IN COVID+,TOTAL COVID+,CASES-T-29,CASES-T-28,CASES-T-27,CASES-T-26,CASES-T-25,CASES-T-24,CASES-T-23,CASES-T-22,CASES-T-21,CASES-T-20,CASES-T-19,CASES-T-18,CASES-T-17,CASES-T-16,CASES-T-15,CASES-T-14,CASES-T-13,CASES-T-12,CASES-T-11,CASES-T-10,CASES-T-9,CASES-T-8,CASES-T-7,CASES-T-6,CASES-T-5,CASES-T-4,CASES-T-3,CASES-T-2,CASES-T-1,CASES-T-0,INFLUENZA-LIKE ILLNESS,GATING-CRITERIA-ILI,TESTS CONDUCTED (7-DAY AVG),% OF TEST TARGET (INCIDENCE ADJUSTED),ICU OCCUPIED,BEDS OCCUPIED,RT RANGE (90% CI),DOUBLING TIME (DAYS),DEATHS-13,DEATHS-12,DEATHS-11,DEATHS-10,DEATHS-09,DEATHS-08,DEATHS-07,DEATHS-06,DEATHS-05,DEATHS-04,DEATHS-03,DEATHS-02,DEATHS-01,DEATHS-00,COVID+ RATE IS1
Idaho,Idaho,Bruised Red,Decreasing,-10% ^Decreasing^,-10,28326,552,586,554,515,502,504,472,490,486,480,501,494,470,452,426,430,433,450,457,483,475,489,480,489,462,464,426,427,406,390,Minimal ^Level 2^,Green,2411,19,49% ^Normal^,45% ^Normal^,0.9 ^0.8 - 1.0^,48.0,6.29,6.57,5.71,5.43,5.71,5.57,5.14,4.14,4.0,5.14,4.86,4.57,4.86,5.14,15.4% ^Flat^
Illinois,Illinois 😷,Bruised Red,Increasing,15% ^Increasing^,15,213221,1177,1236,1288,1313,1334,1417,1425,1442,1413,1434,1488,1519,1508,1518,1574,1627,1652,1670,1749,1737,1740,1751,1734,1717,1745,1693,1719,1784,1811,1904,Minimal ^Level 1^,Green,42829,68,51% ^Normal^,55% ^Normal^,1.0 ^0.9 - 1.1^,75.0,17.29,18.57,20.0,18.71,17.57,17.71,15.86,16.29,15.71,13.86,15.71,17.29,18.14,19.43,4.3% ^Increasing^
Indiana,Indiana 😷,Red,Flat,1% ^Flat^,1,82336,747,758,789,826,838,829,814,823,804,807,794,800,784,789,797,811,823,871,881,924,937,944,935,936,911,913,870,859,855,831,Minimal ^Level 2^,Green,9577,35,64% ^Normal^,58% ^Normal^,1.0 ^0.9 - 1.1^,66.0,9.57,8.29,9.29,9.43,9.14,10.43,11.29,13.14,12.86,13.14,13.14,13.0,13.71,13.43,8.9% ^Increasing^
Iowa,Iowa,Bruised Red,Flat,5% ^Flat^,5,53288,518,500,500,507,538,497,484,472,498,486,473,472,470,470,466,483,475,469,472,471,461,470,450,425,438,501,520,522,517,497,Minimal ^Level 1^,Green,4882,30,63% ^Normal^,58% ^Normal^,1.0 ^0.9 - 1.1^,72.0,7.29,6.57,7.57,7.71,7.29,7.43,7.43,7.29,7.57,6.86,6.43,6.86,7.0,7.86,10.9% ^Increasing^
Kansas,Kansas 😷,Bruised Red,Increasing,17% ^Increasing^,17,35890,468,453,453,449,449,449,405,405,395,395,386,386,386,386,386,407,407,404,404,404,408,408,404,404,464,464,464,491,491,478,Minimal ^Level 1^,Green,3611,23,58% ^Normal^,51% ^Normal^,1.1 ^1.0 - 1.2^,50.0,2.71,3.14,3.14,3.14,3.14,3.14,3.86,3.86,3.14,3.14,3.14,2.57,2.57,2.29,12.5% ^Flat^
Kentucky,Kentucky 😷,Red,Flat,3% ^Flat^,3,40926,548,552,581,618,654,560,598,581,598,606,603,566,587,558,582,573,553,521,551,542,535,514,601,633,643,622,619,634,644,569,Minimal ^Level 1^,Green,8006,43,77% ^Elevated^,63% ^Normal^,1.0 ^0.9 - 1.1^,47.0,4.14,4.14,4.57,4.43,4.43,4.57,5.43,5.14,5.71,5.43,5.71,6.14,6.71,7.43,7.7% ^Flat^
Louisiana,Louisiana 😷,Bruised Red,Decreasing,-56% ^Decreasing^,-56,139903,2077,2175,2177,2163,2163,2267,2146,2065,1917,1833,1792,1792,1739,1561,1918,1881,1824,1781,1781,1665,1588,1238,1194,1170,1142,1142,931,932,857,800,Minimal ^Level 3^,Green,15195,58,66% ^Normal^,63% ^Normal^,0.7 ^0.5 - 0.8^,119.0,31.57,36.86,36.86,36.57,37.57,37.43,37.86,36.57,31.86,31.86,34.86,34.14,34.43,35.43,4.9% ^Decreasing^
Maine,Maine 😷,Green,Increasing,50% ^Increasing^,50,4234,22,21,20,17,21,18,17,16,20,22,22,21,21,20,20,18,16,15,13,12,11,11,11,13,14,17,18,21,23,23,Minimal ^Level 1^,Green,2589,128,64% ^Normal^,58% ^Normal^,1.2 ^0.8 - 1.6^,123.0,0.29,0.14,0.29,0.29,0.14,0.43,0.29,0.29,0.29,0.29,0.29,0.29,0.14,0.14,0.7% ^Flat^
Maryland,Maryland 😷,Red,Decreasing,-27% ^Decreasing^,-27,101649,755,737,739,771,835,802,884,854,873,906,940,902,932,895,904,877,833,780,745,747,731,713,708,736,724,730,673,637,627,609,Minimal ^Level 1^,Green,13847,69,66% ^Normal^,67% ^Normal^,0.9 ^0.8 - 1.0^,113.0,9.0,10.29,10.14,10.0,9.71,10.57,10.86,9.86,9.43,8.43,7.71,7.14,6.57,7.0,4.4% ^Decreasing^
Massachusetts,Massachusetts 😷,Yellow,Decreasing,-13% ^Decreasing^,-13,124415,272,282,295,301,290,300,305,307,338,350,375,396,403,390,432,423,397,383,382,369,380,358,337,349,320,312,309,300,269,345,Minimal ^Level 1^,Green,19220,169,51% ^Normal^,64% ^Normal^,0.9 ^0.8 - 1.0^,248.0,13.71,14.29,13.57,13.86,13.29,13.43,15.71,14.14,13.57,13.86,13.43,13.14,12.57,15.29,1.4% ^Decreasing^
