date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-03-02,ME,0,1.3640030703986306,1.3518004736032196,1.159257436601989,1.5439908014426549,60.146510304478,0.0,0.0,0.0,0.0,,,
2020-03-03,ME,1,1.3574589838790163,1.3459762174757608,1.1403003958138604,1.515497572924943,0.5896884895080652,0.0,0.0,0.0,0.0,,,
2020-03-04,ME,2,1.3511182957762111,1.3392534337585196,1.1858538296255634,1.542481709745941,8.360215144396154,0.0,0.0,0.0,0.0,,,
2020-03-05,ME,3,1.3437222198669132,1.3320753235073926,1.18907404349514,1.523613284819021,15.86092255104662,0.0,0.0,0.0,0.0,,,
2020-03-06,ME,4,1.3357542588959028,1.327303874350206,1.1693423251452035,1.494184811318627,17.061970547746142,0.0,0.0,0.0,0.0,,,
2020-03-07,ME,5,1.3232457095924417,1.3208503731077998,1.1662004772462815,1.4780597690194748,16.995554284186326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,ME,6,1.3149304580045609,1.3110813915421646,1.174400029184946,1.469921930770009,17.745659650421416,3.9022226984622894,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,ME,7,1.3044658752781944,1.2973389005148657,1.1692359348785497,1.4454077035435495,18.8686109835645,6.063899898499613,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,ME,8,1.288972225114516,1.2860139078178694,1.1456842635378544,1.4146625371238877,19.965374895655497,7.3537967584577375,0.0,0.0,0.0,19.0,0.0,0.0
2020-03-11,ME,9,1.2754805545706724,1.272309135076238,1.1507028410177562,1.3907938327622509,21.033295757984227,8.448823827834726,0.0,0.0,0.0,22.0,0.0,0.0
2020-03-12,ME,10,1.2568949061181989,1.2526379428717738,1.1441866392836346,1.3743320283493752,22.118567047874365,9.843954114925372,1.3234083945245076,1.0,39.0,24.0,1.0,0.0
2020-03-13,ME,11,1.2389981829855743,1.2392276006726504,1.1224791527932878,1.3510503208187596,23.220541628295866,10.895404658336432,2.646816789049016,2.0,25.0,28.0,2.0,0.0
2020-03-14,ME,12,1.2183003355760469,1.2177646595435356,1.117275076378576,1.3323778523157281,24.31815873540515,12.379836296580171,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,ME,13,1.1990020731769475,1.1933662770787559,1.1029106822967658,1.313641538623694,25.393722661881906,13.154406774419925,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,ME,14,1.1790145447192404,1.174592535531303,1.08579456893117,1.2890306117865196,26.433022623044963,14.128177420517881,18.52771752334311,14.0,670.0,687.0,14.0,0.0
2020-03-17,ME,15,1.1573431308122404,1.1554068762937146,1.0674155512043269,1.2552761074148198,27.425035166132268,15.396095739312525,19.851125917867613,15.0,554.0,554.0,15.0,0.0
2020-03-18,ME,16,1.1371221293049194,1.1352136517001994,1.0454242551837714,1.228813846643302,28.360963323138822,16.260110495991196,14.557492339769588,11.0,378.0,378.0,11.0,0.0
