date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-03-02,ME,0,1.357208021242207,1.3542085481510353,1.1689298628883549,1.5215918460547704,58.068201007268286,0.0,0.0,0.0,0.0,,,
2020-03-03,ME,1,1.3521490006979295,1.3450088540556613,1.192518088260501,1.5335778693664288,0.5676655397225728,0.0,0.0,0.0,0.0,,,
2020-03-04,ME,2,1.344746559398465,1.336792552641315,1.1674091041971693,1.4984031874388335,8.047968990395301,0.0,0.0,0.0,0.0,,,
2020-03-05,ME,3,1.3381577727478933,1.338353262870595,1.163146318127018,1.4870785299306508,15.267968008391044,0.0,0.0,0.0,0.0,,,
2020-03-06,ME,4,1.3304406188863132,1.3265382266014427,1.166393902913618,1.4839248463043329,16.419092843488837,0.0,0.0,0.0,0.0,,,
2020-03-07,ME,5,1.3201734451622629,1.315652740190388,1.1860603641015908,1.4760443057094468,16.343734125967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,ME,6,1.3090678266394304,1.305282055645056,1.1368670178049205,1.4186301954382259,17.05163834162605,3.8068155170386513,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,ME,7,1.2963765715193565,1.2918260341752958,1.1573490624602656,1.4210948514318096,18.12078344598753,5.91553294853614,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,ME,8,1.284508604088032,1.2857636886207235,1.158369555128484,1.4166608800269962,19.162118437032426,7.172301956123907,0.0,0.0,0.0,19.0,0.0,0.0
2020-03-11,ME,9,1.26845551339055,1.2666563199440704,1.1355596946630502,1.3704082694500055,20.166038191835845,8.236759380313162,0.0,0.0,0.0,22.0,0.0,0.0
2020-03-12,ME,10,1.2512474990327105,1.249765238956027,1.1440261598883146,1.373144226004979,21.18471390125265,9.592403931167244,1.2932232848972574,1.0,39.0,24.0,1.0,0.0
