Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
20200826,NC,158985,68434,28857.0,,2179.0,1824.0,270.0,,19025.0,38396.0,39534.0,66254.0,53197,2606.0,1457.0,765.0,,33.0,34.0,4.0,,173.0,140.0,248.0,2080.0,278.0
20200826,ND,10467,5166,930.0,,215.0,661.0,,194.0,25.0,3276.0,,,10467,117.0,,,,,,,,,117.0,,,117.0
20200826,NE,32727,20600,2000.0,,1400.0,335.0,50.0,,1800.0,6542.0,10900.0,14300.0,7527,386.0,298.0,27.0,,18.0,10.0,0.0,,12.0,21.0,84.0,252.0,50.0
20200826,NH,7159,4693,356.0,863.0,193.0,,,,249.0,805.0,863.0,5491.0,805,430.0,395.0,9.0,12.0,4.0,,,,2.0,8.0,12.0,410.0,8.0
20200826,NJ,190306,44121,20130.0,36624.0,6060.0,,,,13439.0,69932.0,36624.0,83750.0,69932,15914.0,8495.0,2829.0,3152.0,870.0,,,,288.0,280.0,3152.0,12482.0,280.0
20200826,NM,24732,3492,442.0,10723.0,158.0,8087.0,,,,1830.0,10723.0,12179.0,1830,755.0,173.0,7.0,159.0,2.0,404.0,,,,10.0,159.0,586.0,10.0
20200826,NV,66666,13169,3831.0,18475.0,3333.0,213.0,,,6873.0,20772.0,18475.0,27419.0,20772,1250.0,426.0,100.0,185.0,104.0,8.0,,,10.0,417.0,185.0,648.0,417.0
20200826,NY,431340,,,,,,,,,431340.0,,,,28495.0,8723.0,6418.0,6746.0,1702.0,,,,1842.0,3064.0,6746.0,18685.0,3064.0
20200826,OH,117584,62085,27292.0,,3007.0,157.0,176.0,3461.0,7556.0,13850.0,7450.0,84115.0,26019,4044.0,3140.0,764.0,,42.0,2.0,1.0,52.0,21.0,22.0,90.0,3921.0,33.0
20200826,OK,54838,30093,3898.0,,2103.0,5136.0,,,2180.0,11428.0,10052.0,29257.0,15529,763.0,556.0,46.0,,19.0,69.0,,,26.0,47.0,53.0,581.0,129.0
20200826,OR,25571,10215,885.0,,723.0,620.0,501.0,485.0,8943.0,3199.0,10231.0,12195.0,3145,433.0,290.0,10.0,,18.0,10.0,7.0,5.0,38.0,55.0,50.0,310.0,73.0
20200826,PA,130536,45941,17963.0,,1901.0,,,,1921.0,62810.0,10857.0,31994.0,87685,7624.0,5440.0,1593.0,,162.0,,,,363.0,66.0,447.0,7111.0,66.0
20200826,PR,30744,,,,,,,,,30744.0,,,,404.0,,,,,,,,,404.0,,,
20200826,RI,21454,5887,1938.0,7574.0,,,,,623.0,5432.0,7574.0,8448.0,5432,1041.0,685.0,53.0,96.0,,,,,14.0,193.0,96.0,752.0,193.0
20200826,SC,114093,38943,30093.0,,885.0,,,,7080.0,36205.0,9393.0,54482.0,50216,2573.0,1206.0,904.0,,23.0,,,,69.0,392.0,89.0,1840.0,665.0
20200826,SD,11571,5724,1085.0,1328.0,747.0,1659.0,,,1028.0,0.0,1328.0,10243.0,0,162.0,99.0,2.0,5.0,5.0,37.0,,,14.0,0.0,5.0,157.0,0.0
20200826,TN,147353,72663,28500.0,,1276.0,200.0,103.0,,19589.0,25022.0,21870.0,90825.0,34658,1648.0,1004.0,496.0,,15.0,4.0,2.0,,92.0,35.0,117.0,1475.0,56.0
20200826,TX,592137,13303,7522.0,18750.0,745.0,,,,208.0,551609.0,18750.0,21778.0,551609,11805.0,3614.0,1406.0,6464.0,248.0,,,,69.0,4.0,6464.0,5337.0,4.0
20200826,UT,50174,21047,1171.0,18433.0,1167.0,1034.0,2156.0,,5897.0,5351.0,18433.0,26390.0,5351,401.0,204.0,7.0,88.0,22.0,33.0,21.0,,32.0,22.0,88.0,291.0,22.0
20200826,VA,115458,28923,22735.0,29913.0,3377.0,140.0,,634.0,2791.0,26945.0,29913.0,58600.0,26945,2515.0,1352.0,633.0,266.0,126.0,4.0,,3.0,45.0,86.0,266.0,2163.0,86.0
20200826,VI,1030,,,,,,,,,1030.0,,,,14.0,,,,,,,,,14.0,,,
20200826,VT,1577,1303,173.0,,55.0,2.0,,,36.0,8.0,58.0,1514.0,5,58.0,55.0,,,2.0,,,,1.0,0.0,0.0,58.0,0.0
20200826,WA,72161,18955,2993.0,21525.0,2442.0,829.0,1252.0,1321.0,1084.0,21760.0,21525.0,28876.0,21760,1880.0,1253.0,61.0,261.0,143.0,47.0,30.0,22.0,38.0,25.0,261.0,1594.0,25.0
20200826,WI,77092,49682,10083.0,,2113.0,744.0,,,6901.0,7569.0,16435.0,50265.0,10392,1108.0,802.0,223.0,,31.0,13.0,,,23.0,16.0,131.0,956.0,21.0
20200826,WV,9540,7724,723.0,,,,,,799.0,294.0,,,,190.0,58.0,3.0,,,,,,,129.0,,,
20200826,WY,3684,1906,37.0,495.0,21.0,438.0,12.0,,169.0,702.0,495.0,2583.0,702,37.0,15.0,1.0,2.0,0.0,14.0,,,0.0,5.0,2.0,29.0,5.0
20200823,AK,5558,1335,194.0,,135.0,696.0,201.0,152.0,164.0,2681.0,340.0,1982.0,3236,32.0,13.0,0.0,,2.0,10.0,4.0,0.0,0.0,3.0,0.0,29.0,3.0
20200823,AL,115060,35362,29593.0,,429.0,,,,5912.0,43774.0,6836.0,52801.0,55422,2013.0,1034.0,792.0,,5.0,,,,43.0,139.0,57.0,1652.0,304.0
20200823,AR,56574,31138,12721.0,,781.0,174.0,2343.0,,4530.0,4887.0,12675.0,43899.0,0,687.0,424.0,171.0,,9.0,3.0,38.0,,39.0,3.0,54.0,630.0,3.0
20200823,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
20200823,AZ,198103,45359,5828.0,58740.0,1762.0,11641.0,,,5793.0,68980.0,58740.0,70383.0,68980,4771.0,1845.0,146.0,1427.0,52.0,522.0,,,82.0,569.0,1427.0,2775.0,569.0
