lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,178,39,212,45
Not Reported,Alleghany,9,3,9,3
Not Reported,Arlington,663,75,737,96
Not Reported,Central Shenandoah,201,38,209,40
Not Reported,Central Virginia,160,9,172,10
Not Reported,Chesapeake,202,23,203,23
Not Reported,Chesterfield,565,241,610,258
Not Reported,Chickahominy,129,80,133,83
Not Reported,Crater,286,96,296,103
Not Reported,Cumberland Plateau,18,18,37,37
Not Reported,Eastern Shore,269,2,269,2
Not Reported,Fairfax,1445,393,1774,474
Not Reported,Hampton,157,23,158,24
Not Reported,Henrico,602,331,632,347
Not Reported,Lenowisco,10,7,26,23
Not Reported,Lord Fairfax,93,21,133,25
Not Reported,Loudoun,1029,136,1311,204
Not Reported,Mount Rogers,24,19,33,27
Not Reported,New River,11,5,13,6
Not Reported,Norfolk,135,12,138,12
Not Reported,Out of State,28,18,49,38
Not Reported,Peninsula,448,73,452,74
Not Reported,Piedmont,90,34,97,36
Not Reported,Pittsylvania-Danville,26,9,27,9
Not Reported,Portsmouth,54,8,54,8
Not Reported,Prince William,1207,298,1342,377
Not Reported,Rappahannock,495,164,528,189
Not Reported,Rappahannock Rapidan,157,44,210,59
Not Reported,Richmond,363,196,388,207
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,54,22,56,23
Not Reported,Thomas Jefferson,121,22,141,25
Not Reported,Three Rivers,129,53,145,57
Not Reported,Unknown,370,115,380,122
Not Reported,Virginia Beach,502,27,514,29
Not Reported,Western Tidewater,143,35,143,35
Not Reported,West Piedmont,97,84,100,84
9/8/2020,Alexandria,96,1,97,2
9/8/2020,Alleghany,119,8,131,8
9/8/2020,Arlington,160,6,160,6
9/8/2020,Central Shenandoah,112,20,113,20
9/8/2020,Central Virginia,176,26,180,26
9/8/2020,Chesapeake,182,8,183,8
9/8/2020,Chesterfield,192,12,206,13
9/8/2020,Chickahominy,78,18,83,18
9/8/2020,Crater,81,9,84,9
9/8/2020,Cumberland Plateau,27,3,28,3
9/8/2020,Eastern Shore,4,1,4,1
9/8/2020,Fairfax,702,43,719,43
9/8/2020,Hampton,67,6,67,6
9/8/2020,Henrico,179,12,205,12
9/8/2020,Lenowisco,11,1,17,3
9/8/2020,Lord Fairfax,76,1,76,1
9/8/2020,Loudoun,230,19,251,19
9/8/2020,Mount Rogers,75,5,78,6
9/8/2020,New River,147,13,155,13
9/8/2020,Norfolk,108,9,108,9
9/8/2020,Out of State,171,8,178,8
9/8/2020,Peninsula,130,12,131,12
9/8/2020,Piedmont,15,1,15,1
9/8/2020,Pittsylvania-Danville,113,15,113,15
9/8/2020,Portsmouth,75,7,75,7
9/8/2020,Prince William,336,29,339,29
9/8/2020,Rappahannock,118,9,122,10
9/8/2020,Rappahannock Rapidan,56,5,56,5
9/8/2020,Richmond,90,3,99,3
9/8/2020,Roanoke,53,11,61,11
9/8/2020,Southside,27,5,28,5
9/8/2020,Thomas Jefferson,132,19,134,19
9/8/2020,Three Rivers,42,6,43,6
9/8/2020,Unknown,7,0,8,1
9/8/2020,Virginia Beach,269,13,270,14
9/8/2020,Western Tidewater,105,12,108,12
9/8/2020,West Piedmont,94,10,95,10
9/7/2020,Alexandria,117,5,117,5
9/7/2020,Alleghany,44,2,50,2
9/7/2020,Arlington,144,10,145,11
9/7/2020,Central Shenandoah,236,22,239,22
9/7/2020,Central Virginia,211,6,211,6
9/7/2020,Chesapeake,127,19,128,19
9/7/2020,Chesterfield,340,22,361,22
9/7/2020,Chickahominy,157,8,162,8
9/7/2020,Crater,204,22,207,22
9/7/2020,Cumberland Plateau,19,5,19,5
9/7/2020,Eastern Shore,22,0,22,0
9/7/2020,Fairfax,858,74,878,75
9/7/2020,Hampton,55,6,55,6
9/7/2020,Henrico,360,24,380,24
9/7/2020,Lenowisco,29,7,29,7
9/7/2020,Lord Fairfax,158,7,158,7
9/7/2020,Loudoun,253,25,261,25
9/7/2020,Mount Rogers,103,9,104,9
9/7/2020,New River,63,4,75,4
9/7/2020,Norfolk,156,7,156,7
9/7/2020,Out of State,196,11,200,11
9/7/2020,Peninsula,147,12,147,12
9/7/2020,Piedmont,64,8,66,8
9/7/2020,Pittsylvania-Danville,108,4,108,4
9/7/2020,Portsmouth,62,9,62,9
9/7/2020,Prince William,370,40,377,41
9/7/2020,Rappahannock,158,5,160,5
9/7/2020,Rappahannock Rapidan,99,8,105,14
9/7/2020,Richmond,228,18,250,18
9/7/2020,Roanoke,204,14,210,14
9/7/2020,Southside,48,11,48,11
9/7/2020,Thomas Jefferson,242,12,247,12
9/7/2020,Three Rivers,96,7,96,7
9/7/2020,Unknown,8,2,8,2
9/7/2020,Virginia Beach,231,12,231,12
9/7/2020,Western Tidewater,126,9,126,9
9/7/2020,West Piedmont,10,2,10,2
9/6/2020,Alexandria,195,15,208,15
9/6/2020,Alleghany,122,8,133,8
9/6/2020,Arlington,363,16,374,16
9/6/2020,Central Shenandoah,460,68,463,68
9/6/2020,Central Virginia,412,7,415,7
9/6/2020,Chesapeake,309,21,309,21
9/6/2020,Chesterfield,399,29,430,32
9/6/2020,Chickahominy,186,16,194,17
9/6/2020,Crater,271,51,275,51
9/6/2020,Cumberland Plateau,63,5,66,5
9/6/2020,Eastern Shore,49,1,50,1
9/6/2020,Fairfax,1234,71,1319,78
9/6/2020,Hampton,135,6,137,7
9/6/2020,Henrico,455,33,482,34
9/6/2020,Lenowisco,56,4,57,4
9/6/2020,Lord Fairfax,188,9,192,9
9/6/2020,Loudoun,412,35,436,38
9/6/2020,Mount Rogers,154,13,157,14
9/6/2020,New River,107,7,119,7
9/6/2020,Norfolk,344,17,345,17
9/6/2020,Out of State,348,27,354,27
9/6/2020,Peninsula,350,16,352,16
9/6/2020,Piedmont,137,18,138,18
9/6/2020,Pittsylvania-Danville,236,16,238,16
9/6/2020,Portsmouth,159,16,159,16
9/6/2020,Prince William,452,42,482,43
9/6/2020,Rappahannock,276,26,283,27
9/6/2020,Rappahannock Rapidan,223,7,226,8
9/6/2020,Richmond,324,22,343,23
9/6/2020,Roanoke,428,19,435,19
9/6/2020,Southside,93,15,94,15
9/6/2020,Thomas Jefferson,367,14,376,15
9/6/2020,Three Rivers,222,5,227,6
9/6/2020,Unknown,36,3,36,3
9/6/2020,Virginia Beach,767,27,783,27
9/6/2020,Western Tidewater,258,24,262,24
9/6/2020,West Piedmont,136,7,138,7
9/5/2020,Alexandria,250,14,272,14
9/5/2020,Alleghany,224,26,240,26
