lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,191,41,227,47
Not Reported,Alleghany,11,4,11,4
Not Reported,Arlington,727,81,807,106
Not Reported,Central Shenandoah,214,43,223,45
Not Reported,Central Virginia,162,11,175,12
Not Reported,Chesapeake,214,27,215,27
Not Reported,Chesterfield,606,242,663,260
Not Reported,Chickahominy,148,81,156,85
Not Reported,Crater,301,99,314,106
Not Reported,Cumberland Plateau,40,40,62,62
Not Reported,Eastern Shore,270,2,270,2
Not Reported,Fairfax,1520,414,1863,502
Not Reported,Hampton,167,31,168,32
Not Reported,Henrico,725,336,770,352
Not Reported,Lenowisco,12,8,29,25
Not Reported,Lord Fairfax,96,22,138,26
Not Reported,Loudoun,1044,139,1332,209
Not Reported,Mount Rogers,25,19,37,30
Not Reported,New River,19,12,21,13
Not Reported,Norfolk,140,14,144,14
Not Reported,Out of State,41,30,66,54
Not Reported,Peninsula,476,91,480,92
Not Reported,Piedmont,97,34,104,36
Not Reported,Pittsylvania-Danville,32,14,33,14
Not Reported,Portsmouth,61,14,61,14
Not Reported,Prince William,1324,318,1470,404
Not Reported,Rappahannock,550,181,584,206
Not Reported,Rappahannock Rapidan,162,48,220,64
Not Reported,Richmond,388,198,462,210
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,56,22,58,23
Not Reported,Thomas Jefferson,144,23,171,26
Not Reported,Three Rivers,143,52,159,56
Not Reported,Unknown,380,117,392,124
Not Reported,Virginia Beach,529,29,542,31
Not Reported,Western Tidewater,164,51,164,51
Not Reported,West Piedmont,121,90,130,90
2020-09-17,Alexandria,186,9,191,10
2020-09-17,Alleghany,255,7,272,7
2020-09-17,Arlington,310,5,328,6
2020-09-17,Central Shenandoah,334,21,339,23
2020-09-17,Central Virginia,643,29,645,29
2020-09-17,Chesapeake,290,16,295,16
2020-09-17,Chesterfield,439,19,470,19
2020-09-17,Chickahominy,198,7,208,8
2020-09-17,Crater,276,10,284,10
2020-09-17,Cumberland Plateau,68,6,78,7
2020-09-17,Eastern Shore,52,1,52,1
2020-09-17,Fairfax,952,40,1040,46
2020-09-17,Hampton,135,6,136,6
2020-09-17,Henrico,952,37,984,37
2020-09-17,Lenowisco,124,5,127,5
2020-09-17,Lord Fairfax,175,9,177,9
2020-09-17,Loudoun,228,8,263,11
2020-09-17,Mount Rogers,256,8,264,10
2020-09-17,New River,324,4,337,4
2020-09-17,Norfolk,249,8,252,10
2020-09-17,Out of State,214,25,217,25
2020-09-17,Peninsula,678,16,687,18
2020-09-17,Piedmont,157,8,164,10
2020-09-17,Pittsylvania-Danville,101,8,101,8
2020-09-17,Portsmouth,176,60,177,60
2020-09-17,Prince William,522,36,538,39
2020-09-17,Rappahannock,295,26,309,27
2020-09-17,Rappahannock Rapidan,162,2,166,3
2020-09-17,Richmond,397,15,417,16
2020-09-17,Roanoke,213,6,224,7
2020-09-17,Southside,142,5,146,5
2020-09-17,Thomas Jefferson,531,30,542,32
2020-09-17,Three Rivers,189,23,192,24
2020-09-17,Unknown,25,0,27,0
2020-09-17,Virginia Beach,377,24,393,25
2020-09-17,Western Tidewater,444,16,447,16
2020-09-17,West Piedmont,98,3,100,3
2020-09-16,Alexandria,363,20,384,24
2020-09-16,Alleghany,254,15,276,17
2020-09-16,Arlington,542,17,572,19
2020-09-16,Central Shenandoah,567,47,578,50
2020-09-16,Central Virginia,583,37,591,39
2020-09-16,Chesapeake,548,25,565,30
2020-09-16,Chesterfield,871,37,922,42
2020-09-16,Chickahominy,466,9,479,10
2020-09-16,Crater,398,27,411,28
2020-09-16,Cumberland Plateau,81,10,84,10
2020-09-16,Eastern Shore,84,3,85,3
2020-09-16,Fairfax,2254,102,2412,117
2020-09-16,Hampton,196,13,199,15
2020-09-16,Henrico,1230,30,1273,31
2020-09-16,Lenowisco,104,1,108,4
2020-09-16,Lord Fairfax,337,12,348,13
2020-09-16,Loudoun,631,45,687,55
2020-09-16,Mount Rogers,265,16,273,19
2020-09-16,New River,550,34,574,34
2020-09-16,Norfolk,517,24,525,24
2020-09-16,Out of State,1713,22,1721,22
2020-09-16,Peninsula,789,13,806,14
2020-09-16,Piedmont,183,9,191,10
2020-09-16,Pittsylvania-Danville,436,30,438,31
2020-09-16,Portsmouth,256,23,262,24
2020-09-16,Prince William,931,65,971,73
2020-09-16,Rappahannock,438,22,473,27
2020-09-16,Rappahannock Rapidan,344,14,361,21
2020-09-16,Richmond,504,13,538,14
2020-09-16,Roanoke,618,55,634,55
2020-09-16,Southside,745,21,751,21
2020-09-16,Thomas Jefferson,1031,60,1040,60
2020-09-16,Three Rivers,327,23,333,24
2020-09-16,Unknown,72,2,72,2
2020-09-16,Virginia Beach,670,29,697,32
2020-09-16,Western Tidewater,383,35,394,35
2020-09-16,West Piedmont,236,26,236,26
2020-09-15,Alexandria,208,8,215,9
2020-09-15,Alleghany,188,12,211,12
2020-09-15,Arlington,330,9,343,9
2020-09-15,Central Shenandoah,269,35,271,36
2020-09-15,Central Virginia,336,25,336,25
2020-09-15,Chesapeake,531,13,532,13
2020-09-15,Chesterfield,805,41,835,42
2020-09-15,Chickahominy,261,21,268,21
2020-09-15,Crater,278,15,283,16
2020-09-15,Cumberland Plateau,51,4,55,7
2020-09-15,Eastern Shore,34,0,34,0
2020-09-15,Fairfax,1504,68,1603,73
2020-09-15,Hampton,172,8,172,8
2020-09-15,Henrico,737,40,773,40
2020-09-15,Lenowisco,102,3,103,3
2020-09-15,Lord Fairfax,326,17,328,17
2020-09-15,Loudoun,465,29,503,33
2020-09-15,Mount Rogers,261,7,287,30
2020-09-15,New River,539,52,552,52
2020-09-15,Norfolk,517,21,521,22
2020-09-15,Out of State,617,10,623,10
2020-09-15,Peninsula,377,22,379,22
2020-09-15,Piedmont,213,13,219,13
2020-09-15,Pittsylvania-Danville,90,19,91,20
2020-09-15,Portsmouth,114,7,114,7
2020-09-15,Prince William,661,49,682,49
2020-09-15,Rappahannock,475,39,482,40
2020-09-15,Rappahannock Rapidan,172,6,181,13
2020-09-15,Richmond,372,18,400,19
2020-09-15,Roanoke,446,44,466,44
2020-09-15,Southside,286,14,287,14
2020-09-15,Thomas Jefferson,1123,83,1127,83
2020-09-15,Three Rivers,238,16,241,16
2020-09-15,Unknown,25,0,28,1
2020-09-15,Virginia Beach,933,50,940,53
2020-09-15,Western Tidewater,423,67,423,67
2020-09-15,West Piedmont,98,16,103,17
2020-09-14,Alexandria,213,12,221,12
2020-09-14,Alleghany,175,15,185,15
2020-09-14,Arlington,396,22,403,23
2020-09-14,Central Shenandoah,391,36,391,36
2020-09-14,Central Virginia,358,31,360,31
2020-09-14,Chesapeake,269,15,270,15
2020-09-14,Chesterfield,681,36,715,37
2020-09-14,Chickahominy,324,21,338,21
2020-09-14,Crater,225,13,232,13
2020-09-14,Cumberland Plateau,103,8,105,8
2020-09-14,Eastern Shore,60,0,60,0
2020-09-14,Fairfax,1499,74,1541,77
2020-09-14,Hampton,103,9,105,9
2020-09-14,Henrico,600,50,642,50
2020-09-14,Lenowisco,79,0,83,3
2020-09-14,Lord Fairfax,255,8,257,8
2020-09-14,Loudoun,533,46,560,47
2020-09-14,Mount Rogers,181,12,194,23
2020-09-14,New River,357,31,377,31
2020-09-14,Norfolk,243,11,243,11
2020-09-14,Out of State,377,15,383,15
2020-09-14,Peninsula,295,20,299,20
2020-09-14,Piedmont,161,0,165,0
2020-09-14,Pittsylvania-Danville,121,20,122,20
2020-09-14,Portsmouth,114,9,115,10
2020-09-14,Prince William,734,58,740,58
2020-09-14,Rappahannock,391,31,399,31
2020-09-14,Rappahannock Rapidan,272,2,285,11
2020-09-14,Richmond,371,28,389,28
2020-09-14,Roanoke,523,18,531,18
2020-09-14,Southside,93,9,94,9
2020-09-14,Thomas Jefferson,404,9,409,10
2020-09-14,Three Rivers,210,28,213,28
2020-09-14,Unknown,12,1,12,1
2020-09-14,Virginia Beach,457,23,457,23
2020-09-14,Western Tidewater,315,30,315,30
2020-09-14,West Piedmont,119,13,121,14
2020-09-13,Alexandria,258,18,269,18
2020-09-13,Alleghany,141,13,152,13
2020-09-13,Arlington,350,18,363,18
2020-09-13,Central Shenandoah,277,47,282,47
2020-09-13,Central Virginia,701,15,702,15
2020-09-13,Chesapeake,347,22,351,22
2020-09-13,Chesterfield,401,29,438,32
2020-09-13,Chickahominy,400,65,406,65
2020-09-13,Crater,316,13,329,13
2020-09-13,Cumberland Plateau,84,3,90,3
2020-09-13,Eastern Shore,66,1,66,1
2020-09-13,Fairfax,1632,89,1688,93
2020-09-13,Hampton,211,11,211,11
2020-09-13,Henrico,520,44,547,45
2020-09-13,Lenowisco,94,2,95,2
2020-09-13,Lord Fairfax,271,4,275,4
2020-09-13,Loudoun,452,36,476,40
2020-09-13,Mount Rogers,383,14,389,15
2020-09-13,New River,172,14,181,14
2020-09-13,Norfolk,365,10,369,10
2020-09-13,Out of State,376,16,378,16
2020-09-13,Peninsula,564,25,572,26
2020-09-13,Piedmont,98,7,101,7
2020-09-13,Pittsylvania-Danville,185,8,185,8
2020-09-13,Portsmouth,205,9,205,9
2020-09-13,Prince William,641,54,664,57
2020-09-13,Rappahannock,223,10,232,11
2020-09-13,Rappahannock Rapidan,111,6,126,13
2020-09-13,Richmond,240,14,251,15
2020-09-13,Roanoke,588,44,596,44
2020-09-13,Southside,64,4,71,5
2020-09-13,Thomas Jefferson,347,9,354,9
2020-09-13,Three Rivers,194,19,200,20
2020-09-13,Unknown,37,1,39,2
2020-09-13,Virginia Beach,579,23,590,23
2020-09-13,Western Tidewater,391,23,393,23
2020-09-13,West Piedmont,60,4,62,5
2020-09-12,Alexandria,218,4,238,5
2020-09-12,Alleghany,188,13,203,13
2020-09-12,Arlington,422,16,470,17
2020-09-12,Central Shenandoah,385,28,393,29
2020-09-12,Central Virginia,439,28,445,28
2020-09-12,Chesapeake,397,18,403,18
2020-09-12,Chesterfield,526,32,569,35
2020-09-12,Chickahominy,323,36,333,36
2020-09-12,Crater,313,14,319,15
2020-09-12,Cumberland Plateau,71,2,73,3
2020-09-12,Eastern Shore,67,3,69,4
2020-09-12,Fairfax,1430,73,1568,86
2020-09-12,Hampton,142,4,142,4
2020-09-12,Henrico,588,69,616,71
2020-09-12,Lenowisco,84,4,86,4
2020-09-12,Lord Fairfax,622,16,631,16
2020-09-12,Loudoun,452,32,501,34
2020-09-12,Mount Rogers,264,10,275,13
2020-09-12,New River,271,14,283,14
2020-09-12,Norfolk,821,17,826,18
2020-09-12,Out of State,561,17,566,17
