lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,178,40,212,46
Not Reported,Alleghany,9,3,9,3
Not Reported,Arlington,663,75,737,96
Not Reported,Central Shenandoah,201,38,209,40
Not Reported,Central Virginia,161,9,173,10
Not Reported,Chesapeake,207,27,208,27
Not Reported,Chesterfield,565,240,610,257
Not Reported,Chickahominy,129,80,133,83
Not Reported,Crater,289,99,299,106
Not Reported,Cumberland Plateau,21,21,40,40
Not Reported,Eastern Shore,269,2,269,2
Not Reported,Fairfax,1450,398,1780,480
Not Reported,Hampton,166,31,167,32
Not Reported,Henrico,601,332,631,348
Not Reported,Lenowisco,10,7,26,23
Not Reported,Lord Fairfax,93,21,133,25
Not Reported,Loudoun,1034,139,1317,208
Not Reported,Mount Rogers,24,19,35,29
Not Reported,New River,11,5,13,6
Not Reported,Norfolk,137,14,140,14
Not Reported,Out of State,27,17,50,39
Not Reported,Peninsula,467,88,471,89
Not Reported,Piedmont,90,34,97,36
Not Reported,Pittsylvania-Danville,26,9,27,9
Not Reported,Portsmouth,57,10,57,10
Not Reported,Prince William,1206,298,1342,378
Not Reported,Rappahannock,495,164,528,189
Not Reported,Rappahannock Rapidan,158,45,212,61
Not Reported,Richmond,365,196,390,207
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,54,22,56,23
Not Reported,Thomas Jefferson,121,22,141,25
Not Reported,Three Rivers,129,53,145,57
Not Reported,Unknown,371,115,381,122
Not Reported,Virginia Beach,506,27,518,29
Not Reported,Western Tidewater,162,52,162,52
Not Reported,West Piedmont,98,84,101,84
9/9/2020,Alexandria,76,4,81,4
9/9/2020,Alleghany,135,12,148,12
9/9/2020,Arlington,124,4,127,5
9/9/2020,Central Shenandoah,297,50,299,51
9/9/2020,Central Virginia,862,59,863,59
9/9/2020,Chesapeake,343,15,346,15
9/9/2020,Chesterfield,477,29,502,30
9/9/2020,Chickahominy,131,15,135,15
9/9/2020,Crater,129,10,130,10
9/9/2020,Cumberland Plateau,45,3,45,3
9/9/2020,Eastern Shore,14,0,14,0
9/9/2020,Fairfax,492,37,534,45
9/9/2020,Hampton,118,8,118,8
9/9/2020,Henrico,244,24,279,27
9/9/2020,Lenowisco,48,11,49,12
9/9/2020,Lord Fairfax,159,6,162,6
9/9/2020,Loudoun,168,17,188,17
9/9/2020,Mount Rogers,46,3,57,13
9/9/2020,New River,164,16,184,17
9/9/2020,Norfolk,455,32,457,32
9/9/2020,Out of State,322,13,329,13
9/9/2020,Peninsula,280,12,284,12
9/9/2020,Piedmont,118,22,122,22
9/9/2020,Pittsylvania-Danville,214,8,214,8
9/9/2020,Portsmouth,75,5,76,5
9/9/2020,Prince William,337,38,351,41
9/9/2020,Rappahannock,194,17,197,17
9/9/2020,Rappahannock Rapidan,163,11,166,13
9/9/2020,Richmond,341,11,363,12
9/9/2020,Roanoke,79,16,86,16
9/9/2020,Southside,107,10,108,10
9/9/2020,Thomas Jefferson,503,27,506,27
9/9/2020,Three Rivers,98,18,99,18
9/9/2020,Unknown,11,0,12,0
9/9/2020,Virginia Beach,456,32,464,32
9/9/2020,Western Tidewater,160,22,161,22
9/9/2020,West Piedmont,61,6,63,6
9/8/2020,Alexandria,195,5,197,6
9/8/2020,Alleghany,133,9,151,9
9/8/2020,Arlington,399,12,404,13
9/8/2020,Central Shenandoah,229,43,231,43
9/8/2020,Central Virginia,183,26,187,26
9/8/2020,Chesapeake,283,13,285,13
9/8/2020,Chesterfield,422,27,445,28
9/8/2020,Chickahominy,317,136,324,136
9/8/2020,Crater,201,13,205,13
9/8/2020,Cumberland Plateau,56,8,57,8
9/8/2020,Eastern Shore,32,2,32,2
9/8/2020,Fairfax,1411,81,1451,83
9/8/2020,Hampton,95,8,95,8
9/8/2020,Henrico,413,30,446,30
9/8/2020,Lenowisco,50,9,56,11
9/8/2020,Lord Fairfax,149,5,151,5
9/8/2020,Loudoun,407,36,439,37
9/8/2020,Mount Rogers,128,22,151,42
9/8/2020,New River,814,101,825,101
9/8/2020,Norfolk,186,14,187,14
9/8/2020,Out of State,482,15,495,16
9/8/2020,Peninsula,247,20,249,20
9/8/2020,Piedmont,43,3,43,3
9/8/2020,Pittsylvania-Danville,144,19,144,19
9/8/2020,Portsmouth,112,10,112,10
9/8/2020,Prince William,592,45,603,45
9/8/2020,Rappahannock,279,17,287,18
9/8/2020,Rappahannock Rapidan,110,8,122,19
9/8/2020,Richmond,244,11,265,11
9/8/2020,Roanoke,315,22,333,22
9/8/2020,Southside,79,8,80,8
9/8/2020,Thomas Jefferson,300,28,304,28
9/8/2020,Three Rivers,147,16,149,16
9/8/2020,Unknown,22,0,24,1
9/8/2020,Virginia Beach,414,19,415,20
9/8/2020,Western Tidewater,189,28,192,28
9/8/2020,West Piedmont,107,13,110,13
9/7/2020,Alexandria,124,5,124,5
9/7/2020,Alleghany,45,2,51,2
9/7/2020,Arlington,163,11,164,12
9/7/2020,Central Shenandoah,259,22,262,22
9/7/2020,Central Virginia,211,6,211,6
9/7/2020,Chesapeake,153,19,154,19
9/7/2020,Chesterfield,363,22,384,22
9/7/2020,Chickahominy,167,8,172,8
9/7/2020,Crater,215,22,218,22
9/7/2020,Cumberland Plateau,19,5,19,5
9/7/2020,Eastern Shore,23,0,23,0
