lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day
2020-07-07,Alexandria,260,23,288,27,0.08846,0.09375,0.08846
2020-07-08,Lenowisco,90,3,98,3,0.03333,0.03061,0.03333
2020-07-08,Henrico,917,104,994,107,0.11341,0.10765,0.11341
2020-07-08,Hampton,327,27,341,27,0.08257,0.07918,0.08257
2020-07-08,Fairfax,1753,84,2275,113,0.04792,0.04967,0.04792
2020-07-08,Eastern Shore,69,2,69,2,0.02899,0.02899,0.02899
2020-07-08,Cumberland Plateau,78,7,86,7,0.08974,0.0814,0.08974
2020-07-08,Chickahominy,209,10,233,10,0.04785,0.04292,0.04785
2020-07-08,Chesterfield,630,57,727,59,0.09048,0.08116,0.09048
2020-07-08,Chesapeake,555,74,622,78,0.13333,0.1254,0.13333
2020-07-08,Central Virginia,232,14,263,15,0.06034,0.05703,0.06034
2020-07-08,Central Shenandoah,889,24,923,25,0.027,0.02709,0.027
2020-07-08,Arlington,335,19,450,21,0.05672,0.04667,0.05672
2020-07-08,Alleghany,338,16,381,18,0.04734,0.04724,0.04734
2020-07-08,Alexandria,212,15,272,20,0.07075,0.07353,0.0796
2020-07-08,West Piedmont,137,16,148,16,0.11679,0.10811,0.11679
2020-07-08,Lord Fairfax,490,42,527,43,0.08571,0.08159,0.08571
2020-07-08,Loudoun,640,34,782,39,0.05312,0.04987,0.05312
2020-07-08,Crater,208,23,227,23,0.11058,0.10132,0.11058
2020-07-08,New River,374,12,385,12,0.03209,0.03117,0.03209
2020-07-08,Western Tidewater,495,36,514,36,0.07273,0.07004,0.07273
2020-07-08,Mount Rogers,227,19,242,21,0.0837,0.08678,0.0837
2020-07-08,Virginia Beach,932,82,1025,85,0.08798,0.08293,0.08798
2020-07-08,Three Rivers,351,35,381,35,0.09972,0.09186,0.09972
2020-07-08,Thomas Jefferson,599,42,693,45,0.07012,0.06494,0.07012
2020-07-08,Southside,248,7,251,7,0.02823,0.02789,0.02823
2020-07-08,Richmond,438,41,483,43,0.09361,0.08903,0.09361
2020-07-08,Rappahannock Rapidan,202,12,254,22,0.05941,0.08661,0.05941
2020-07-08,Roanoke,842,67,903,68,0.07957,0.0753,0.07957
2020-07-08,Prince William,1011,72,1147,79,0.07122,0.06888,0.07122
2020-07-08,Portsmouth,256,21,265,21,0.08203,0.07925,0.08203
2020-07-08,Pittsylvania-Danville,912,15,920,16,0.01645,0.01739,0.01645
2020-07-08,Piedmont,195,11,204,12,0.05641,0.05882,0.05641
2020-07-08,Peninsula,709,43,788,45,0.06065,0.05711,0.06065
2020-07-08,Norfolk,603,82,621,82,0.13599,0.13205,0.13599
2020-07-08,Rappahannock,353,22,445,26,0.06232,0.05843,0.06232
2020-07-09,Henrico,717,38,779,40,0.053,0.05135,0.08321
2020-07-09,Crater,321,29,339,30,0.09034,0.0885,0.10046
2020-07-09,Hampton,198,18,221,18,0.09091,0.08145,0.08674
2020-07-09,Fairfax,1220,78,1607,101,0.06393,0.06285,0.05593
2020-07-09,Eastern Shore,47,1,47,1,0.02128,0.02128,0.02513
2020-07-09,Cumberland Plateau,152,4,155,4,0.02632,0.02581,0.05803
2020-07-09,Chickahominy,168,10,196,10,0.05952,0.05102,0.05368
2020-07-09,Alexandria,232,17,291,18,0.07328,0.06186,0.0775
2020-07-09,Chesapeake,376,45,426,48,0.11968,0.11268,0.12651
2020-07-09,Central Virginia,727,20,743,20,0.02751,0.02692,0.04392
2020-07-09,Central Shenandoah,634,20,659,23,0.03155,0.0349,0.02928
2020-07-09,Arlington,326,14,411,19,0.04294,0.04623,0.04983
2020-07-09,Alleghany,361,25,380,25,0.06925,0.06579,0.05829
2020-07-09,West Piedmont,123,13,128,13,0.10569,0.10156,0.11124
2020-07-09,Lenowisco,48,2,52,2,0.04167,0.03846,0.0375
2020-07-09,Chesterfield,623,38,710,40,0.061,0.05634,0.07574
2020-07-09,Lord Fairfax,418,33,446,33,0.07895,0.07399,0.08233
2020-07-09,Rappahannock,744,24,806,26,0.03226,0.03226,0.04729
2020-07-09,Mount Rogers,228,6,243,7,0.02632,0.02881,0.05501
2020-07-09,Loudoun,474,26,630,33,0.05485,0.05238,0.05399
2020-07-09,Virginia Beach,728,79,792,81,0.10852,0.10227,0.09825
2020-07-09,Three Rivers,162,6,179,7,0.03704,0.03911,0.06838
2020-07-09,Thomas Jefferson,376,29,429,30,0.07713,0.06993,0.07362
2020-07-09,Southside,83,6,100,6,0.07229,0.06,0.05026
2020-07-09,Roanoke,707,63,726,63,0.08911,0.08678,0.08434
2020-07-09,Richmond,532,18,573,21,0.03383,0.03665,0.06372
2020-07-09,Rappahannock Rapidan,139,13,178,19,0.09353,0.10674,0.07647
2020-07-09,Western Tidewater,163,11,180,11,0.06748,0.06111,0.07011
2020-07-09,Prince William,614,51,726,57,0.08306,0.07851,0.07714
2020-07-09,Portsmouth,379,38,386,38,0.10026,0.09845,0.09115
2020-07-09,Pittsylvania-Danville,91,11,95,11,0.12088,0.11579,0.06867
2020-07-09,Piedmont,167,9,170,9,0.05389,0.05294,0.05515
2020-07-09,Peninsula,559,26,636,26,0.04651,0.04088,0.05358
2020-07-09,Norfolk,712,139,731,140,0.19522,0.19152,0.16561
2020-07-09,New River,136,1,149,2,0.00735,0.01342,0.01972
2020-08-01,Piedmont,125,5,131,5,0.04,0.03817,0.0501
2020-08-01,Pittsylvania-Danville,161,19,167,20,0.11801,0.11976,0.08511
2020-08-01,Portsmouth,357,49,366,51,0.13725,0.13934,0.10651
2020-08-01,Prince William,757,70,816,83,0.09247,0.10172,0.08225
2020-08-01,Rappahannock,458,25,488,29,0.05459,0.05943,0.04972
2020-08-01,Rappahannock Rapidan,185,12,204,21,0.06486,0.10294,0.0726
2020-08-01,Richmond,421,20,434,21,0.04751,0.04839,0.05832
2020-08-01,Thomas Jefferson,580,20,589,20,0.03448,0.03396,0.06058
2020-08-01,Southside,128,7,132,7,0.05469,0.05303,0.05174
2020-08-01,Peninsula,794,50,811,50,0.06297,0.06165,0.05671
2020-08-01,Three Rivers,154,7,163,8,0.04545,0.04908,0.06074
2020-08-01,Virginia Beach,927,93,959,95,0.10032,0.09906,0.09894
2020-08-01,Western Tidewater,282,30,287,31,0.10638,0.10801,0.0822
2020-08-01,West Piedmont,96,20,99,21,0.20833,0.21212,0.1436
2020-08-01,Roanoke,215,14,215,14,0.06512,0.06512,0.07793
2020-08-01,Norfolk,524,47,529,47,0.08969,0.08885,0.1403
2020-08-01,Alexandria,268,11,294,13,0.04104,0.04422,0.06838
2020-08-01,Mount Rogers,291,18,297,20,0.06186,0.06734,0.05729
2020-08-01,New River,125,5,132,5,0.04,0.03788,0.02648
2020-08-01,Arlington,439,17,474,21,0.03872,0.0443,0.04613
2020-08-01,Central Shenandoah,338,10,345,11,0.02959,0.03188,0.02938
2020-08-01,Central Virginia,571,26,579,26,0.04553,0.04491,0.04446
2020-08-01,Chesapeake,544,66,558,67,0.12132,0.12007,0.12478
2020-08-01,Chesterfield,584,48,632,56,0.08219,0.08861,0.07789
2020-08-01,Chickahominy,190,5,203,5,0.02632,0.02463,0.04456
2020-08-01,Crater,301,26,309,29,0.08638,0.09385,0.09577
2020-08-01,Alleghany,119,1,131,2,0.0084,0.01527,0.04166
2020-08-01,Eastern Shore,192,4,194,4,0.02083,0.02062,0.0237
2020-08-01,Fairfax,1773,89,1950,107,0.0502,0.05487,0.05402
2020-08-01,Hampton,219,19,224,21,0.08676,0.09375,0.08675
2020-08-01,Henrico,791,46,823,51,0.05815,0.06197,0.07485
2020-08-01,Lenowisco,111,14,114,14,0.12613,0.12281,0.06704
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.06825
2020-08-01,Cumberland Plateau,87,6,89,6,0.06897,0.06742,0.06168
2020-08-01,Loudoun,534,27,596,36,0.05056,0.0604,0.05284
2020-08-02,Lord Fairfax,367,7,373,7,0.01907,0.01877,0.05596
2020-08-02,Lenowisco,130,13,134,15,0.1,0.11194,0.07528
2020-08-02,Henrico,365,32,382,34,0.08767,0.08901,0.07806
2020-08-02,Hampton,227,19,228,19,0.0837,0.08333,0.08599
2020-08-02,Fairfax,1569,83,1699,98,0.0529,0.05768,0.05374
2020-08-02,Eastern Shore,88,4,89,4,0.04545,0.04494,0.02914
2020-08-02,Chesterfield,316,35,352,37,0.11076,0.10511,0.08611
2020-08-02,Crater,185,8,196,11,0.04324,0.05612,0.08264
2020-08-02,Chickahominy,125,8,128,9,0.064,0.07031,0.04942
2020-08-02,Chesapeake,408,54,420,55,0.13235,0.13095,0.12667
2020-08-02,Central Virginia,602,57,615,57,0.09468,0.09268,0.05701
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03105
2020-08-02,Arlington,515,22,540,23,0.04272,0.04259,0.04528
2020-08-02,Loudoun,405,29,443,34,0.0716,0.07675,0.05753
2020-08-02,Cumberland Plateau,72,3,72,3,0.04167,0.04167,0.05668
2020-08-02,Mount Rogers,201,19,205,19,0.09453,0.09268,0.0666
2020-08-02,Rappahannock Rapidan,205,9,214,12,0.0439,0.05607,0.06542
2020-08-02,Norfolk,602,68,609,68,0.11296,0.11166,0.13347
2020-08-02,West Piedmont,155,18,161,19,0.11613,0.11801,0.13673
2020-08-02,Western Tidewater,350,56,357,57,0.16,0.15966,0.10165
2020-08-02,Virginia Beach,1089,82,1112,84,0.0753,0.07554,0.09303
2020-08-02,Three Rivers,190,12,194,12,0.06316,0.06186,0.06134
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.06229
2020-08-02,Southside,75,6,75,6,0.08,0.08,0.0588
2020-08-02,New River,100,6,109,7,0.06,0.06422,0.03486
2020-08-02,Roanoke,331,15,354,17,0.04532,0.04802,0.06978
2020-08-02,Rappahannock,436,31,457,32,0.0711,0.07002,0.05507
2020-08-02,Prince William,797,72,827,75,0.09034,0.09069,0.08427
2020-08-02,Portsmouth,362,45,363,45,0.12431,0.12397,0.11096
2020-08-02,Pittsylvania-Danville,210,14,213,14,0.06667,0.06573,0.0805
