lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,190,41,226,47
Not Reported,Alleghany,11,4,11,4
Not Reported,Arlington,725,81,804,106
Not Reported,Central Shenandoah,214,43,221,45
Not Reported,Central Virginia,164,11,176,12
Not Reported,Chesapeake,214,27,215,27
Not Reported,Chesterfield,594,242,647,260
Not Reported,Chickahominy,139,79,147,84
Not Reported,Crater,294,99,305,106
Not Reported,Cumberland Plateau,37,37,58,58
Not Reported,Eastern Shore,270,2,270,2
Not Reported,Fairfax,1507,411,1848,499
Not Reported,Hampton,166,30,167,31
Not Reported,Henrico,696,335,738,351
Not Reported,Lenowisco,12,8,29,25
Not Reported,Lord Fairfax,95,21,137,25
Not Reported,Loudoun,1041,139,1329,209
Not Reported,Mount Rogers,25,19,36,29
Not Reported,New River,20,12,22,13
Not Reported,Norfolk,140,14,143,14
Not Reported,Out of State,42,32,67,56
Not Reported,Peninsula,472,88,476,89
Not Reported,Piedmont,95,34,102,36
Not Reported,Pittsylvania-Danville,30,13,31,13
Not Reported,Portsmouth,61,14,61,14
Not Reported,Prince William,1304,314,1448,400
Not Reported,Rappahannock,534,178,568,203
Not Reported,Rappahannock Rapidan,162,48,219,64
Not Reported,Richmond,380,197,451,209
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,55,22,57,23
Not Reported,Thomas Jefferson,140,23,162,26
Not Reported,Three Rivers,141,52,157,56
Not Reported,Unknown,381,120,392,127
Not Reported,Virginia Beach,527,29,539,31
Not Reported,Western Tidewater,164,51,164,51
Not Reported,West Piedmont,120,89,123,89
9/9/2020,Alexandria,167,11,175,12
9/9/2020,Alleghany,238,13,254,13
9/9/2020,Arlington,242,8,248,9
9/9/2020,Central Shenandoah,416,60,423,62
9/9/2020,Central Virginia,907,62,909,63
9/9/2020,Chesapeake,645,21,652,21
9/9/2020,Chesterfield,716,43,751,44
9/9/2020,Chickahominy,259,27,264,27
9/9/2020,Crater,194,15,195,15
9/9/2020,Cumberland Plateau,62,5,62,5
9/9/2020,Eastern Shore,67,0,67,0
9/9/2020,Fairfax,1221,73,1314,87
9/9/2020,Hampton,150,12,150,12
9/9/2020,Henrico,542,46,598,50
9/9/2020,Lenowisco,68,10,74,14
9/9/2020,Lord Fairfax,374,11,381,11
9/9/2020,Loudoun,436,37,475,43
9/9/2020,Mount Rogers,217,19,242,42
9/9/2020,New River,713,74,740,75
9/9/2020,Norfolk,537,39,539,39
9/9/2020,Out of State,686,22,701,23
9/9/2020,Peninsula,386,29,392,29
9/9/2020,Piedmont,169,27,176,27
9/9/2020,Pittsylvania-Danville,217,8,217,8
9/9/2020,Portsmouth,115,11,116,11
9/9/2020,Prince William,590,50,621,57
9/9/2020,Rappahannock,310,29,316,31
9/9/2020,Rappahannock Rapidan,235,13,245,21
9/9/2020,Richmond,651,21,679,23
