lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,171,36,205,42
Not Reported,Alleghany,8,3,8,3
Not Reported,Arlington,659,73,732,93
Not Reported,Central Shenandoah,198,35,205,36
Not Reported,Central Virginia,158,8,165,9
Not Reported,Chesapeake,182,20,183,20
Not Reported,Chesterfield,554,234,595,251
Not Reported,Chickahominy,127,78,130,80
Not Reported,Crater,264,91,274,98
Not Reported,Cumberland Plateau,15,15,34,34
Not Reported,Eastern Shore,266,2,266,2
Not Reported,Fairfax,1381,377,1700,450
Not Reported,Hampton,139,15,140,16
Not Reported,Henrico,597,328,619,341
Not Reported,Lenowisco,10,7,25,22
Not Reported,Lord Fairfax,91,21,131,25
Not Reported,Loudoun,997,129,1267,185
Not Reported,Mount Rogers,22,17,29,23
Not Reported,New River,11,5,12,5
Not Reported,Norfolk,120,9,123,9
Not Reported,Out of State,26,16,46,35
Not Reported,Peninsula,416,72,419,72
Not Reported,Piedmont,88,34,94,36
Not Reported,Pittsylvania-Danville,26,9,26,9
Not Reported,Portsmouth,50,8,50,8
Not Reported,Prince William,1165,274,1285,341
Not Reported,Rappahannock,486,160,518,184
Not Reported,Rappahannock Rapidan,154,41,206,55
Not Reported,Richmond,355,192,369,202
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,53,21,54,21
Not Reported,Thomas Jefferson,120,21,140,24
Not Reported,Three Rivers,127,53,142,57
Not Reported,Unknown,367,114,376,120
Not Reported,Virginia Beach,452,23,464,25
Not Reported,Western Tidewater,130,27,130,27
Not Reported,West Piedmont,78,65,81,65
9/1/2020,Alexandria,102,5,107,5
9/1/2020,Alleghany,62,3,69,3
9/1/2020,Arlington,175,6,175,6
9/1/2020,Central Shenandoah,142,19,144,19
9/1/2020,Central Virginia,197,23,198,23
9/1/2020,Chesapeake,164,11,168,13
9/1/2020,Chesterfield,220,7,234,8
9/1/2020,Chickahominy,83,5,89,5
9/1/2020,Crater,101,14,106,14
9/1/2020,Cumberland Plateau,43,0,43,0
9/1/2020,Eastern Shore,10,0,10,0
9/1/2020,Fairfax,533,30,559,32
9/1/2020,Hampton,73,3,73,3
9/1/2020,Henrico,1063,39,1088,40
9/1/2020,Lenowisco,32,7,35,8
9/1/2020,Lord Fairfax,139,3,141,3
9/1/2020,Loudoun,178,8,182,8
9/1/2020,Mount Rogers,102,11,103,11
9/1/2020,New River,119,9,129,9
9/1/2020,Norfolk,247,20,247,20
