lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day
2020-07-08,Alexandria,212,15,272,20,0.07075,0.07353,0.07075
2020-07-09,Lenowisco,48,2,52,2,0.04167,0.03846,0.04167
2020-07-09,Henrico,716,38,778,40,0.05307,0.05141,0.05307
2020-07-09,Hampton,198,18,221,18,0.09091,0.08145,0.09091
2020-07-09,Fairfax,1220,78,1607,101,0.06393,0.06285,0.06393
2020-07-09,Eastern Shore,48,1,48,1,0.02083,0.02083,0.02083
2020-07-09,Crater,321,29,339,30,0.09034,0.0885,0.09034
2020-07-09,Chickahominy,168,10,196,10,0.05952,0.05102,0.05952
2020-07-09,Chesterfield,623,38,710,40,0.061,0.05634,0.061
2020-07-09,Chesapeake,374,45,424,48,0.12032,0.11321,0.12032
2020-07-09,Central Virginia,727,20,743,20,0.02751,0.02692,0.02751
2020-07-09,Central Shenandoah,633,20,658,23,0.0316,0.03495,0.0316
2020-07-09,Arlington,326,14,411,19,0.04294,0.04623,0.04294
2020-07-09,Alleghany,361,25,380,25,0.06925,0.06579,0.06925
2020-07-09,Alexandria,232,17,291,18,0.07328,0.06186,0.07201
2020-07-09,West Piedmont,123,13,128,13,0.10569,0.10156,0.10569
2020-07-09,Lord Fairfax,418,33,446,33,0.07895,0.07399,0.07895
2020-07-09,Loudoun,474,26,630,33,0.05485,0.05238,0.05485
2020-07-09,Cumberland Plateau,152,4,155,4,0.02632,0.02581,0.02632
2020-07-09,New River,136,1,149,2,0.00735,0.01342,0.00735
2020-07-09,Mount Rogers,228,6,243,7,0.02632,0.02881,0.02632
2020-07-09,Virginia Beach,727,79,791,81,0.10867,0.1024,0.10867
2020-07-09,Three Rivers,162,6,179,7,0.03704,0.03911,0.03704
2020-07-09,Thomas Jefferson,377,29,430,30,0.07692,0.06977,0.07692
2020-07-09,Southside,83,6,100,6,0.07229,0.06,0.07229
2020-07-09,Roanoke,708,63,727,63,0.08898,0.08666,0.08898
2020-07-09,Richmond,532,18,573,21,0.03383,0.03665,0.03383
2020-07-09,Rappahannock Rapidan,139,13,178,19,0.09353,0.10674,0.09353
2020-07-09,Western Tidewater,164,11,181,11,0.06707,0.06077,0.06707
2020-07-09,Prince William,614,51,726,57,0.08306,0.07851,0.08306
2020-07-09,Portsmouth,379,38,386,38,0.10026,0.09845,0.10026
2020-07-09,Pittsylvania-Danville,91,11,95,11,0.12088,0.11579,0.12088
2020-07-09,Piedmont,167,9,170,9,0.05389,0.05294,0.05389
2020-07-09,Peninsula,561,26,638,26,0.04635,0.04075,0.04635
2020-07-09,Norfolk,712,139,731,140,0.19522,0.19152,0.19522
2020-07-09,Rappahannock,743,24,805,26,0.0323,0.0323,0.0323
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.05953
2020-08-01,Lenowisco,111,14,114,14,0.12613,0.12281,0.0839
2020-08-01,Henrico,791,46,823,51,0.05815,0.06197,0.05561
2020-08-01,Hampton,219,19,224,21,0.08676,0.09375,0.08883
2020-08-01,Fairfax,1773,89,1950,107,0.0502,0.05487,0.05707
2020-08-01,Eastern Shore,201,4,203,4,0.0199,0.0197,0.02037
2020-08-01,Cumberland Plateau,87,6,89,6,0.06897,0.06742,0.04764
2020-08-01,Chesterfield,584,48,632,56,0.08219,0.08861,0.07159
2020-08-01,Chickahominy,190,5,203,5,0.02632,0.02463,0.04292
2020-08-01,Chesapeake,544,66,558,67,0.12132,0.12007,0.12082
2020-08-01,Central Virginia,571,26,579,26,0.04553,0.04491,0.03652
2020-08-01,Central Shenandoah,338,10,345,11,0.02959,0.03188,0.0306
2020-08-01,Arlington,440,18,475,22,0.04091,0.04632,0.04193
2020-08-01,Loudoun,534,27,596,36,0.05056,0.0604,0.05271
2020-08-01,Crater,301,26,309,29,0.08638,0.09385,0.08836
2020-08-01,West Piedmont,97,21,100,22,0.21649,0.22,0.16109
2020-08-01,Western Tidewater,282,30,287,31,0.10638,0.10801,0.08672
2020-08-01,New River,125,5,132,5,0.04,0.03788,0.02368
2020-08-01,Alexandria,268,11,294,13,0.04104,0.04422,0.06169
2020-08-01,Virginia Beach,927,93,959,95,0.10032,0.09906,0.1045
2020-08-01,Three Rivers,154,7,163,8,0.04545,0.04908,0.04124
2020-08-01,Thomas Jefferson,580,20,589,20,0.03448,0.03396,0.0557
2020-08-01,Southside,128,7,132,7,0.05469,0.05303,0.06349
2020-08-01,Roanoke,215,14,215,14,0.06512,0.06512,0.07705
2020-08-01,Richmond,421,20,434,21,0.04751,0.04839,0.04067
2020-08-01,Rappahannock Rapidan,185,12,204,21,0.06486,0.10294,0.0792
2020-08-01,Rappahannock,458,25,488,29,0.05459,0.05943,0.04344
2020-08-01,Prince William,758,70,817,83,0.09235,0.10159,0.08771
2020-08-01,Portsmouth,357,49,366,51,0.13725,0.13934,0.11875
2020-08-01,Pittsylvania-Danville,161,19,167,20,0.11801,0.11976,0.11944
