lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,178,39,212,45
Not Reported,Alleghany,9,3,9,3
Not Reported,Arlington,662,74,735,94
Not Reported,Central Shenandoah,200,37,207,38
Not Reported,Central Virginia,160,9,167,10
Not Reported,Chesapeake,193,20,194,20
Not Reported,Chesterfield,561,236,605,253
Not Reported,Chickahominy,129,80,133,83
Not Reported,Crater,281,91,291,98
Not Reported,Cumberland Plateau,16,16,35,35
Not Reported,Eastern Shore,269,2,269,2
Not Reported,Fairfax,1438,386,1760,462
Not Reported,Hampton,148,15,149,16
Not Reported,Henrico,602,330,632,346
Not Reported,Lenowisco,10,7,26,23
Not Reported,Lord Fairfax,93,21,133,25
Not Reported,Loudoun,1027,134,1299,192
Not Reported,Mount Rogers,24,19,33,27
Not Reported,New River,11,5,12,5
Not Reported,Norfolk,127,9,130,9
Not Reported,Out of State,27,17,47,36
Not Reported,Peninsula,441,72,445,73
Not Reported,Piedmont,89,34,95,36
Not Reported,Pittsylvania-Danville,26,9,26,9
Not Reported,Portsmouth,53,8,53,8
Not Reported,Prince William,1193,286,1314,354
Not Reported,Rappahannock,492,161,525,186
Not Reported,Rappahannock Rapidan,154,41,206,55
Not Reported,Richmond,359,193,384,204
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,53,21,54,21
Not Reported,Thomas Jefferson,120,21,140,24
Not Reported,Three Rivers,128,52,144,56
Not Reported,Unknown,367,112,377,119
Not Reported,Virginia Beach,488,23,500,25
Not Reported,Western Tidewater,133,27,133,27
Not Reported,West Piedmont,97,84,100,84
9/6/2020,Alexandria,82,8,92,8
9/6/2020,Alleghany,51,3,60,3
9/6/2020,Arlington,184,8,194,8
9/6/2020,Central Shenandoah,295,40,297,40
9/6/2020,Central Virginia,386,6,389,6
9/6/2020,Chesapeake,190,13,190,13
9/6/2020,Chesterfield,243,17,268,19
9/6/2020,Chickahominy,105,7,112,7
9/6/2020,Crater,133,12,137,12
9/6/2020,Cumberland Plateau,5,0,8,0
9/6/2020,Eastern Shore,31,0,32,0
9/6/2020,Fairfax,565,40,631,45
9/6/2020,Hampton,71,3,73,4
9/6/2020,Henrico,247,17,270,19
9/6/2020,Lenowisco,20,0,21,0
9/6/2020,Lord Fairfax,134,6,137,6
9/6/2020,Loudoun,208,16,229,18
9/6/2020,Mount Rogers,65,7,68,8
9/6/2020,New River,36,0,40,0
9/6/2020,Norfolk,260,8,261,8
9/6/2020,Out of State,210,15,214,15
9/6/2020,Peninsula,228,9,230,9
9/6/2020,Piedmont,118,16,119,16
9/6/2020,Pittsylvania-Danville,218,12,220,12
9/6/2020,Portsmouth,114,13,114,13
9/6/2020,Prince William,211,17,231,18
9/6/2020,Rappahannock,176,19,183,20
9/6/2020,Rappahannock Rapidan,181,4,183,4
9/6/2020,Richmond,186,10,201,11
9/6/2020,Roanoke,34,2,40,2
9/6/2020,Southside,52,8,53,8
9/6/2020,Thomas Jefferson,285,12,294,13
9/6/2020,Three Rivers,103,2,106,2
9/6/2020,Unknown,25,2,25,2
9/6/2020,Virginia Beach,526,18,540,18
9/6/2020,Western Tidewater,206,18,209,18
9/6/2020,West Piedmont,87,3,89,3
9/5/2020,Alexandria,235,14,257,14
9/5/2020,Alleghany,223,27,239,27
9/5/2020,Arlington,365,11,397,17
9/5/2020,Central Shenandoah,277,52,282,52
9/5/2020,Central Virginia,585,46,596,49
9/5/2020,Chesapeake,311,21,319,21
9/5/2020,Chesterfield,393,28,441,31
9/5/2020,Chickahominy,139,10,153,13
9/5/2020,Crater,165,13,172,14
9/5/2020,Cumberland Plateau,103,2,110,3
9/5/2020,Eastern Shore,43,0,44,0
9/5/2020,Fairfax,1439,88,1618,95
9/5/2020,Hampton,135,2,136,2
9/5/2020,Henrico,475,26,504,29
9/5/2020,Lenowisco,101,6,103,6
9/5/2020,Lord Fairfax,289,19,293,19
9/5/2020,Loudoun,560,33,602,37
9/5/2020,Mount Rogers,165,31,171,32
9/5/2020,New River,254,32,269,33
9/5/2020,Norfolk,309,31,316,32
9/5/2020,Out of State,199,13,225,16
9/5/2020,Peninsula,524,31,534,32
9/5/2020,Piedmont,122,8,126,9
9/5/2020,Pittsylvania-Danville,189,14,189,14
9/5/2020,Portsmouth,125,13,128,13
9/5/2020,Prince William,524,50,569,53
9/5/2020,Rappahannock,275,20,299,23
9/5/2020,Rappahannock Rapidan,150,6,161,10
9/5/2020,Richmond,262,18,283,19
9/5/2020,Roanoke,802,47,811,47
9/5/2020,Southside,134,6,135,6
9/5/2020,Thomas Jefferson,305,12,324,12
9/5/2020,Three Rivers,264,14,273,16
9/5/2020,Unknown,22,0,22,0
9/5/2020,Virginia Beach,519,17,537,17
9/5/2020,Western Tidewater,278,24,281,26
9/5/2020,West Piedmont,155,9,158,9
9/4/2020,Alexandria,318,22,338,23
9/4/2020,Alleghany,94,7,116,8
9/4/2020,Arlington,422,10,459,11
9/4/2020,Central Shenandoah,442,90,449,91
9/4/2020,Central Virginia,344,16,351,17
9/4/2020,Chesapeake,401,21,408,23
9/4/2020,Chesterfield,384,22,436,27
9/4/2020,Chickahominy,163,9,169,10
9/4/2020,Crater,216,24,231,25
9/4/2020,Cumberland Plateau,51,5,56,7
9/4/2020,Eastern Shore,69,1,69,1
9/4/2020,Fairfax,1499,70,1709,80
9/4/2020,Hampton,159,9,163,9
9/4/2020,Henrico,579,26,621,30
9/4/2020,Lenowisco,92,11,96,14
9/4/2020,Lord Fairfax,536,15,545,16
9/4/2020,Loudoun,439,43,485,47
9/4/2020,Mount Rogers,197,16,209,17
9/4/2020,New River,158,21,173,21
9/4/2020,Norfolk,396,27,399,27
9/4/2020,Out of State,241,15,248,15
9/4/2020,Peninsula,419,23,429,23
9/4/2020,Piedmont,61,1,69,2
9/4/2020,Pittsylvania-Danville,164,23,167,25
9/4/2020,Portsmouth,160,14,163,14
9/4/2020,Prince William,695,58,734,62
9/4/2020,Rappahannock,366,30,387,33
9/4/2020,Rappahannock Rapidan,309,12,323,19
9/4/2020,Richmond,291,22,325,27
9/4/2020,Roanoke,521,46,532,46
9/4/2020,Southside,95,19,98,19
9/4/2020,Thomas Jefferson,776,45,798,47
9/4/2020,Three Rivers,269,12,271,12
9/4/2020,Unknown,19,2,19,2
9/4/2020,Virginia Beach,570,34,586,36
9/4/2020,Western Tidewater,275,29,278,29
9/4/2020,West Piedmont,89,10,93,10
9/3/2020,Alexandria,372,16,401,19
