lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,192,41,228,47
Not Reported,Alleghany,11,4,12,4
Not Reported,Arlington,731,81,818,106
Not Reported,Central Shenandoah,215,44,224,46
Not Reported,Central Virginia,164,11,180,12
Not Reported,Chesapeake,217,29,219,29
Not Reported,Chesterfield,616,243,713,262
Not Reported,Chickahominy,146,80,165,86
Not Reported,Crater,312,102,338,109
Not Reported,Cumberland Plateau,63,63,91,91
Not Reported,Eastern Shore,272,2,273,2
Not Reported,Fairfax,1531,416,1896,505
Not Reported,Hampton,167,30,169,32
Not Reported,Henrico,731,335,887,355
Not Reported,Lenowisco,12,8,29,25
Not Reported,Lord Fairfax,97,23,139,27
Not Reported,Loudoun,1046,139,1336,210
Not Reported,Mount Rogers,27,19,39,30
Not Reported,New River,19,12,21,13
Not Reported,Norfolk,140,14,144,14
Not Reported,Out of State,44,33,74,57
Not Reported,Peninsula,478,91,486,94
Not Reported,Piedmont,97,34,105,36
Not Reported,Pittsylvania-Danville,31,14,32,14
Not Reported,Portsmouth,61,14,61,14
Not Reported,Prince William,1369,323,1523,409
Not Reported,Rappahannock,559,184,597,209
Not Reported,Rappahannock Rapidan,162,48,225,66
Not Reported,Richmond,395,200,498,214
Not Reported,Roanoke,6,5,8,5
Not Reported,Southside,56,22,58,23
Not Reported,Thomas Jefferson,144,23,189,26
Not Reported,Three Rivers,157,53,182,57
Not Reported,Unknown,380,119,393,126
Not Reported,Virginia Beach,535,30,552,32
Not Reported,Western Tidewater,165,51,165,51
Not Reported,West Piedmont,123,92,134,92
2020-09-21,Alexandria,117,4,117,4
2020-09-21,Alleghany,70,7,86,7
2020-09-21,Arlington,203,5,205,6
2020-09-21,Central Shenandoah,167,14,169,14
2020-09-21,Central Virginia,255,15,256,15
2020-09-21,Chesapeake,261,18,262,18
2020-09-21,Chesterfield,297,10,323,10
2020-09-21,Chickahominy,149,6,158,6
2020-09-21,Crater,103,9,108,9
2020-09-21,Cumberland Plateau,24,1,25,2
2020-09-21,Eastern Shore,16,0,16,0
2020-09-21,Fairfax,685,32,713,32
2020-09-21,Hampton,73,3,73,3
2020-09-21,Henrico,517,13,548,13
2020-09-21,Lenowisco,14,0,15,0
2020-09-21,Lord Fairfax,156,2,160,2
2020-09-21,Loudoun,258,9,274,10
2020-09-21,Mount Rogers,96,4,98,4
2020-09-21,New River,70,9,82,9
2020-09-21,Norfolk,238,12,239,12
2020-09-21,Out of State,210,4,219,4
2020-09-21,Peninsula,231,14,231,14
2020-09-21,Piedmont,58,2,58,2
2020-09-21,Pittsylvania-Danville,209,12,210,12
2020-09-21,Portsmouth,87,4,87,4
2020-09-21,Prince William,407,27,412,27
2020-09-21,Rappahannock,210,12,213,12
2020-09-21,Rappahannock Rapidan,105,1,107,1
2020-09-21,Richmond,167,10,176,10
2020-09-21,Roanoke,40,8,45,8
2020-09-21,Southside,89,3,90,3
2020-09-21,Thomas Jefferson,274,13,277,13
2020-09-21,Three Rivers,110,8,111,8
2020-09-21,Unknown,11,1,11,1
2020-09-21,Virginia Beach,515,28,516,28
2020-09-21,Western Tidewater,177,9,177,9
2020-09-21,West Piedmont,72,6,73,6
2020-09-20,Alexandria,246,19,254,20
2020-09-20,Alleghany,336,13,347,13
2020-09-20,Arlington,354,15,374,17
2020-09-20,Central Shenandoah,454,21,458,22
2020-09-20,Central Virginia,578,28,582,28
2020-09-20,Chesapeake,214,8,220,9
2020-09-20,Chesterfield,555,33,586,37
2020-09-20,Chickahominy,180,10,187,11
2020-09-20,Crater,338,22,342,22
2020-09-20,Cumberland Plateau,115,6,119,6
2020-09-20,Eastern Shore,62,0,62,0
2020-09-20,Fairfax,1265,54,1367,63
2020-09-20,Hampton,88,0,89,0
2020-09-20,Henrico,1384,24,1408,26
2020-09-20,Lenowisco,78,7,80,7
2020-09-20,Lord Fairfax,365,13,368,13
2020-09-20,Loudoun,420,13,453,18
2020-09-20,Mount Rogers,245,6,251,7
2020-09-20,New River,170,4,183,4
2020-09-20,Norfolk,355,17,358,17
2020-09-20,Out of State,243,9,248,9
2020-09-20,Peninsula,327,13,337,16
2020-09-20,Piedmont,104,5,108,6
2020-09-20,Pittsylvania-Danville,199,7,199,7
2020-09-20,Portsmouth,132,5,134,5
2020-09-20,Prince William,591,32,605,33
2020-09-20,Rappahannock,326,21,338,22
2020-09-20,Rappahannock Rapidan,293,1,298,1
2020-09-20,Richmond,325,12,347,13
2020-09-20,Roanoke,1173,44,1187,44
2020-09-20,Southside,161,4,162,4
2020-09-20,Thomas Jefferson,434,13,441,14
2020-09-20,Three Rivers,225,21,228,21
2020-09-20,Unknown,27,0,27,0
2020-09-20,Virginia Beach,399,18,411,19
2020-09-20,Western Tidewater,591,134,591,134
2020-09-20,West Piedmont,139,11,139,11
2020-09-19,Alexandria,219,13,241,14
2020-09-19,Alleghany,95,9,107,9
2020-09-19,Arlington,429,11,453,12
2020-09-19,Central Shenandoah,324,42,335,45
2020-09-19,Central Virginia,657,24,659,24
2020-09-19,Chesapeake,276,20,285,21
2020-09-19,Chesterfield,512,26,546,30
2020-09-19,Chickahominy,193,14,201,14
2020-09-19,Crater,300,19,305,19
2020-09-19,Cumberland Plateau,57,5,59,6
2020-09-19,Eastern Shore,53,1,53,1
2020-09-19,Fairfax,1460,88,1577,99
2020-09-19,Hampton,153,5,154,6
2020-09-19,Henrico,589,25,615,28
2020-09-19,Lenowisco,129,1,130,1
2020-09-19,Lord Fairfax,591,11,594,12
2020-09-19,Loudoun,496,28,529,34
2020-09-19,Mount Rogers,284,17,290,17
2020-09-19,New River,196,6,214,7
2020-09-19,Norfolk,490,9,497,11
2020-09-19,Out of State,440,22,444,22
2020-09-19,Peninsula,541,11,550,13
2020-09-19,Piedmont,165,6,167,6
2020-09-19,Pittsylvania-Danville,298,17,298,17
2020-09-19,Portsmouth,170,5,171,5
2020-09-19,Prince William,732,40,756,43
2020-09-19,Rappahannock,414,20,434,26
2020-09-19,Rappahannock Rapidan,171,6,174,8
2020-09-19,Richmond,320,10,344,10
2020-09-19,Roanoke,938,35,948,35
2020-09-19,Southside,152,10,156,10
2020-09-19,Thomas Jefferson,681,17,684,17
2020-09-19,Three Rivers,196,12,204,13
2020-09-19,Unknown,62,3,62,3
2020-09-19,Virginia Beach,716,10,728,11
2020-09-19,Western Tidewater,384,86,386,86
2020-09-19,West Piedmont,167,1,167,1
2020-09-18,Alexandria,396,12,418,13
2020-09-18,Alleghany,233,32,248,33
2020-09-18,Arlington,483,11,515,12
2020-09-18,Central Shenandoah,566,44,578,46
2020-09-18,Central Virginia,715,41,722,42
2020-09-18,Chesapeake,501,25,508,25
2020-09-18,Chesterfield,995,38,1042,39
2020-09-18,Chickahominy,284,9,297,11
2020-09-18,Crater,395,55,402,55
2020-09-18,Cumberland Plateau,57,2,61,4
2020-09-18,Eastern Shore,74,0,76,0
2020-09-18,Fairfax,1775,71,1905,76
2020-09-18,Hampton,235,6,236,6
2020-09-18,Henrico,1577,43,1619,52
2020-09-18,Lenowisco,73,3,78,5
2020-09-18,Lord Fairfax,708,25,719,25
2020-09-18,Loudoun,546,23,583,27
2020-09-18,Mount Rogers,439,12,454,17
2020-09-18,New River,561,47,581,48
2020-09-18,Norfolk,510,23,515,23
2020-09-18,Out of State,557,32,568,33
2020-09-18,Peninsula,720,22,743,28
2020-09-18,Piedmont,212,9,219,10
2020-09-18,Pittsylvania-Danville,205,10,209,12
2020-09-18,Portsmouth,183,9,187,9
2020-09-18,Prince William,834,60,870,61
2020-09-18,Rappahannock,385,14,403,16
2020-09-18,Rappahannock Rapidan,534,9,549,15
2020-09-18,Richmond,635,15,669,18
2020-09-18,Roanoke,897,47,912,49
2020-09-18,Southside,381,4,382,4
2020-09-18,Thomas Jefferson,800,46,812,48
2020-09-18,Three Rivers,304,18,313,18
2020-09-18,Unknown,35,1,35,1
2020-09-18,Virginia Beach,768,33,788,35
2020-09-18,Western Tidewater,349,52,354,55
2020-09-18,West Piedmont,188,32,193,33
2020-09-17,Alexandria,344,18,353,19
2020-09-17,Alleghany,392,12,413,12
2020-09-17,Arlington,484,14,506,15
2020-09-17,Central Shenandoah,731,38,736,40
2020-09-17,Central Virginia,662,29,664,29
2020-09-17,Chesapeake,484,20,489,20
2020-09-17,Chesterfield,826,36,861,36
2020-09-17,Chickahominy,357,13,369,14
2020-09-17,Crater,524,39,533,39
2020-09-17,Cumberland Plateau,80,7,90,8
2020-09-17,Eastern Shore,67,1,125,1
2020-09-17,Fairfax,1815,93,1969,106
2020-09-17,Hampton,207,8,208,8
2020-09-17,Henrico,1604,53,1646,55
2020-09-17,Lenowisco,161,8,165,9
2020-09-17,Lord Fairfax,684,13,686,13
2020-09-17,Loudoun,515,21,574,26
2020-09-17,Mount Rogers,477,29,488,34
2020-09-17,New River,664,55,679,55
2020-09-17,Norfolk,406,16,410,18
2020-09-17,Out of State,987,41,994,42
2020-09-17,Peninsula,804,21,815,24
2020-09-17,Piedmont,235,12,242,14
2020-09-17,Pittsylvania-Danville,105,9,107,11
2020-09-17,Portsmouth,226,60,227,60
2020-09-17,Prince William,899,63,944,71
2020-09-17,Rappahannock,523,34,541,35
2020-09-17,Rappahannock Rapidan,295,3,307,8
2020-09-17,Richmond,789,25,817,26
2020-09-17,Roanoke,1015,44,1036,48
