lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day
2020-07-09,Alexandria,232,17,291,18,0.07328,0.06186,0.07328
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.0401
2020-08-01,Lenowisco,111,14,114,14,0.12613,0.12281,0.12613
2020-08-01,Henrico,791,46,823,51,0.05815,0.06197,0.05815
2020-08-01,Hampton,219,19,224,21,0.08676,0.09375,0.08676
2020-08-01,Fairfax,1773,89,1950,107,0.0502,0.05487,0.0502
2020-08-01,Eastern Shore,206,4,208,4,0.01942,0.01923,0.01942
2020-08-01,Cumberland Plateau,87,6,89,6,0.06897,0.06742,0.06897
2020-08-01,Crater,300,26,308,29,0.08667,0.09416,0.08667
2020-08-01,Chickahominy,192,5,205,5,0.02604,0.02439,0.02604
2020-08-01,Chesterfield,584,48,632,56,0.08219,0.08861,0.08219
2020-08-01,Chesapeake,544,66,558,67,0.12132,0.12007,0.12132
2020-08-01,Central Virginia,571,26,579,26,0.04553,0.04491,0.04553
2020-08-01,Central Shenandoah,338,10,345,11,0.02959,0.03188,0.02959
2020-08-01,Arlington,440,18,475,22,0.04091,0.04632,0.04091
2020-08-01,Alexandria,268,11,294,13,0.04104,0.04422,0.05716
2020-08-01,Loudoun,535,27,597,36,0.05047,0.0603,0.05047
2020-08-01,Mount Rogers,291,18,297,20,0.06186,0.06734,0.06186
2020-08-01,Alleghany,119,1,131,2,0.0084,0.01527,0.0084
2020-08-01,Norfolk,524,47,529,47,0.08969,0.08885,0.08969
2020-08-01,West Piedmont,97,21,100,22,0.21649,0.22,0.21649
2020-08-01,Western Tidewater,282,30,287,31,0.10638,0.10801,0.10638
2020-08-01,Virginia Beach,927,93,959,95,0.10032,0.09906,0.10032
2020-08-01,Three Rivers,154,7,163,8,0.04545,0.04908,0.04545
2020-08-01,New River,125,5,132,5,0.04,0.03788,0.04
2020-08-01,Southside,128,7,132,7,0.05469,0.05303,0.05469
2020-08-01,Roanoke,215,14,215,14,0.06512,0.06512,0.06512
