lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,174,37,208,43
Not Reported,Alleghany,9,3,9,3
Not Reported,Arlington,661,73,734,93
Not Reported,Central Shenandoah,199,36,206,37
Not Reported,Central Virginia,159,9,166,10
Not Reported,Chesapeake,189,20,190,20
Not Reported,Chesterfield,560,235,601,252
Not Reported,Chickahominy,127,78,130,80
Not Reported,Crater,280,91,290,98
Not Reported,Cumberland Plateau,15,15,34,34
Not Reported,Eastern Shore,269,2,269,2
Not Reported,Fairfax,1426,380,1746,454
Not Reported,Hampton,143,15,144,16
Not Reported,Henrico,599,329,624,345
Not Reported,Lenowisco,10,7,26,23
Not Reported,Lord Fairfax,92,21,132,25
Not Reported,Loudoun,1012,132,1284,190
Not Reported,Mount Rogers,24,19,33,27
Not Reported,New River,11,5,12,5
Not Reported,Norfolk,123,9,126,9
Not Reported,Out of State,27,17,47,36
Not Reported,Peninsula,431,72,435,73
Not Reported,Piedmont,89,34,95,36
Not Reported,Pittsylvania-Danville,26,9,26,9
Not Reported,Portsmouth,52,8,52,8
Not Reported,Prince William,1186,279,1306,346
Not Reported,Rappahannock,490,161,522,185
Not Reported,Rappahannock Rapidan,154,41,206,55
Not Reported,Richmond,360,193,375,204
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,53,21,54,21
Not Reported,Thomas Jefferson,120,21,140,24
Not Reported,Three Rivers,128,52,143,56
Not Reported,Unknown,370,113,379,119
Not Reported,Virginia Beach,477,23,489,25
Not Reported,Western Tidewater,131,27,131,27
Not Reported,West Piedmont,83,70,86,70
2020-09-03,Alexandria,143,7,162,10
2020-09-03,Alleghany,87,5,98,5
2020-09-03,Arlington,260,14,279,14
2020-09-03,Central Shenandoah,167,29,175,29
2020-09-03,Central Virginia,927,46,927,46
2020-09-03,Chesapeake,259,22,268,22
2020-09-03,Chesterfield,268,17,315,27
2020-09-03,Chickahominy,131,16,144,16
2020-09-03,Crater,122,17,135,17
2020-09-03,Cumberland Plateau,36,2,37,3
2020-09-03,Eastern Shore,36,0,36,0
2020-09-03,Fairfax,1027,48,1140,54
2020-09-03,Hampton,122,4,127,4
2020-09-03,Henrico,291,16,330,18
2020-09-03,Lenowisco,96,7,97,7
2020-09-03,Lord Fairfax,98,3,103,5
2020-09-03,Loudoun,269,17,296,19
2020-09-03,Mount Rogers,102,7,115,8
2020-09-03,New River,99,11,116,14
2020-09-03,Norfolk,328,17,335,17
2020-09-03,Out of State,164,24,167,24
2020-09-03,Peninsula,262,23,274,25
2020-09-03,Piedmont,132,15,133,15
2020-09-03,Pittsylvania-Danville,141,21,147,25
2020-09-03,Portsmouth,88,10,92,10
2020-09-03,Prince William,372,30,395,31
2020-09-03,Rappahannock,211,20,223,21
2020-09-03,Rappahannock Rapidan,140,8,151,8
2020-09-03,Richmond,241,15,256,15
2020-09-03,Roanoke,42,5,51,5
2020-09-03,Southside,89,13,90,13
2020-09-03,Thomas Jefferson,360,27,371,31
2020-09-03,Three Rivers,112,7,121,10
2020-09-03,Unknown,12,1,15,1
2020-09-03,Virginia Beach,357,28,375,30
2020-09-03,Western Tidewater,223,29,229,30
2020-09-03,West Piedmont,55,5,56,5
2020-09-02,Alexandria,399,13,423,14
2020-09-02,Alleghany,181,12,205,12
2020-09-02,Arlington,403,12,446,16
2020-09-02,Central Shenandoah,281,30,290,30
2020-09-02,Central Virginia,861,57,871,58
2020-09-02,Chesapeake,398,39,408,40
2020-09-02,Chesterfield,514,51,565,51
2020-09-02,Chickahominy,193,17,203,17
2020-09-02,Crater,279,21,289,22
2020-09-02,Cumberland Plateau,78,3,81,3
2020-09-02,Eastern Shore,51,2,52,2
2020-09-02,Fairfax,2014,164,2239,185
2020-09-02,Hampton,176,14,181,14
2020-09-02,Henrico,592,41,629,44
2020-09-02,Lenowisco,211,13,216,14
2020-09-02,Lord Fairfax,295,10,298,11
2020-09-02,Loudoun,686,69,746,81
2020-09-02,Mount Rogers,350,42,370,56
2020-09-02,New River,595,97,615,98
2020-09-02,Norfolk,407,24,418,24
2020-09-02,Out of State,346,14,353,14
2020-09-02,Peninsula,420,28,435,30
2020-09-02,Piedmont,172,13,178,13
2020-09-02,Pittsylvania-Danville,238,36,240,36
2020-09-02,Portsmouth,145,14,151,15
2020-09-02,Prince William,873,67,939,77
2020-09-02,Rappahannock,488,38,513,40
2020-09-02,Rappahannock Rapidan,235,17,247,22
2020-09-02,Richmond,365,40,396,40
2020-09-02,Roanoke,562,64,583,66
2020-09-02,Southside,154,15,154,15
2020-09-02,Thomas Jefferson,631,38,649,38
2020-09-02,Three Rivers,224,17,231,17
2020-09-02,Unknown,17,2,17,2
2020-09-02,Virginia Beach,634,38,652,43
2020-09-02,Western Tidewater,276,36,279,36
2020-09-02,West Piedmont,158,25,161,25
2020-09-01,Alexandria,219,14,232,15
2020-09-01,Alleghany,87,4,98,4
2020-09-01,Arlington,298,13,323,16
2020-09-01,Central Shenandoah,176,24,179,24
2020-09-01,Central Virginia,227,32,228,32
2020-09-01,Chesapeake,229,13,238,15
2020-09-01,Chesterfield,404,13,426,15
2020-09-01,Chickahominy,151,9,157,9
2020-09-01,Crater,189,18,194,18
2020-09-01,Cumberland Plateau,48,0,48,0
2020-09-01,Eastern Shore,25,0,25,0
2020-09-01,Fairfax,1331,58,1458,67
2020-09-01,Hampton,108,10,108,10
2020-09-01,Henrico,1285,56,1316,57
2020-09-01,Lenowisco,52,9,56,10
2020-09-01,Lord Fairfax,451,13,454,13
2020-09-01,Loudoun,391,18,419,21
2020-09-01,Mount Rogers,130,14,169,52
2020-09-01,New River,504,90,517,90
2020-09-01,Norfolk,360,29,363,29
2020-09-01,Out of State,327,18,337,18
2020-09-01,Peninsula,375,24,379,24
2020-09-01,Piedmont,59,3,61,3
2020-09-01,Pittsylvania-Danville,66,13,66,13
2020-09-01,Portsmouth,116,10,117,11
2020-09-01,Prince William,611,47,639,48
2020-09-01,Rappahannock,295,13,314,15
2020-09-01,Rappahannock Rapidan,148,9,156,13
2020-09-01,Richmond,280,22,305,22
2020-09-01,Roanoke,520,47,527,47
2020-09-01,Southside,112,10,112,10
2020-09-01,Thomas Jefferson,442,36,447,37
2020-09-01,Three Rivers,101,6,104,6
2020-09-01,Unknown,14,1,15,1
2020-09-01,Virginia Beach,533,29,544,30
2020-09-01,Western Tidewater,157,17,161,17
2020-09-01,West Piedmont,87,14,89,15
2020-08-31,Alexandria,222,14,226,14
2020-08-31,Alleghany,97,7,113,7
2020-08-31,Arlington,335,15,340,15
2020-08-31,Central Shenandoah,325,59,325,59
2020-08-31,Central Virginia,382,41,383,41
2020-08-31,Chesapeake,251,25,251,25
2020-08-31,Chesterfield,493,29,519,30
2020-08-31,Chickahominy,201,22,213,22
2020-08-31,Crater,239,26,243,26
2020-08-31,Cumberland Plateau,42,2,43,2
2020-08-31,Eastern Shore,91,1,91,1
2020-08-31,Fairfax,1644,95,1675,101
2020-08-31,Hampton,147,6,148,6
2020-08-31,Henrico,554,51,590,51
2020-08-31,Lenowisco,82,12,84,12
2020-08-31,Lord Fairfax,183,12,186,12
2020-08-31,Loudoun,540,40,560,41
2020-08-31,Mount Rogers,119,11,131,23
2020-08-31,New River,356,86,370,86
2020-08-31,Norfolk,399,28,402,28
2020-08-31,Out of State,258,4,265,4
2020-08-31,Peninsula,418,31,419,31
2020-08-31,Piedmont,93,6,95,6
2020-08-31,Pittsylvania-Danville,117,22,117,22
2020-08-31,Portsmouth,140,14,140,14
2020-08-31,Prince William,656,52,662,52
2020-08-31,Rappahannock,386,44,390,45
2020-08-31,Rappahannock Rapidan,218,16,226,24
