lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,188,41,224,47
Not Reported,Alleghany,11,4,11,4
Not Reported,Arlington,671,80,748,104
Not Reported,Central Shenandoah,213,43,220,45
Not Reported,Central Virginia,163,11,175,12
Not Reported,Chesapeake,213,27,214,27
Not Reported,Chesterfield,583,242,631,259
Not Reported,Chickahominy,130,79,136,83
Not Reported,Crater,293,99,304,106
Not Reported,Cumberland Plateau,30,30,49,49
Not Reported,Eastern Shore,270,2,270,2
Not Reported,Fairfax,1487,409,1827,496
Not Reported,Hampton,166,30,167,31
Not Reported,Henrico,645,335,685,351
Not Reported,Lenowisco,11,8,27,24
Not Reported,Lord Fairfax,95,21,137,25
Not Reported,Loudoun,1038,139,1325,209
Not Reported,Mount Rogers,25,19,36,29
Not Reported,New River,18,11,20,12
Not Reported,Norfolk,139,14,142,14
Not Reported,Out of State,33,22,56,44
Not Reported,Peninsula,472,88,476,89
Not Reported,Piedmont,91,34,98,36
Not Reported,Pittsylvania-Danville,30,13,31,13
Not Reported,Portsmouth,61,14,61,14
Not Reported,Prince William,1300,313,1444,399
Not Reported,Rappahannock,531,177,565,202
Not Reported,Rappahannock Rapidan,159,46,216,62
Not Reported,Richmond,372,197,441,209
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,55,22,57,23
Not Reported,Thomas Jefferson,133,23,155,26
Not Reported,Three Rivers,134,53,150,57
Not Reported,Unknown,380,118,391,125
Not Reported,Virginia Beach,524,29,536,31
Not Reported,Western Tidewater,163,51,163,51
Not Reported,West Piedmont,113,86,116,86
9/9/2020,Alexandria,167,11,175,12
9/9/2020,Alleghany,237,13,253,13
9/9/2020,Arlington,241,8,247,9
9/9/2020,Central Shenandoah,415,59,422,61
9/9/2020,Central Virginia,907,62,909,63
9/9/2020,Chesapeake,646,21,653,21
9/9/2020,Chesterfield,710,42,745,43
9/9/2020,Chickahominy,259,27,264,27
9/9/2020,Crater,193,14,194,14
9/9/2020,Cumberland Plateau,62,5,62,5
9/9/2020,Eastern Shore,67,0,67,0
9/9/2020,Fairfax,1218,72,1311,86
9/9/2020,Hampton,150,10,150,10
9/9/2020,Henrico,539,46,595,50
9/9/2020,Lenowisco,67,11,73,15
9/9/2020,Lord Fairfax,374,11,381,11
9/9/2020,Loudoun,435,36,473,41
9/9/2020,Mount Rogers,219,19,244,42
9/9/2020,New River,711,73,738,74
9/9/2020,Norfolk,550,39,552,39
9/9/2020,Out of State,683,21,698,22
9/9/2020,Peninsula,385,27,391,27
9/9/2020,Piedmont,169,27,176,27
9/9/2020,Pittsylvania-Danville,217,8,217,8
9/9/2020,Portsmouth,115,10,116,10
9/9/2020,Prince William,589,49,620,56
9/9/2020,Rappahannock,309,28,315,30
9/9/2020,Rappahannock Rapidan,235,13,245,21
9/9/2020,Richmond,631,20,659,22
9/9/2020,Roanoke,833,73,844,73
9/9/2020,Southside,204,18,207,18
9/9/2020,Thomas Jefferson,768,38,772,38
9/9/2020,Three Rivers,158,21,159,21
9/9/2020,Unknown,21,0,24,1
9/9/2020,Virginia Beach,636,43,644,43
9/9/2020,Western Tidewater,236,31,237,31
9/9/2020,West Piedmont,87,14,92,15
9/8/2020,Alexandria,278,10,280,11
9/8/2020,Alleghany,134,9,152,9
9/8/2020,Arlington,484,13,489,14
9/8/2020,Central Shenandoah,244,46,246,46
9/8/2020,Central Virginia,185,26,189,26
9/8/2020,Chesapeake,313,15,315,15
9/8/2020,Chesterfield,444,27,470,31
9/8/2020,Chickahominy,330,138,337,138
9/8/2020,Crater,218,15,224,17
9/8/2020,Cumberland Plateau,56,7,57,7
9/8/2020,Eastern Shore,52,3,52,3
9/8/2020,Fairfax,1812,103,1856,105
9/8/2020,Hampton,106,8,106,8
9/8/2020,Henrico,433,32,466,32
9/8/2020,Lenowisco,53,9,59,11
9/8/2020,Lord Fairfax,180,6,183,7
9/8/2020,Loudoun,505,47,539,50
9/8/2020,Mount Rogers,142,23,165,43
9/8/2020,New River,811,103,822,103
9/8/2020,Norfolk,213,15,214,15
9/8/2020,Out of State,485,17,498,18
9/8/2020,Peninsula,289,22,291,22
9/8/2020,Piedmont,44,3,45,4
9/8/2020,Pittsylvania-Danville,153,22,153,22
9/8/2020,Portsmouth,125,10,125,10
9/8/2020,Prince William,716,63,728,63
9/8/2020,Rappahannock,316,19,325,20
9/8/2020,Rappahannock Rapidan,125,12,137,23
9/8/2020,Richmond,271,11,292,11
9/8/2020,Roanoke,314,22,332,22
9/8/2020,Southside,84,9,85,9
9/8/2020,Thomas Jefferson,308,29,312,29
9/8/2020,Three Rivers,149,16,151,16
9/8/2020,Unknown,23,0,25,1
9/8/2020,Virginia Beach,488,23,489,24
9/8/2020,Western Tidewater,209,28,212,28
9/8/2020,West Piedmont,108,13,111,13
9/7/2020,Alexandria,124,5,124,5
9/7/2020,Alleghany,45,2,51,2
9/7/2020,Arlington,164,12,165,13
9/7/2020,Central Shenandoah,259,22,262,22
9/7/2020,Central Virginia,211,6,211,6
9/7/2020,Chesapeake,154,20,155,20
9/7/2020,Chesterfield,366,25,388,26
9/7/2020,Chickahominy,168,8,173,8
9/7/2020,Crater,217,24,220,24
9/7/2020,Cumberland Plateau,19,5,19,5
9/7/2020,Eastern Shore,23,0,23,0
9/7/2020,Fairfax,979,77,1001,80
9/7/2020,Hampton,68,6,68,6
9/7/2020,Henrico,398,24,419,25
9/7/2020,Lenowisco,29,7,29,7
9/7/2020,Lord Fairfax,171,7,171,7
9/7/2020,Loudoun,297,26,307,28
9/7/2020,Mount Rogers,105,11,106,11
9/7/2020,New River,65,4,77,4
9/7/2020,Norfolk,175,7,175,7
9/7/2020,Out of State,235,11,239,11
9/7/2020,Peninsula,176,13,176,13
9/7/2020,Piedmont,64,8,66,8
9/7/2020,Pittsylvania-Danville,108,4,108,4
9/7/2020,Portsmouth,76,9,76,9
9/7/2020,Prince William,394,40,401,41
9/7/2020,Rappahannock,163,8,165,8
9/7/2020,Rappahannock Rapidan,102,8,108,14
9/7/2020,Richmond,248,19,273,19
9/7/2020,Roanoke,206,14,212,14
9/7/2020,Southside,50,10,50,10
