lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,180,41,214,47
Not Reported,Alleghany,9,3,9,3
Not Reported,Arlington,665,77,739,98
Not Reported,Central Shenandoah,204,38,212,40
Not Reported,Central Virginia,159,9,171,10
Not Reported,Chesapeake,208,27,209,27
Not Reported,Chesterfield,566,241,611,258
Not Reported,Chickahominy,129,80,133,83
Not Reported,Crater,290,99,300,106
Not Reported,Cumberland Plateau,28,28,47,47
Not Reported,Eastern Shore,269,2,269,2
Not Reported,Fairfax,1455,399,1786,481
Not Reported,Hampton,166,30,167,31
Not Reported,Henrico,600,332,630,348
Not Reported,Lenowisco,10,7,26,23
Not Reported,Lord Fairfax,94,21,134,25
Not Reported,Loudoun,1037,139,1320,208
Not Reported,Mount Rogers,24,19,35,29
Not Reported,New River,12,6,14,7
Not Reported,Norfolk,138,14,141,14
Not Reported,Out of State,28,18,51,40
Not Reported,Peninsula,472,88,476,89
Not Reported,Piedmont,90,34,97,36
Not Reported,Pittsylvania-Danville,27,9,28,9
Not Reported,Portsmouth,57,10,57,10
Not Reported,Prince William,1210,299,1347,380
Not Reported,Rappahannock,495,164,528,189
Not Reported,Rappahannock Rapidan,158,45,212,61
Not Reported,Richmond,366,196,391,207
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,54,22,56,23
Not Reported,Thomas Jefferson,121,22,141,25
Not Reported,Three Rivers,132,53,148,57
Not Reported,Unknown,371,115,381,122
Not Reported,Virginia Beach,514,27,526,29
Not Reported,Western Tidewater,161,51,161,51
Not Reported,West Piedmont,100,83,103,83
2020-09-10,Alexandria,145,9,162,12
2020-09-10,Alleghany,103,8,118,8
2020-09-10,Arlington,263,6,281,6
2020-09-10,Central Shenandoah,350,26,358,26
2020-09-10,Central Virginia,423,34,431,35
2020-09-10,Chesapeake,366,18,370,21
2020-09-10,Chesterfield,434,28,463,28
2020-09-10,Chickahominy,238,10,248,12
2020-09-10,Crater,217,10,229,12
2020-09-10,Cumberland Plateau,36,1,37,1
2020-09-10,Eastern Shore,22,0,23,0
2020-09-10,Fairfax,889,60,1002,66
2020-09-10,Hampton,124,5,128,5
2020-09-10,Henrico,392,17,415,19
2020-09-10,Lenowisco,128,2,130,3
2020-09-10,Lord Fairfax,126,14,130,14
2020-09-10,Loudoun,296,20,327,22
2020-09-10,Mount Rogers,211,9,213,9
2020-09-10,New River,120,6,141,6
2020-09-10,Norfolk,307,21,310,21
2020-09-10,Out of State,368,22,375,22
2020-09-10,Peninsula,421,9,431,10
2020-09-10,Piedmont,92,4,97,5
2020-09-10,Pittsylvania-Danville,96,11,100,13
2020-09-10,Portsmouth,159,12,159,12
2020-09-10,Prince William,449,36,469,38
2020-09-10,Rappahannock,274,21,285,21
2020-09-10,Rappahannock Rapidan,117,5,123,5
2020-09-10,Richmond,477,12,499,13
2020-09-10,Roanoke,61,9,66,10
2020-09-10,Southside,115,13,117,13
2020-09-10,Thomas Jefferson,581,31,594,32
2020-09-10,Three Rivers,160,24,164,24
2020-09-10,Unknown,25,0,25,0
2020-09-10,Virginia Beach,407,25,421,27
2020-09-10,Western Tidewater,397,16,401,18
2020-09-10,West Piedmont,87,9,88,9
2020-09-09,Alexandria,161,11,168,11
2020-09-09,Alleghany,235,13,250,13
2020-09-09,Arlington,237,7,243,8
2020-09-09,Central Shenandoah,414,59,420,60
2020-09-09,Central Virginia,900,62,902,63
2020-09-09,Chesapeake,551,21,558,21
2020-09-09,Chesterfield,661,40,696,41
2020-09-09,Chickahominy,214,21,219,21
2020-09-09,Crater,186,14,187,14
2020-09-09,Cumberland Plateau,57,5,57,5
2020-09-09,Eastern Shore,34,0,34,0
2020-09-09,Fairfax,1188,67,1273,76
2020-09-09,Hampton,146,10,146,10
2020-09-09,Henrico,481,42,535,45
2020-09-09,Lenowisco,64,10,70,14
2020-09-09,Lord Fairfax,374,11,381,11
2020-09-09,Loudoun,425,33,457,33
2020-09-09,Mount Rogers,164,9,175,19
2020-09-09,New River,688,68,715,69
2020-09-09,Norfolk,529,39,531,39
2020-09-09,Out of State,527,22,541,22
2020-09-09,Peninsula,366,27,371,27
2020-09-09,Piedmont,161,27,168,27
2020-09-09,Pittsylvania-Danville,218,8,218,8
2020-09-09,Portsmouth,106,10,107,10
2020-09-09,Prince William,583,48,606,52
2020-09-09,Rappahannock,303,28,307,28
2020-09-09,Rappahannock Rapidan,231,12,241,20
2020-09-09,Richmond,507,19,535,21
2020-09-09,Roanoke,829,72,840,72
2020-09-09,Southside,204,18,207,18
2020-09-09,Thomas Jefferson,763,38,767,38
2020-09-09,Three Rivers,153,21,154,21
2020-09-09,Unknown,17,0,19,0
2020-09-09,Virginia Beach,595,39,603,39
2020-09-09,Western Tidewater,214,30,215,30
2020-09-09,West Piedmont,86,13,91,14
2020-09-08,Alexandria,207,6,209,7
2020-09-08,Alleghany,134,9,152,9
2020-09-08,Arlington,425,12,430,13
2020-09-08,Central Shenandoah,242,44,244,44
2020-09-08,Central Virginia,184,26,188,26
2020-09-08,Chesapeake,314,15,316,15
2020-09-08,Chesterfield,440,26,466,30
2020-09-08,Chickahominy,327,136,334,136
2020-09-08,Crater,219,16,225,18
2020-09-08,Cumberland Plateau,57,8,58,8
2020-09-08,Eastern Shore,46,3,46,3
2020-09-08,Fairfax,1528,86,1569,88
2020-09-08,Hampton,106,8,106,8
2020-09-08,Henrico,431,32,464,32
2020-09-08,Lenowisco,54,10,60,12
2020-09-08,Lord Fairfax,177,6,180,7
2020-09-08,Loudoun,439,40,471,41
2020-09-08,Mount Rogers,142,23,165,43
2020-09-08,New River,814,101,825,101
2020-09-08,Norfolk,212,14,213,14
2020-09-08,Out of State,483,14,496,15
2020-09-08,Peninsula,289,23,291,23
2020-09-08,Piedmont,44,3,45,4
2020-09-08,Pittsylvania-Danville,153,22,153,22
2020-09-08,Portsmouth,125,10,125,10
2020-09-08,Prince William,613,46,625,46
2020-09-08,Rappahannock,297,17,306,18
2020-09-08,Rappahannock Rapidan,116,8,128,19
2020-09-08,Richmond,270,11,291,11
2020-09-08,Roanoke,314,22,332,22
2020-09-08,Southside,83,9,84,9
2020-09-08,Thomas Jefferson,308,29,312,29
2020-09-08,Three Rivers,149,16,151,16
2020-09-08,Unknown,22,0,24,1
2020-09-08,Virginia Beach,484,19,485,20
2020-09-08,Western Tidewater,208,28,211,28
2020-09-08,West Piedmont,108,13,111,13
2020-09-07,Alexandria,124,5,124,5
2020-09-07,Alleghany,45,2,51,2
2020-09-07,Arlington,163,11,164,12
2020-09-07,Central Shenandoah,259,22,262,22
2020-09-07,Central Virginia,211,6,211,6
2020-09-07,Chesapeake,154,20,155,20
2020-09-07,Chesterfield,366,25,388,26
2020-09-07,Chickahominy,167,8,172,8
2020-09-07,Crater,217,24,220,24
2020-09-07,Cumberland Plateau,19,5,19,5
2020-09-07,Eastern Shore,23,0,23,0
2020-09-07,Fairfax,977,77,997,78
2020-09-07,Hampton,68,6,68,6
2020-09-07,Henrico,398,24,419,25
2020-09-07,Lenowisco,29,7,29,7
2020-09-07,Lord Fairfax,171,7,171,7
2020-09-07,Loudoun,298,26,306,26
2020-09-07,Mount Rogers,104,10,105,10
2020-09-07,New River,65,4,77,4
2020-09-07,Norfolk,175,7,175,7
2020-09-07,Out of State,236,12,240,12
2020-09-07,Peninsula,175,13,175,13
2020-09-07,Piedmont,64,8,66,8
2020-09-07,Pittsylvania-Danville,107,4,107,4
2020-09-07,Portsmouth,76,9,76,9
2020-09-07,Prince William,394,40,401,41
2020-09-07,Rappahannock,160,5,162,5
2020-09-07,Rappahannock Rapidan,102,8,108,14
2020-09-07,Richmond,246,19,268,19
2020-09-07,Roanoke,206,14,212,14
2020-09-07,Southside,50,10,50,10
2020-09-07,Thomas Jefferson,271,12,276,12
2020-09-07,Three Rivers,100,7,100,7
2020-09-07,Unknown,8,2,8,2
2020-09-07,Virginia Beach,259,15,259,15
2020-09-07,Western Tidewater,134,9,134,9
2020-09-07,West Piedmont,13,5,13,5
2020-09-06,Alexandria,203,16,216,16
2020-09-06,Alleghany,122,8,133,8
2020-09-06,Arlington,371,17,382,17
2020-09-06,Central Shenandoah,460,68,463,68
2020-09-06,Central Virginia,412,7,415,7
2020-09-06,Chesapeake,312,21,312,21
2020-09-06,Chesterfield,400,29,431,32
2020-09-06,Chickahominy,187,16,195,17
2020-09-06,Crater,274,51,278,51
2020-09-06,Cumberland Plateau,63,5,66,5
2020-09-06,Eastern Shore,49,1,50,1
2020-09-06,Fairfax,1278,79,1363,86
2020-09-06,Hampton,136,6,138,7
2020-09-06,Henrico,457,33,484,34
2020-09-06,Lenowisco,56,4,57,4
2020-09-06,Lord Fairfax,189,9,193,9
2020-09-06,Loudoun,423,37,447,40
2020-09-06,Mount Rogers,154,13,157,14
2020-09-06,New River,107,7,119,7
2020-09-06,Norfolk,347,17,348,17
2020-09-06,Out of State,353,27,359,27
2020-09-06,Peninsula,353,16,355,16
2020-09-06,Piedmont,137,18,138,18
2020-09-06,Pittsylvania-Danville,238,18,240,18
2020-09-06,Portsmouth,159,16,159,16
2020-09-06,Prince William,470,43,500,44
2020-09-06,Rappahannock,281,27,288,28
2020-09-06,Rappahannock Rapidan,227,7,230,8
2020-09-06,Richmond,324,22,343,23
2020-09-06,Roanoke,428,19,435,19
2020-09-06,Southside,93,15,94,15
2020-09-06,Thomas Jefferson,368,14,377,15
2020-09-06,Three Rivers,223,5,228,6
2020-09-06,Unknown,37,4,37,4
2020-09-06,Virginia Beach,768,27,784,27
2020-09-06,Western Tidewater,259,24,263,24
2020-09-06,West Piedmont,143,13,145,13
2020-09-05,Alexandria,261,15,283,15
2020-09-05,Alleghany,226,28,242,28
2020-09-05,Arlington,421,12,453,18
2020-09-05,Central Shenandoah,301,52,306,52
2020-09-05,Central Virginia,585,46,596,49
2020-09-05,Chesapeake,351,21,359,21
