lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,192,41,228,47
Not Reported,Alleghany,11,4,12,4
Not Reported,Arlington,730,80,815,105
Not Reported,Central Shenandoah,214,43,223,45
Not Reported,Central Virginia,162,11,178,12
Not Reported,Chesapeake,214,27,216,27
Not Reported,Chesterfield,613,241,683,259
Not Reported,Chickahominy,147,80,158,84
Not Reported,Crater,309,99,331,106
Not Reported,Cumberland Plateau,61,61,86,86
Not Reported,Eastern Shore,272,2,272,2
Not Reported,Fairfax,1528,413,1889,501
Not Reported,Hampton,168,31,169,32
Not Reported,Henrico,728,334,815,350
Not Reported,Lenowisco,12,8,29,25
Not Reported,Lord Fairfax,97,23,139,27
Not Reported,Loudoun,1045,139,1334,209
Not Reported,Mount Rogers,27,19,39,30
Not Reported,New River,20,12,22,13
Not Reported,Norfolk,140,14,144,14
Not Reported,Out of State,41,31,69,55
Not Reported,Peninsula,478,91,483,92
Not Reported,Piedmont,97,34,104,36
Not Reported,Pittsylvania-Danville,31,14,32,14
Not Reported,Portsmouth,61,14,61,14
Not Reported,Prince William,1365,320,1518,406
Not Reported,Rappahannock,555,180,591,205
Not Reported,Rappahannock Rapidan,162,48,223,65
Not Reported,Richmond,394,199,480,211
Not Reported,Roanoke,6,5,7,5
Not Reported,Southside,56,22,58,23
Not Reported,Thomas Jefferson,144,23,188,26
Not Reported,Three Rivers,158,54,178,58
Not Reported,Unknown,388,124,400,131
Not Reported,Virginia Beach,535,30,551,32
Not Reported,Western Tidewater,165,51,165,51
Not Reported,West Piedmont,123,92,133,92
9/9/2020,Alexandria,167,11,175,12
9/9/2020,Alleghany,237,13,253,13
9/9/2020,Arlington,242,8,248,9
9/9/2020,Central Shenandoah,416,60,423,62
9/9/2020,Central Virginia,909,64,911,65
9/9/2020,Chesapeake,645,21,652,21
9/9/2020,Chesterfield,715,43,752,46
9/9/2020,Chickahominy,259,27,264,27
9/9/2020,Crater,195,16,196,16
9/9/2020,Cumberland Plateau,63,6,63,6
9/9/2020,Eastern Shore,67,0,67,0
9/9/2020,Fairfax,1228,80,1321,94
9/9/2020,Hampton,150,12,150,12
9/9/2020,Henrico,542,46,601,53
9/9/2020,Lenowisco,68,10,74,14
9/9/2020,Lord Fairfax,374,11,381,11
9/9/2020,Loudoun,436,37,476,44
9/9/2020,Mount Rogers,218,19,243,42
9/9/2020,New River,714,74,741,75
9/9/2020,Norfolk,536,39,538,39
9/9/2020,Out of State,686,23,701,24
9/9/2020,Peninsula,386,29,393,30
9/9/2020,Piedmont,169,27,176,27
9/9/2020,Pittsylvania-Danville,217,8,217,8
9/9/2020,Portsmouth,115,11,116,11
9/9/2020,Prince William,592,51,623,58
9/9/2020,Rappahannock,310,29,316,31
9/9/2020,Rappahannock Rapidan,235,13,245,21
9/9/2020,Richmond,652,21,682,25
9/9/2020,Roanoke,834,73,845,73
9/9/2020,Southside,206,20,209,20
9/9/2020,Thomas Jefferson,768,38,772,38
9/9/2020,Three Rivers,158,21,159,21
9/9/2020,Unknown,22,0,25,1
9/9/2020,Virginia Beach,630,44,638,44
9/9/2020,Western Tidewater,239,34,240,34
9/9/2020,West Piedmont,86,13,91,14
9/8/2020,Alexandria,278,10,280,11
9/8/2020,Alleghany,134,9,152,9
9/8/2020,Arlington,485,14,490,15
9/8/2020,Central Shenandoah,246,47,248,47
9/8/2020,Central Virginia,186,27,190,27
9/8/2020,Chesapeake,313,15,315,15
9/8/2020,Chesterfield,467,27,493,31
9/8/2020,Chickahominy,340,138,348,138
9/8/2020,Crater,219,15,225,17
9/8/2020,Cumberland Plateau,57,8,58,8
9/8/2020,Eastern Shore,52,3,52,3
9/8/2020,Fairfax,1816,105,1860,107
9/8/2020,Hampton,107,8,107,8
9/8/2020,Henrico,617,32,655,36
9/8/2020,Lenowisco,53,9,59,11
9/8/2020,Lord Fairfax,179,6,182,7
9/8/2020,Loudoun,507,46,541,49
9/8/2020,Mount Rogers,142,24,165,44
9/8/2020,New River,811,103,822,103
9/8/2020,Norfolk,213,15,214,15
9/8/2020,Out of State,485,15,498,16
9/8/2020,Peninsula,294,23,296,23
9/8/2020,Piedmont,45,4,46,5
9/8/2020,Pittsylvania-Danville,154,23,154,23
9/8/2020,Portsmouth,125,10,125,10
9/8/2020,Prince William,717,64,729,64
9/8/2020,Rappahannock,319,19,328,20
9/8/2020,Rappahannock Rapidan,125,12,137,23
9/8/2020,Richmond,305,12,326,12
9/8/2020,Roanoke,314,22,332,22
9/8/2020,Southside,84,9,85,9
9/8/2020,Thomas Jefferson,309,29,313,29
9/8/2020,Three Rivers,154,16,156,16
9/8/2020,Unknown,26,0,28,1
9/8/2020,Virginia Beach,490,24,491,25
9/8/2020,Western Tidewater,211,29,214,29
9/8/2020,West Piedmont,108,13,111,13
9/7/2020,Alexandria,124,5,124,5
9/7/2020,Alleghany,45,2,51,2
9/7/2020,Arlington,164,12,165,13
9/7/2020,Central Shenandoah,259,22,262,22
9/7/2020,Central Virginia,212,6,212,6
9/7/2020,Chesapeake,155,20,156,20
9/7/2020,Chesterfield,367,25,393,28
9/7/2020,Chickahominy,168,8,176,9
9/7/2020,Crater,219,24,224,24
9/7/2020,Cumberland Plateau,19,5,19,5
9/7/2020,Eastern Shore,23,0,23,0
9/7/2020,Fairfax,979,77,1002,80
9/7/2020,Hampton,68,6,68,6
9/7/2020,Henrico,403,24,430,26
9/7/2020,Lenowisco,29,7,29,7
9/7/2020,Lord Fairfax,171,7,171,7
9/7/2020,Loudoun,297,26,307,28
9/7/2020,Mount Rogers,103,9,104,9
9/7/2020,New River,67,6,79,6
9/7/2020,Norfolk,176,7,176,7
9/7/2020,Out of State,237,13,241,13
9/7/2020,Peninsula,176,13,176,13
9/7/2020,Piedmont,64,8,66,8
9/7/2020,Pittsylvania-Danville,108,4,108,4
9/7/2020,Portsmouth,76,9,76,9
9/7/2020,Prince William,394,40,401,41
9/7/2020,Rappahannock,163,8,165,8
9/7/2020,Rappahannock Rapidan,102,8,108,14
9/7/2020,Richmond,248,19,275,19
9/7/2020,Roanoke,206,14,212,14
9/7/2020,Southside,50,10,50,10
9/7/2020,Thomas Jefferson,271,12,277,12
9/7/2020,Three Rivers,100,7,101,7
9/7/2020,Unknown,8,2,8,2
9/7/2020,Virginia Beach,274,16,274,16
9/7/2020,Western Tidewater,134,9,134,9
9/7/2020,West Piedmont,13,5,13,5
9/6/2020,Alexandria,209,16,222,16
9/6/2020,Alleghany,122,8,133,8
9/6/2020,Arlington,370,16,381,16
9/6/2020,Central Shenandoah,460,68,463,68
9/6/2020,Central Virginia,415,10,419,11
9/6/2020,Chesapeake,314,23,314,23
9/6/2020,Chesterfield,406,35,438,39
9/6/2020,Chickahominy,188,17,196,18
9/6/2020,Crater,276,53,280,53
9/6/2020,Cumberland Plateau,63,5,66,5
9/6/2020,Eastern Shore,49,1,50,1
9/6/2020,Fairfax,1282,80,1372,92
9/6/2020,Hampton,139,8,141,9
9/6/2020,Henrico,458,36,487,39
9/6/2020,Lenowisco,56,4,57,4
9/6/2020,Lord Fairfax,190,9,194,9
9/6/2020,Loudoun,424,38,448,41
9/6/2020,Mount Rogers,154,13,157,14
9/6/2020,New River,107,7,119,7
9/6/2020,Norfolk,347,17,348,17
9/6/2020,Out of State,355,28,363,30
9/6/2020,Peninsula,358,23,360,23
9/6/2020,Piedmont,137,18,138,18
9/6/2020,Pittsylvania-Danville,238,18,240,18
9/6/2020,Portsmouth,159,16,159,16
9/6/2020,Prince William,470,43,500,44
9/6/2020,Rappahannock,281,27,288,28
9/6/2020,Rappahannock Rapidan,227,7,230,8
9/6/2020,Richmond,329,27,348,28
9/6/2020,Roanoke,428,19,435,19
9/6/2020,Southside,93,15,94,15
9/6/2020,Thomas Jefferson,369,15,378,16
9/6/2020,Three Rivers,225,6,230,7
9/6/2020,Unknown,37,4,37,4
9/6/2020,Virginia Beach,771,30,787,30
9/6/2020,Western Tidewater,262,27,266,27
9/6/2020,West Piedmont,143,13,145,13
9/5/2020,Alexandria,263,15,286,15
9/5/2020,Alleghany,226,28,242,28
9/5/2020,Arlington,421,12,453,18
9/5/2020,Central Shenandoah,303,54,308,54
9/5/2020,Central Virginia,585,46,596,49
9/5/2020,Chesapeake,353,22,362,23
9/5/2020,Chesterfield,462,28,512,32
9/5/2020,Chickahominy,160,10,174,13
9/5/2020,Crater,186,15,193,16
9/5/2020,Cumberland Plateau,106,2,113,3
9/5/2020,Eastern Shore,69,1,70,1
9/5/2020,Fairfax,1700,96,1881,104
9/5/2020,Hampton,151,6,152,6
9/5/2020,Henrico,616,32,651,37
9/5/2020,Lenowisco,104,6,106,6
9/5/2020,Lord Fairfax,306,19,310,19
9/5/2020,Loudoun,661,37,706,43
9/5/2020,Mount Rogers,202,30,208,31
9/5/2020,New River,257,34,272,35
9/5/2020,Norfolk,330,31,337,32
9/5/2020,Out of State,369,18,396,22
9/5/2020,Peninsula,561,30,572,31
9/5/2020,Piedmont,136,8,141,10
9/5/2020,Pittsylvania-Danville,192,15,192,15
9/5/2020,Portsmouth,140,14,143,14
9/5/2020,Prince William,600,57,648,62
9/5/2020,Rappahannock,320,21,345,24
9/5/2020,Rappahannock Rapidan,162,8,173,12
9/5/2020,Richmond,316,29,340,30
9/5/2020,Roanoke,802,47,811,47
