lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,192,41,231,47
Not Reported,Alleghany,11,4,12,4
Not Reported,Arlington,731,81,818,106
Not Reported,Central Shenandoah,217,46,226,48
Not Reported,Central Virginia,161,11,177,12
Not Reported,Chesapeake,219,31,221,31
Not Reported,Chesterfield,625,249,729,268
Not Reported,Chickahominy,148,80,168,86
Not Reported,Crater,317,105,343,112
Not Reported,Cumberland Plateau,76,76,116,116
Not Reported,Eastern Shore,272,2,273,2
Not Reported,Fairfax,1538,417,1908,506
Not Reported,Hampton,170,33,172,35
Not Reported,Henrico,733,337,892,357
Not Reported,Lenowisco,14,8,32,26
Not Reported,Lord Fairfax,97,23,139,27
Not Reported,Loudoun,1046,139,1338,210
Not Reported,Mount Rogers,27,19,39,30
Not Reported,New River,19,12,21,13
Not Reported,Norfolk,141,14,145,14
Not Reported,Out of State,43,32,74,57
Not Reported,Peninsula,482,95,490,98
Not Reported,Piedmont,97,34,105,36
Not Reported,Pittsylvania-Danville,33,14,34,14
Not Reported,Portsmouth,62,15,62,15
Not Reported,Prince William,1381,323,1536,409
Not Reported,Rappahannock,559,184,597,209
Not Reported,Rappahannock Rapidan,162,48,225,66
Not Reported,Richmond,399,205,511,219
Not Reported,Roanoke,6,5,8,5
Not Reported,Southside,57,22,59,23
Not Reported,Thomas Jefferson,144,23,192,26
Not Reported,Three Rivers,157,53,182,57
Not Reported,Unknown,384,120,397,127
Not Reported,Virginia Beach,536,31,553,33
Not Reported,Western Tidewater,165,51,165,51
Not Reported,West Piedmont,122,91,134,91
9/9/2020,Alexandria,167,11,177,14
9/9/2020,Alleghany,237,13,253,13
9/9/2020,Arlington,242,8,249,9
9/9/2020,Central Shenandoah,416,60,423,62
9/9/2020,Central Virginia,981,62,983,63
9/9/2020,Chesapeake,646,21,653,21
9/9/2020,Chesterfield,726,47,763,50
9/9/2020,Chickahominy,260,28,265,28
9/9/2020,Crater,195,16,196,16
9/9/2020,Cumberland Plateau,63,6,63,6
9/9/2020,Eastern Shore,67,0,67,0
9/9/2020,Fairfax,1229,80,1325,96
9/9/2020,Hampton,150,12,150,12
9/9/2020,Henrico,554,46,614,54
9/9/2020,Lenowisco,68,10,74,14
9/9/2020,Lord Fairfax,374,11,381,11
9/9/2020,Loudoun,437,37,478,44
9/9/2020,Mount Rogers,219,19,244,42
9/9/2020,New River,717,74,744,75
9/9/2020,Norfolk,536,39,538,39
9/9/2020,Out of State,686,23,701,24
9/9/2020,Peninsula,387,29,394,30
9/9/2020,Piedmont,173,27,180,27
9/9/2020,Pittsylvania-Danville,218,8,218,8
9/9/2020,Portsmouth,115,11,116,11
9/9/2020,Prince William,599,54,631,61
9/9/2020,Rappahannock,310,29,316,31
9/9/2020,Rappahannock Rapidan,235,13,245,21
9/9/2020,Richmond,652,21,681,24
9/9/2020,Roanoke,833,73,844,73
9/9/2020,Southside,205,19,208,19
9/9/2020,Thomas Jefferson,769,38,773,38
9/9/2020,Three Rivers,158,21,159,21
9/9/2020,Unknown,22,0,26,2
9/9/2020,Virginia Beach,635,45,643,45
9/9/2020,Western Tidewater,240,35,241,35
9/9/2020,West Piedmont,88,15,93,16
9/8/2020,Alexandria,278,10,281,11
9/8/2020,Alleghany,134,9,153,10
9/8/2020,Arlington,485,14,490,15
9/8/2020,Central Shenandoah,246,47,249,47
9/8/2020,Central Virginia,190,31,194,31
9/8/2020,Chesapeake,315,15,317,15
9/8/2020,Chesterfield,468,26,502,32
9/8/2020,Chickahominy,340,138,349,139
9/8/2020,Crater,220,16,226,18
9/8/2020,Cumberland Plateau,57,8,58,8
9/8/2020,Eastern Shore,52,3,52,3
9/8/2020,Fairfax,1819,105,1872,107
9/8/2020,Hampton,107,8,107,8
9/8/2020,Henrico,640,32,679,36
9/8/2020,Lenowisco,54,10,60,12
9/8/2020,Lord Fairfax,179,6,182,7
9/8/2020,Loudoun,518,46,556,50
9/8/2020,Mount Rogers,142,24,166,45
9/8/2020,New River,811,103,822,103
9/8/2020,Norfolk,214,16,215,16
9/8/2020,Out of State,485,15,498,16
9/8/2020,Peninsula,294,22,296,22
9/8/2020,Piedmont,48,5,50,6
9/8/2020,Pittsylvania-Danville,155,23,157,24
9/8/2020,Portsmouth,126,10,126,10
9/8/2020,Prince William,718,65,732,65
9/8/2020,Rappahannock,319,19,329,20
9/8/2020,Rappahannock Rapidan,126,12,138,23
9/8/2020,Richmond,310,12,331,12
9/8/2020,Roanoke,314,22,334,24
9/8/2020,Southside,84,9,85,9
9/8/2020,Thomas Jefferson,310,29,315,29
9/8/2020,Three Rivers,154,16,159,16
9/8/2020,Unknown,31,0,33,1
9/8/2020,Virginia Beach,493,24,498,25
9/8/2020,Western Tidewater,212,29,215,29
9/8/2020,West Piedmont,108,13,111,13
9/7/2020,Alexandria,124,5,124,5
9/7/2020,Alleghany,45,2,51,2
9/7/2020,Arlington,164,12,165,13
9/7/2020,Central Shenandoah,259,22,262,22
9/7/2020,Central Virginia,215,7,215,7
