lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive,Positivity_pcr_tests,Positivity_tot_tests,Positivity_pcr_7day
2020-08-01,Alleghany,119,1,131,2,0.0084,0.01527,0.0084
2020-08-01,Lord Fairfax,399,16,409,17,0.0401,0.04156,0.0401
2020-08-01,Lenowisco,111,14,114,14,0.12613,0.12281,0.12613
2020-08-01,Henrico,791,46,823,51,0.05815,0.06197,0.05815
2020-08-01,Hampton,219,19,224,21,0.08676,0.09375,0.08676
2020-08-01,Fairfax,1774,89,1951,107,0.05017,0.05484,0.05017
2020-08-01,Cumberland Plateau,87,6,89,6,0.06897,0.06742,0.06897
2020-08-01,Loudoun,534,27,596,36,0.05056,0.0604,0.05056
2020-08-01,Crater,301,26,309,29,0.08638,0.09385,0.08638
2020-08-01,Chesterfield,584,48,632,56,0.08219,0.08861,0.08219
2020-08-01,Chesapeake,544,66,558,67,0.12132,0.12007,0.12132
2020-08-01,Central Virginia,571,26,579,26,0.04553,0.04491,0.04553
2020-08-01,Central Shenandoah,338,10,345,11,0.02959,0.03188,0.02959
2020-08-01,Arlington,441,19,476,23,0.04308,0.04832,0.04308
2020-08-01,Alexandria,268,11,294,13,0.04104,0.04422,0.04104
2020-08-01,Chickahominy,192,5,205,5,0.02604,0.02439,0.02604
2020-08-01,Mount Rogers,290,17,296,19,0.05862,0.06419,0.05862
2020-08-01,Eastern Shore,210,4,212,4,0.01905,0.01887,0.01905
2020-08-01,Norfolk,524,47,529,47,0.08969,0.08885,0.08969
2020-08-01,New River,125,5,132,5,0.04,0.03788,0.04
2020-08-01,Western Tidewater,282,30,287,31,0.10638,0.10801,0.10638
2020-08-01,Virginia Beach,927,93,959,95,0.10032,0.09906,0.10032
2020-08-01,Three Rivers,154,7,163,8,0.04545,0.04908,0.04545
2020-08-01,Thomas Jefferson,580,20,589,20,0.03448,0.03396,0.03448
2020-08-01,Southside,128,7,132,7,0.05469,0.05303,0.05469
2020-08-01,Roanoke,215,14,215,14,0.06512,0.06512,0.06512
2020-08-01,Richmond,421,20,434,21,0.04751,0.04839,0.04751
2020-08-01,West Piedmont,97,21,100,22,0.21649,0.22,0.21649
2020-08-01,Rappahannock,459,26,489,30,0.05664,0.06135,0.05664
2020-08-01,Prince William,757,70,816,83,0.09247,0.10172,0.09247
2020-08-01,Portsmouth,357,49,366,51,0.13725,0.13934,0.13725
2020-08-01,Pittsylvania-Danville,161,19,167,20,0.11801,0.11976,0.11801
2020-08-01,Piedmont,125,5,131,5,0.04,0.03817,0.04
2020-08-01,Peninsula,794,50,811,50,0.06297,0.06165,0.06297
2020-08-01,Rappahannock Rapidan,185,12,204,21,0.06486,0.10294,0.06486
2020-08-02,Peninsula,589,49,606,50,0.08319,0.08251,0.07308
2020-08-02,Piedmont,73,3,77,3,0.0411,0.03896,0.04055
2020-08-02,Pittsylvania-Danville,210,14,213,14,0.06667,0.06573,0.09234
2020-08-02,Portsmouth,361,45,362,45,0.12465,0.12431,0.13095
2020-08-02,Prince William,797,72,827,75,0.09034,0.09069,0.09141
2020-08-02,Rappahannock,437,31,458,32,0.07094,0.06987,0.06379
2020-08-02,Rappahannock Rapidan,205,9,214,12,0.0439,0.05607,0.05438
2020-08-02,Thomas Jefferson,356,24,365,24,0.06742,0.06575,0.05095
2020-08-02,Roanoke,331,15,354,17,0.04532,0.04802,0.05522
2020-08-02,Southside,76,6,76,6,0.07895,0.07895,0.06682
2020-08-02,Three Rivers,191,12,195,12,0.06283,0.06154,0.05414
2020-08-02,Virginia Beach,1090,82,1113,84,0.07523,0.07547,0.08778
2020-08-02,Western Tidewater,349,56,356,57,0.16046,0.16011,0.13342
2020-08-02,West Piedmont,155,18,161,19,0.11613,0.11801,0.16631
2020-08-02,Richmond,174,16,186,17,0.09195,0.0914,0.06973
2020-08-02,Norfolk,602,68,609,68,0.11296,0.11166,0.10132
2020-08-02,Alexandria,232,11,245,11,0.04741,0.0449,0.04423
2020-08-02,Mount Rogers,200,18,204,18,0.09,0.08824,0.07431
2020-08-02,Central Shenandoah,222,8,234,9,0.03604,0.03846,0.03282
2020-08-02,Central Virginia,602,57,615,57,0.09468,0.09268,0.07011
2020-08-02,Chesapeake,409,54,421,55,0.13203,0.13064,0.12668
2020-08-02,Chesterfield,317,35,353,37,0.11041,0.10482,0.0963
2020-08-02,Chickahominy,125,8,128,9,0.064,0.07031,0.04502
2020-08-02,Crater,185,8,196,11,0.04324,0.05612,0.06481
2020-08-02,New River,99,6,108,7,0.06061,0.06481,0.05031
2020-08-02,Cumberland Plateau,72,3,72,3,0.04167,0.04167,0.05532
2020-08-02,Fairfax,1569,83,1699,98,0.0529,0.05768,0.05153
2020-08-02,Hampton,225,19,226,19,0.08444,0.08407,0.0856
2020-08-02,Henrico,365,32,382,34,0.08767,0.08901,0.07291
2020-08-02,Lenowisco,132,14,136,16,0.10606,0.11765,0.1161
2020-08-02,Lord Fairfax,367,7,373,7,0.01907,0.01877,0.02959
2020-08-02,Loudoun,405,29,442,33,0.0716,0.07466,0.06108
2020-08-02,Eastern Shore,88,4,89,4,0.04545,0.04494,0.03225
2020-08-02,Arlington,516,22,541,23,0.04264,0.04251,0.04286
2020-08-02,Alleghany,188,6,193,6,0.03191,0.03109,0.02015
2020-08-03,Cumberland Plateau,129,27,129,27,0.2093,0.2093,0.10665
2020-08-03,Lord Fairfax,256,6,257,6,0.02344,0.02335,0.02754
2020-08-03,Henrico,900,55,907,62,0.06111,0.06836,0.06898
2020-08-03,Hampton,162,18,163,18,0.11111,0.11043,0.0941
2020-08-03,Fairfax,1923,67,1974,72,0.03484,0.03647,0.04597
2020-08-03,Eastern Shore,40,0,42,0,0.0,0.0,0.0215
2020-08-03,Crater,255,22,255,22,0.08627,0.08627,0.07196
2020-08-03,Loudoun,579,24,590,26,0.04145,0.04407,0.05454
2020-08-03,Chickahominy,240,12,241,13,0.05,0.05394,0.04668
2020-08-03,Chesapeake,336,42,336,42,0.125,0.125,0.12612
2020-08-03,Central Virginia,214,16,214,16,0.07477,0.07477,0.07166
2020-08-03,Central Shenandoah,231,14,233,14,0.06061,0.06009,0.04208
2020-08-03,Arlington,395,18,407,19,0.04557,0.04668,0.04376
2020-08-03,Alleghany,117,6,117,6,0.05128,0.05128,0.03053
2020-08-03,Alexandria,248,9,255,9,0.03629,0.03529,0.04158
2020-08-03,Chesterfield,726,56,729,59,0.07713,0.08093,0.08991
2020-08-03,Mount Rogers,169,16,177,23,0.09467,0.12994,0.0811
2020-08-03,Lenowisco,42,7,43,7,0.16667,0.16279,0.13295
2020-08-03,Norfolk,547,53,547,53,0.09689,0.09689,0.09985
2020-08-03,West Piedmont,108,8,108,8,0.07407,0.07407,0.13556
2020-08-03,Western Tidewater,255,45,255,45,0.17647,0.17647,0.14777
2020-08-03,Virginia Beach,802,54,804,56,0.06733,0.06965,0.08096
2020-08-03,Three Rivers,194,6,195,6,0.03093,0.03077,0.0464
2020-08-03,Thomas Jefferson,375,18,382,18,0.048,0.04712,0.04997
2020-08-03,New River,170,20,170,20,0.11765,0.11765,0.07275
2020-08-03,Roanoke,383,8,385,8,0.02089,0.02078,0.04378
2020-08-03,Richmond,447,37,447,37,0.08277,0.08277,0.07408
2020-08-03,Southside,53,5,53,5,0.09434,0.09434,0.07599
2020-08-03,Rappahannock,498,36,499,36,0.07229,0.07214,0.06662
2020-08-03,Prince William,877,77,889,80,0.0878,0.08999,0.0902
2020-08-03,Portsmouth,212,28,212,28,0.13208,0.13208,0.13133
2020-08-03,Pittsylvania-Danville,184,78,184,78,0.42391,0.42391,0.20286
2020-08-03,Piedmont,68,3,69,4,0.04412,0.05797,0.04174
2020-08-03,Peninsula,484,27,484,27,0.05579,0.05579,0.06732
2020-08-03,Rappahannock Rapidan,146,10,147,10,0.06849,0.06803,0.05908
2020-08-04,Lord Fairfax,501,7,512,8,0.01397,0.01562,0.02414
2020-08-04,Cumberland Plateau,83,7,84,7,0.08434,0.08333,0.10107
2020-08-04,Lenowisco,108,9,111,9,0.08333,0.08108,0.12055
2020-08-04,Henrico,486,39,500,43,0.08025,0.086,0.07179
2020-08-04,Hampton,129,10,133,10,0.07752,0.07519,0.08996
2020-08-04,Fairfax,1186,63,1287,78,0.05312,0.06061,0.04776
2020-08-04,Eastern Shore,39,3,39,3,0.07692,0.07692,0.03535
2020-08-04,Crater,219,28,219,28,0.12785,0.12785,0.08594
2020-08-04,New River,283,10,283,10,0.03534,0.03534,0.0634
2020-08-04,Chesterfield,541,47,559,55,0.08688,0.09839,0.08915
2020-08-04,Chesapeake,249,27,254,27,0.10843,0.1063,0.12169
