lab_report_date,health_district,number_of_pcr_testing,number_of_positive_pcr_testing,total_number_of_testing,total_number_of_positive
Not Reported,Alexandria,183,41,217,47
Not Reported,Alleghany,10,4,10,4
Not Reported,Arlington,663,76,741,100
Not Reported,Central Shenandoah,205,39,213,41
Not Reported,Central Virginia,161,9,173,10
Not Reported,Chesapeake,209,27,210,27
Not Reported,Chesterfield,568,241,614,258
Not Reported,Chickahominy,130,80,136,84
Not Reported,Crater,291,99,301,106
Not Reported,Cumberland Plateau,29,29,48,48
Not Reported,Eastern Shore,270,2,270,2
Not Reported,Fairfax,1467,403,1806,490
Not Reported,Hampton,167,31,168,32
Not Reported,Henrico,600,333,637,349
Not Reported,Lenowisco,11,8,27,24
Not Reported,Lord Fairfax,94,21,136,25
Not Reported,Loudoun,1039,139,1325,209
Not Reported,Mount Rogers,24,19,35,29
Not Reported,New River,15,8,17,9
Not Reported,Norfolk,139,14,142,14
Not Reported,Out of State,30,20,53,42
Not Reported,Peninsula,472,88,476,89
Not Reported,Piedmont,90,34,97,36
Not Reported,Pittsylvania-Danville,28,10,29,10
Not Reported,Portsmouth,61,14,61,14
Not Reported,Prince William,1276,312,1420,398
Not Reported,Rappahannock,518,168,551,193
Not Reported,Rappahannock Rapidan,158,45,215,61
Not Reported,Richmond,367,197,430,209
Not Reported,Roanoke,6,5,6,5
Not Reported,Southside,54,22,56,23
Not Reported,Thomas Jefferson,122,22,144,25
Not Reported,Three Rivers,132,53,148,57
Not Reported,Unknown,375,117,386,124
Not Reported,Virginia Beach,521,29,533,31
Not Reported,Western Tidewater,163,51,163,51
Not Reported,West Piedmont,101,84,104,84
2020-09-13,Alexandria,108,9,116,9
2020-09-13,Alleghany,73,8,81,8
2020-09-13,Arlington,172,9,180,9
2020-09-13,Central Shenandoah,192,29,196,29
2020-09-13,Central Virginia,691,15,692,15
2020-09-13,Chesapeake,198,15,202,15
2020-09-13,Chesterfield,250,22,280,24
2020-09-13,Chickahominy,252,34,256,34
2020-09-13,Crater,170,8,181,8
2020-09-13,Cumberland Plateau,58,2,63,2
2020-09-13,Eastern Shore,55,1,55,1
2020-09-13,Fairfax,738,46,774,48
2020-09-13,Hampton,108,8,108,8
2020-09-13,Henrico,375,36,394,37
2020-09-13,Lenowisco,67,1,68,1
2020-09-13,Lord Fairfax,209,1,211,1
2020-09-13,Loudoun,192,14,203,15
2020-09-13,Mount Rogers,300,5,305,5
2020-09-13,New River,124,14,132,14
2020-09-13,Norfolk,259,7,262,7
2020-09-13,Out of State,158,8,159,8
2020-09-13,Peninsula,375,15,383,16
2020-09-13,Piedmont,90,7,93,7
2020-09-13,Pittsylvania-Danville,179,6,179,6
2020-09-13,Portsmouth,171,8,171,8
2020-09-13,Prince William,375,27,385,28
2020-09-13,Rappahannock,124,6,131,7
2020-09-13,Rappahannock Rapidan,77,5,84,6
2020-09-13,Richmond,143,10,150,11
2020-09-13,Roanoke,46,7,51,7
2020-09-13,Southside,56,2,63,3
2020-09-13,Thomas Jefferson,276,8,283,8
2020-09-13,Three Rivers,114,18,119,19
2020-09-13,Unknown,31,0,31,0
2020-09-13,Virginia Beach,379,19,390,19
2020-09-13,Western Tidewater,266,21,267,21
2020-09-13,West Piedmont,37,4,39,5
2020-09-12,Alexandria,198,4,217,5
2020-09-12,Alleghany,186,12,201,12
2020-09-12,Arlington,385,14,433,15
2020-09-12,Central Shenandoah,368,24,376,25
2020-09-12,Central Virginia,436,28,442,28
2020-09-12,Chesapeake,373,16,379,16
2020-09-12,Chesterfield,450,30,494,33
2020-09-12,Chickahominy,297,36,307,36
2020-09-12,Crater,305,13,311,14
2020-09-12,Cumberland Plateau,71,2,73,3
2020-09-12,Eastern Shore,63,2,65,3
2020-09-12,Fairfax,1220,49,1353,61
2020-09-12,Hampton,143,4,143,4
2020-09-12,Henrico,532,64,560,66
2020-09-12,Lenowisco,84,4,86,4
2020-09-12,Lord Fairfax,606,15,615,15
2020-09-12,Loudoun,384,27,429,28
2020-09-12,Mount Rogers,264,10,275,13
2020-09-12,New River,271,14,283,14
2020-09-12,Norfolk,810,17,815,18
2020-09-12,Out of State,396,17,401,17
2020-09-12,Peninsula,473,17,484,19
2020-09-12,Piedmont,158,6,167,10
2020-09-12,Pittsylvania-Danville,374,20,384,25
2020-09-12,Portsmouth,162,32,163,32
2020-09-12,Prince William,690,38,732,42
2020-09-12,Rappahannock,348,26,363,27
2020-09-12,Rappahannock Rapidan,203,4,222,9
2020-09-12,Richmond,522,18,545,19
2020-09-12,Roanoke,1098,42,1109,43
2020-09-12,Southside,196,11,201,12
2020-09-12,Thomas Jefferson,856,17,865,18
2020-09-12,Three Rivers,295,10,301,11
2020-09-12,Unknown,37,1,37,1
2020-09-12,Virginia Beach,829,23,857,27
2020-09-12,Western Tidewater,305,33,308,33
2020-09-12,West Piedmont,155,10,162,10
2020-09-11,Alexandria,302,19,330,19
2020-09-11,Alleghany,111,10,133,10
2020-09-11,Arlington,504,13,559,18
2020-09-11,Central Shenandoah,353,35,361,35
2020-09-11,Central Virginia,398,22,403,22
2020-09-11,Chesapeake,375,19,388,20
2020-09-11,Chesterfield,687,49,745,49
2020-09-11,Chickahominy,330,28,344,29
2020-09-11,Crater,219,17,237,18
2020-09-11,Cumberland Plateau,87,7,91,7
2020-09-11,Eastern Shore,54,1,56,1
2020-09-11,Fairfax,1785,117,2002,132
2020-09-11,Hampton,175,8,177,8
2020-09-11,Henrico,607,25,653,30
2020-09-11,Lenowisco,192,4,194,5
2020-09-11,Lord Fairfax,358,19,368,19
2020-09-11,Loudoun,625,54,685,58
2020-09-11,Mount Rogers,232,17,244,23
2020-09-11,New River,115,4,143,4
2020-09-11,Norfolk,577,31,585,33
2020-09-11,Out of State,373,25,386,25
2020-09-11,Peninsula,752,28,771,29
2020-09-11,Piedmont,155,9,162,12
2020-09-11,Pittsylvania-Danville,180,16,181,16
2020-09-11,Portsmouth,302,28,302,28
2020-09-11,Prince William,918,73,987,84
2020-09-11,Rappahannock,545,25,564,25
2020-09-11,Rappahannock Rapidan,185,19,198,23
2020-09-11,Richmond,394,24,422,24
2020-09-11,Roanoke,483,37,505,38
2020-09-11,Southside,504,22,510,22
2020-09-11,Thomas Jefferson,735,39,751,39
2020-09-11,Three Rivers,205,14,211,14
2020-09-11,Unknown,38,3,39,3
2020-09-11,Virginia Beach,692,31,722,31
2020-09-11,Western Tidewater,427,64,432,64
2020-09-11,West Piedmont,110,7,112,7
2020-09-10,Alexandria,261,15,285,18
2020-09-10,Alleghany,169,11,193,11
2020-09-10,Arlington,387,12,422,13
2020-09-10,Central Shenandoah,402,29,410,29
2020-09-10,Central Virginia,453,38,462,39
2020-09-10,Chesapeake,605,25,610,28
2020-09-10,Chesterfield,585,39,624,39
2020-09-10,Chickahominy,301,16,313,18
2020-09-10,Crater,318,17,332,19
2020-09-10,Cumberland Plateau,50,0,51,0
2020-09-10,Eastern Shore,64,0,65,0
2020-09-10,Fairfax,1504,101,1704,115
2020-09-10,Hampton,201,6,206,7
2020-09-10,Henrico,548,21,576,23
2020-09-10,Lenowisco,220,4,224,7
2020-09-10,Lord Fairfax,244,21,248,21
2020-09-10,Loudoun,450,26,500,29
2020-09-10,Mount Rogers,512,37,520,40
2020-09-10,New River,669,80,697,80
2020-09-10,Norfolk,371,27,376,27
2020-09-10,Out of State,735,32,749,32
2020-09-10,Peninsula,501,16,513,17
2020-09-10,Piedmont,159,4,164,5
2020-09-10,Pittsylvania-Danville,129,19,136,23
2020-09-10,Portsmouth,181,14,182,15
2020-09-10,Prince William,638,49,677,53
2020-09-10,Rappahannock,470,31,489,31
2020-09-10,Rappahannock Rapidan,166,10,180,16
2020-09-10,Richmond,606,15,634,16
2020-09-10,Roanoke,723,36,728,37
2020-09-10,Southside,372,17,374,17
2020-09-10,Thomas Jefferson,689,35,704,36
2020-09-10,Three Rivers,305,27,310,27
2020-09-10,Unknown,32,0,32,0
2020-09-10,Virginia Beach,506,31,523,34
2020-09-10,Western Tidewater,457,21,461,23
2020-09-10,West Piedmont,135,17,138,18
2020-09-09,Alexandria,164,11,171,11
